Gene Symbol	Gene Title	Description	log fold	Adjusted p-value
MID2	midline 2	cytoskeleton /// microtubule associated complex	0,58	0,049
PLP2	proteolipid protein 2 (colonic epithelium-enriched)	chemotaxis	0,61	0,048
TGFB2	transforming growth factor, beta 2	angiogenesis /// epithelial to mesenchymal transition /// cell growth /// extracellular matrix organization and biogenesis /// regulation of apoptosis /// positive regulation of cell cycle /// somatic stem cell division /// negative regulation of epithelial cell proliferation /// regulation of immune response	0,62	0,048
CETN2	centrin, EF-hand protein, 2	cell cycle /// mitosis /// cell division	0,64	0,046
TMSB4X ///	thymosin beta 4, X-linked	cytoskeleton organization and biogenesis	0,64	0,046
TMSL1,2,3,6	/// thymosin-like 1,2,3 and 6 (pseudogenes)
GPR17	G protein-coupled receptor 17	chemokine receptor activity /// G-protein coupled receptor protein signaling pathway	0,65	0,042
L1CAM	L1 cell adhesion molecule	cell adhesion /// cell differentiation	0,66	0,046
GDI1	GDP dissociation inhibitor 1	Rab GDP-dissociation inhibitor activity /// small GTPase mediated signal transduction	0,69	0,045
MAGED1	melanoma antigen family D, 1	transcription coactivator activity /// regulation of apoptosis /// negative regulation of epithelial cell proliferation	0,70	0,048
RBBP7	retinoblastoma binding protein 7	cell proliferation	0,70	0,042
CD99L2	CD99 molecule-like 2	cell adhesion /// cell junction	0,71	0,040
ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	angiotensin maturation /// receptor activity /// positive regulation of transforming growth factor-beta1 production /// regulation of MAPKKK cascade	0,73	0,040
FANCB	Fanconi anemia, complementation group B	DNA repair	0,73	0,040
IRAK1	interleukin-1 receptor-associated kinase 1	signal transduction /// transmembrane receptor protein serine/ threonine kinase signaling pathway /// activation of NF-kappaB-inducing kinase activity /// transcription activator activity /// interleukin-1 receptor complex	0,73	0,042
SUV39H1	suppressor of variegation 3–9 homolog 1 (Drosophila)	cell cycle /// cell differentiation	0,73	0,040
BCAP31	B-cell receptor-associated protein 31	apoptosis /// immune response	0,74	0,040
FGD1	FYVE, RhoGEF and PH domain containing 1	cytoskeleton organization and biogenesis /// signal transduction /// regulation of cell shape /// small GTPase binding /// regulation of Rho protein signal transduction	0,74	0,040
NKAP	NFKB activating protein		0,75	0,040
RAB9A	RAB9A, member RAS oncogene family	small GTPase mediated signal transduction /// protein transport	0,77	0,040
CD99	CD99 molecule	cell adhesion	0,77	0,042
ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	protein serine/threonine kinase activity	0,78	0,040
AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	DNA fragmentation during apoptosis /// apoptosis /// DNA damage response, signal transduction resulting in induction of apoptosis	0,79	0,040
HCLS1	hematopoietic cell-specific Lyn substrate 1	transcription factor activity /// positive regulation of cell proliferation /// response to hormone stimulus /// positive regulation of tyrosine phosphorylation of STAT protein	0,79	0,049
HDAC6	histone deacetylase 6	cell cycle /// specific transcriptional repressor activity	0,79	0,039
APEX2	APEX nuclease (apurinic/ apyrimidinic endonuclease) 2	DNA repair /// lyase activity	0,79	0,040
UXT	ubiquitously-expressed transcript	microtubule cytoskeleton organization and biogenesis	0,80	0,045
SLC25A6	solute carrier family 25, member 6	mitochondrial transport /// apoptosis	0,83	0,039
SRPX	sushi-repeat-containing protein, X-linked	cell adhesion	0,88	0,039
FLNA	filamin A, alpha (actin binding protein 280)	actin cytoskeleton organization and biogenesis /// positive regulation of I-kappaB kinase/NF-kappaB cascade	0,90	0,043
XIAP	X-linked inhibitor of apoptosis	apoptosis /// anti-apoptosis /// negative regulation of caspase activity	0,91	0,040
DYNLT3	dynein, light chain, Tctex-type 3	motor activity	0,92	0,046
TIMP1	TIMP metallopeptidase inhibitor 1	metalloendopeptidase inhibitor activity /// positive regulation of cell proliferation	0,97	0,039
LDOC1	leucine zipper, down-regulated in cancer 1	negative regulation of cell proliferation	1,04	0,039
MID1	midline 1 (Opitz/BBB syndrome)	microtubule cytoskeleton organization and biogenesis	1,04	0,039
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	innate immune response	1,04	0,042
CD22	CD22 molecule	immune response /// cell-cell adhesion	1,05	0,039
CRLF2	cytokine receptor-like factor 2	receptor activity	1,21	0,040
GPR87	G protein-coupled receptor 87	G-protein coupled receptor protein signaling pathway	1,33	0,042
CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	1,38	0,039
MPP1	membrane protein, palmitoylated 1, 55 kDa	signal transduction /// cell projection	1,43	0,011
