Gene Symbol	Fold Increase Upon REST Knockdown
ABCD1	2.022984565
ACHE	2.240811581
ACHE	2.010963411
ACTL6B	14.81108013
AGAP2	2.599134404
ALPL	2.200279128
AMH	2.016387157
ANK1	3.210490741
AP3B2	12.69065676
AP3B2	9.839052725
APLP1	2.753167829
APOC1	2.054737528
aspartate beta-hydroxylase domain containing 1	7.864492404
ASPHD1	8.150632985
ATOX1	2.1995784
ATP1A3	2.846457102
ATP2B2	2.850599946
ATP5I	2.04784385
B3GAT1	7.358951993
BAI2	2.039167597
BCAN	2.742749259
BDNF	3.017057372
BDNF	2.191896372
BEX1	2.45362752
BRSK2	2.221200689
bruno-like 6, RNA binding protein (Drosophila)	4.314791403
BRUNOL4	6.622302865
BRUNOL4	6.275595334
BRUNOL4	5.635018866
BRUNOL4	2.186201492
BRUNOL5	2.046123295
BRUNOL6	11.44810078
BRUNOL6	8.8029786
BSN	3.299149841
C19orf30	20.89068403
C1orf61	2.704150364
C20orf103	2.468725585
C20orf46	2.145234881
C3orf14	2.784083639
C6orf126	3.012986559
C6orf154	2.103561761
C6orf165	2.080825261
C6orf174	4.306595751
C6orf174	4.204309023
C6orf174	3.14810381
CABP1	3.260407434
CABP1	3.111702
CABP1	2.557806788
CABP7	5.168327276
CACNA1B	3.19448963
CACNA1B	2.772842129
CACNG2	9.683594842
CACNG2	8.267688163
CALB1	9.818039831
CALB1	2.722542233
CALB2	2.185767649
CALB2	2.049652363
CAMK2N2	6.355335519
CAMK2N2	5.409767179
CAMKV	2.832836775
CBFA2T3	2.407243326
CBLN1	2.764329056
CBLN1	2.312875264
CCDC151	2.041127011
CCDC64	2.862948907
CD24	2.077163774
CD24	2.068564382
CDH22	3.882538007
CDH4	2.057254802
CDK5R2	9.425894979
CDK5R2	9.192973109
CDNA FLJ30785 fis, clone FEBRA2000901	2.601292631
CECR6	3.341648835
CELSR3	3.142471022
CHGA	29.67791381
CHGB	34.25140414
chromosome 19 open reading frame 30	25.92154583
chromosome 19 open reading frame 30	12.20957324
CHST8	2.319184972
CNFN	2.202690121
CNRIP1	2.43543483
CNTFR	2.364347558
CPEB1	2.279066831
CPEB1	2.079471065
CPLX1	8.999161638
CPLX2	14.12888588
CPLX2	4.185106822
CPNE4	12.70538383
CPNE4	11.97390107
CPNE4	9.956811583
CPNE9	3.637334626
CR749429	6.908605565
CRABP2	2.463422976
CRMP1	7.120756006
CRTAC1	5.684554751
CRTAC1	2.933746773
CYP4F22	2.452755098
DIRAS1	2.077169704
DISP2	3.448186796
DNER	2.717166086
DPYSL4	2.046360521
