Gene Symbol	Reference Sequence	Probe Name	Log2 Fold Change	P Value	Function
Mier2	NM_027422	A_51_P399960	1.41	4.11 x 10-10	Transactivation and Cell Signaling; Growth Regulation
Runx1	D13802	A_52_P202358	3.48	4.14 x 10-10	Transactivation and Cell Signaling; Growth Regulation
Rgs3	NM_134257	A_52_P522134	2.04	2.63 x 10-9	Transactivation and Cell Signaling; Growth Regulation
Reg2	NM_009043	A_51_P333549	-2.33	1.63 x 10-8	Transactivation and Cell Signaling; Growth Regulation
Megf11	NM_172522	A_51_P487178	0.62	1.02 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Id4	NM_031166	A_51_P494430	-0.48	1.48 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Zfp462	AK173266	A_52_P655285	-0.37	1.48 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Lhx1	NM_008498	A_51_P452119	0.52	2.16 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Mlxipl	NM_021455	A_51_P456466	0.8	5.07 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Zbtb4	AK147212	A_51_P108131	-0.37	6.22 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Tceb3	NM_013736	A_52_P606679	0.29	8.76 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Mdm2	NM_010786	A_51_P201346	0.3	9.01 x 10-5	Transactivation and Cell Signaling; Growth Regulation
Egfr	NM_007912	A_51_P392242	-0.36	0.0001	Transactivation and Cell Signaling; Growth Regulation
Lgi4	NM_144556	A_52_P374556	-0.38	0.0001	Transactivation and Cell Signaling; Growth Regulation
Gpr17	NM_00102538	A_51_P170463	0.52	0.0001	Transactivation and Cell Signaling; Growth Regulation
Shc2	BC059866	A_52_P104108	0.39	0.0001	Transactivation and Cell Signaling; Growth Regulation
Sox21	NM_177753	A_52_P326502	0.27	0.0001	Transactivation and Cell Signaling; Growth Regulation
Gli3	AK048009	A_51_P171288	-0.39	0.0001	Transactivation and Cell Signaling; Growth Regulation
Raph1	XM_894031	A_52_P551476	0.42	0.0001	Transactivation and Cell Signaling; Growth Regulation
Zzef1	AK018382	A_51_P114336	0.52	0.0001	Transactivation and Cell Signaling; Growth Regulation
Mtus1	NM_178902	A_52_P202895	0.3	0.0001	Transactivation and Cell Signaling; Growth Regulation
Spp1	NM_009263	A_51_P358765	0.35	0.0002	Transactivation and Cell Signaling; Growth Regulation
Sf1	NM_011750	A_51_P373957	0.3	0.0002	Transactivation and Cell Signaling; Growth Regulation
Gpr124	NM_054044	A_51_P282523	-0.47	0.0002	Transactivation and Cell Signaling; Growth Regulation
Ptpro	NM_011216	A_51_P492707	-0.75	0.0002	Transactivation and Cell Signaling; Growth Regulation
Rbbp5	NM_172517	A_51_P516850	0.19	0.0002	Transactivation and Cell Signaling; Growth Regulation
Mrg1	NM_010825	A_51_P422429	-0.29	0.0002	Transactivation and Cell Signaling; Growth Regulation
Ctnnb1	NM_019935	A_51_P272046	0.82	0.0003	Transactivation and Cell Signaling; Growth Regulation
Nov	NM_010930	A_52_P105537	-0.92	0.0003	Transactivation and Cell Signaling; Growth Regulation
Eps8	NM_007945	A_51_P188114	0.64	0.0003	Transactivation and Cell Signaling; Growth Regulation
Islr	NM_012043	A_51_P140742	-0.35	0.0003	Transactivation and Cell Signaling; Growth Regulation
Dgkd	AK076439	A_51_P314929	0.42	0.0003	Transactivation and Cell Signaling; Growth Regulation
Tgfb2	NM_009367	A_51_P317640	-0.38	0.0003	Transactivation and Cell Signaling; Growth Regulation
Dscr1	NM_019466	A_51_P182116	0.29	0.0004	Transactivation and Cell Signaling; Growth Regulation
Sltm	NM_025690	A_52_P361356	0.36	0.0004	Transactivation and Cell Signaling; Growth Regulation
Dscr1l1	NM_207649	A_52_P414464	-0.51	0.0004	Transactivation and Cell Signaling; Growth Regulation
Klhl12	NM_153128	A_51_P311091	0.26	0.0004	Transactivation and Cell Signaling; Growth Regulation
Zfhx1b	NM_015753	A_52_P596008	-0.38	0.0004	Transactivation and Cell Signaling; Growth Regulation
Garnl4	NM_001015046	A_51_P297799	0.31	0.0005	Transactivation and Cell Signaling; Growth Regulation
Prkcd	NM_011103	A_52_P197498	0.47	0.0005	Transactivation and Cell Signaling; Growth Regulation
Gsk3b	NM_019827	A_51_P514412	0.33	0.0005	Transactivation and Cell Signaling; Growth Regulation
Trim8	NM_053100	A_51_P103650	-0.41	0.0005	Transactivation and Cell Signaling; Growth Regulation
Sost	NM_024449	A_51_P213870	0.33	0.0005	Transactivation and Cell Signaling; Growth Regulation
Mobk1b	NM_145571	A_51_P168524	0.36	0.0005	Transactivation and Cell Signaling; Growth Regulation
Gtpbp2	NM_019581	A_52_P2923	0.51	0.0005	Transactivation and Cell Signaling; Growth Regulation
Nfic	NM_008688	A_51_P502892	-0.37	0.0005	Transactivation and Cell Signaling; Growth Regulation
Pla2g2a	BQ938713	A_51_P256632	4.9	9.87 x 10-10	Intestinal Enzymatic, Lipid & Energy Metabolism
Ctrb1	NM_025583	A_51_P205761	-0.83	4.92 x 10-6	Intestinal Enzymatic, Lipid & Energy Metabolism
Cel	NM_009885	A_51_P242205	-3.33	6.41 x 10-6	Intestinal Enzymatic, Lipid & Energy Metabolism
Aldh1l2	NM_153543	A_52_P498193	1.68	1.07 x 10-5	Intestinal Enzymatic, Lipid & Energy Metabolism
Akr1c18	NM_134066	A_51_P256170	1	5.06 x 10-5	Intestinal Enzymatic, Lipid & Energy Metabolism
Mocos	XM_484710	A_52_P86935	0.56	5.95 x 10-5	Intestinal Enzymatic, Lipid & Energy Metabolism
Qprt	NM_133686	A_51_P394014	0.72	8.77 x 10-5	Intestinal Enzymatic, Lipid & Energy Metabolism
Atp6v0e2	NM_133764	A_51_P212030	0.55	9.75 x 10-5	Intestinal Enzymatic, Lipid & Energy Metabolism
Magi3	NM_133853	A_52_P518182	0.32	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Pycr1	NM_144795	A_52_P503896	0.49	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Atp2b2	NM_009723	A_52_P256384	0.48	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Enpp1	NM_008813	A_51_P231499	-0.29	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
B4galt4	NM_019804	A_51_P238383	-0.26	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Ctrl	NM_023182	A_51_P177491	-1.26	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Pck1	NM_011044	A_51_P250217	-0.49	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Polr3b	NM_027423	A_51_P375533	0.21	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Aqp5	NM_009701	A_51_P207601	0.71	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Agpat1	NM_018862	A_52_P200465	-0.41	0.0001	Intestinal Enzymatic, Lipid & Energy Metabolism
Pbef1	NM_021524	A_51_P387235	0.33	0.0002	Intestinal Enzymatic, Lipid & Energy Metabolism
Neto1	NM_144946	A_51_P145948	0.84	0.0002	Intestinal Enzymatic, Lipid & Energy Metabolism
Pnlip	AK007357	A_51_P520552	-1.09	0.0002	Intestinal Enzymatic, Lipid & Energy Metabolism
Hnmt	NM_080462	A_51_P465292	-0.44	0.0002	Intestinal Enzymatic, Lipid & Energy Metabolism
Cpa2	NM_00102469	A_52_P320261	-1.04	0.0003	Intestinal Enzymatic, Lipid & Energy Metabolism
Gltp	NM_019821	A_52_P436700	0.29	0.0003	Intestinal Enzymatic, Lipid & Energy Metabolism
Atp6v1a	NM_007508	A_51_P357474	0.18	0.0005	Intestinal Enzymatic, Lipid & Energy Metabolism
Mrpl49	NM_026246	A_51_P261351	-0.22	0.0005	Intestinal Enzymatic, Lipid & Energy Metabolism
Defb11	NM_139221	A_51_P317254	0.62	4.79 x 10-6	Inflammation, Immune & Pathogen Responses
Ccr3	NM_009914	A_52_P661044	0.85	4.07 x 10-5	Inflammation, Immune & Pathogen Responses
Clps	NM_025469	A_51_P164459	-1.67	0.0001	Inflammation, Immune & Pathogen Responses
Tm7sf4	NM_029422	A_51_P456499	0.92	0.0001	Inflammation, Immune & Pathogen Responses
Dtx1	NM_008052	A_51_P202050	-0.46	0.0001	Inflammation, Immune & Pathogen Responses
Cd248	NM_054042	A_51_P188271	-0.43	0.0002	Inflammation, Immune & Pathogen Responses
Selp	NM_011347	A_51_P211854	0.39	0.0002	Inflammation, Immune & Pathogen Responses
Plaur	NM_011113	A_51_P112405	0.66	0.0002	Inflammation, Immune & Pathogen Responses
Ccl7	NM_013654	A_52_P208763	0.49	0.0003	Inflammation, Immune & Pathogen Responses
Ccl24	NM_019577	A_52_P18116	1.42	0.0005	Inflammation, Immune & Pathogen Responses
Nudt15	NM_172527	A_52_P510107	1.66	6.33 x 10-6	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Uqcr	NM_025650	A_51_P300143	-0.31	0.0001	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Dsg2	BC034056	A_52_P601757	0.36	0.0001	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Bcl2l2	BC040369	A_52_P44	-0.22	0.0002	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Pdrg1	NM_178939	A_51_P173961	-0.25	0.0002	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Casp7	NM_007611	A_52_P260114	0.44	0.0003	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
