Gene Symbole	Gene Description
AASDH	aminoadipate-semialdehyde dehydrogenase
ABCA3	ATP-binding cassette, sub-family A (ABC
ABLIM1	actin binding LIM protein 1
ABTB2	ankyrin repeat and BTB (POZ) domain con
ACAD11	nephronophthisis 3 (adolescent)
ACAD11	acyl-Coenzyme A dehydrogenase family, m
ACADSB	acyl-Coenzyme A dehydrogenase, short/br
ACADVL	acyl-Coenzyme A dehydrogenase, very lon
ACCN2	amiloride-sensitive cation channel 2, n
ACER3	alkaline ceramidase 3
ACLY	ATP citrate lyase
ACOT13	acyl-CoA thioesterase 13
ACSF2	acyl-CoA synthetase family member 2
ACSL5	acyl-CoA synthetase long-chain family m
ACSS2	acyl-CoA synthetase short-chain family
ADAMTS5	ADAM metallopeptidase with thrombospond
ADAMTS6	ADAM metallopeptidase with thrombospond
ADAMTS9	ADAM metallopeptidase with thrombospond
ADCK1	aarF domain containing kinase 1
ADI1	acireductone dioxygenase 1
ADM	adrenomedullin
ADRB2	adrenergic, beta-2-, receptor, surface
AEN	apoptosis enhancing nuclease
AFP	alpha-fetoprotein
AGGF1	angiogenic factor with G patch and FHA
AGPAT3	1-acylglycerol-3-phosphate O-acyltransf
AGPAT5	1-acylglycerol-3-phosphate O-acyltransf
AGXT2L2	alanine-glyoxylate aminotransferase 2-l
AHNAK2	AHNAK nucleoprotein 2
AHSA2	AHA1, activator of heat shock 90kDa pro
AIG1	androgen-induced 1
AIMP2	aminoacyl tRNA synthetase complex-inter
AKAP12	A kinase (PRKA) anchor protein 12
AKR1A1	aldo-keto reductase family 1, member A1
AKR1B15	aldo-keto reductase family 1, member B1
ALAS1	aminolevulinate, delta-, synthase 1
ALDH1A3	aldehyde dehydrogenase 1 family, member
ALDH5A1	aldehyde dehydrogenase 5 family, member
ALDH7A1	aldehyde dehydrogenase 7 family, member
ALG10	asparagine-linked glycosylation 10, alp
ALPK1	alpha-kinase 1
AMACR	C1q and tumor necrosis factor related p
AMACR	alpha-methylacyl-CoA racemase
AMDHD2	amidohydrolase domain containing 2
AMMECR1L	AMME chromosomal region gene 1-like
AMN1	antagonist of mitotic exit network 1 ho
ANGPTL4	angiopoietin-like 4
ANKRD10	ankyrin repeat domain 10
ANKRD12	ankyrin repeat domain 12
ANKRD57	ankyrin repeat domain 57
ANTXR2	anthrax toxin receptor 2
ANXA6	annexin A6
APOBEC3B	apolipoprotein B mRNA editing enzyme, c
APOBEC3G	apolipoprotein B mRNA editing enzyme, c
APOL1	apolipoprotein L, 1
APOL6	apolipoprotein L, 6
APOM	apolipoprotein M
ARHGAP11A	Rho GTPase activating protein 11A
ARHGAP19	Rho GTPase activating protein 19
ARHGEF10L	Rho guanine nucleotide exchange factor
ARHGEF17	Rho guanine nucleotide exchange factor
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange f
ARL15	ADP-ribosylation factor-like 15
ARL4D	ADP-ribosylation factor-like 4D
ARL5B	ADP-ribosylation factor-like 5B
ARL6IP5	ADP-ribosylation-like factor 6 interact
ARMC4	armadillo repeat containing 4
ARMCX3	armadillo repeat containing, X-linked 3
ARNTL2	aryl hydrocarbon receptor nuclear trans
ASB1	ankyrin repeat and SOCS box-containing
ASB13	ankyrin repeat and SOCS box-containing
ASB8	ankyrin repeat and SOCS box-containing
ASF1B	ASF1 anti-silencing function 1 homolog
ASPM	asp (abnormal spindle) homolog, microce
ASS1	argininosuccinate synthetase 1
ATAD2	ATPase family, AAA domain containing 2
ATF5	activating transcription factor 5
ATIC	5-aminoimidazole-4-carboxamide ribonucl
ATP10A	ATPase, class V, type 10A
ATP13A3	ATPase type 13A3
ATP6V0A2	ATPase, H+ transporting, lysosomal V0 s
ATP6V0A4	ATPase, H+ transporting, lysosomal V0 s
ATP6V1E2	ATPase, H+ transporting, lysosomal 31kD
ATP9A	ATPase, class II, type 9A
ATXN1	ataxin 1
AURKB	aurora kinase B
AVL9	AVL9 homolog (S. cerevisiase)
AVPI1	arginine vasopressin-induced 1
Abcc3	ATP-binding cassette, sub-family C (CFT
Ablim3	actin binding LIM protein family, membe
Acat2	acetyl-Coenzyme A acetyltransferase 2
Acot4	acyl-CoA thioesterase 4
Acox3	acyl-Coenzyme A oxidase 3, pristanoyl
Acyp2	acylphosphatase 2, muscle type
Adamts1	ADAM metallopeptidase with thrombospond
Adamtsl3	ADAMTS-like 3
Adcy6	adenylate cyclase 6
Adora2a	adenosine A2a receptor
Adora2b	adenosine A2b receptor
Adra2a	adrenergic, alpha-2A-, receptor
Afap1l2	actin filament associated protein 1-lik
Ak2	adenylate kinase 2
Akna	AT-hook transcription factor
Akr1c1	aldo-keto reductase family 1, member C1
Alad	aminolevulinate, delta-, dehydratase
Aldh3b1	aldehyde dehydrogenase 3 family, member
