Gene	Fold change	Description	Family	Location
NR4A2	28.10	Nuclear receptor subfamily 4, group A, member 2	Ligand-dependent nuclear receptor	Nucleus
IL8	24.34	Interleukin 8	Cytokine	Extracellular space
IL11	19.40	Interleukin 11	Cytokine	Extracellular space
AREG	15.75	Amphiregulin	Growth factor	Extracellular space
PLA2G4A	15.12	Phospholipase A2, group IVA	Enzyme	Cytoplasm
PTGS2	14.40	Prostaglandin-endoperoxide synthase 2	Enzyme	Cytoplasm
NPTX1	13.72	Neuronal pentraxin 1		Extracellular space
IL6	11.67	Interleukin 6 (interferon,  2)	Cytokine	Extracellular space
IL1B	11.17	Interleukin 1,  	Cytokine	Extracellular space
IL1RN	10.42	Interleukin 1 receptor antagonist gene	Cytokine	Extracellular space
EGR2	10.16	Early growth response 2	Transcription regulator	Nucleus
ITGA2	9.20	Integrin,  2		Plasma membrane
STC1	8.68	Stanniocalcin 1	Kinase	Extracellular space
MMP1	8.34	Matrix metalloproteinase 1	Peptidase	Extracellular space
CGA	8.15	Glycoprotein hormones,  -subunit		Extracellular space
IER3	7.54	Immediate early response 3		Cytoplasm
SOD2	7.09	Superoxide dismutase 2	Enzyme	Cytoplasm
PLAU	6.90	Plasminogen activator, urokinase	Peptidase	Extracellular space
MAP3K5	6.58	Mitogen-activated protein kinase kinase kinase 5	Kinase	Cytoplasm
TCF7	6.52	Transcription factor 7, T-cell speciWc	Transcription regulator	Nucleus
PLAT	6.36	Plasminogen activator, tissue	Peptidase	Extracellular space
PLAB	6.30	Growth diVerentiation factor 15	Growth factor	Extracellular space
SALL1	6.25	Sal-like 1 (Drosophila)		Nucleus
TWIST1	5.87	Twist homolog 1	Transcription regulator	Nucleus
SFRP1	5.23	Secreted frizzled-related protein 1		Extracellular space
CYP1B1	4.52	Cytochrome P450, family 1, subfamily B, polypeptide 1	Enzyme	Cytoplasm
ATP2B1	4.35	ATPase, Ca2+transporting, plasma membrane 1	Enzyme	Plasma membrane
LRIG1	4.29	Leucine-rich repeats and immunoglobulin-like domains 1		Extracellular space
INHBA	4.22	Inhibin,  A	Growth factor	Extracellular space
NFKBIA	4.18	Nuclear factor of   light polypeptide gene enhancer in B-cells inhibitor,		Cytoplasm
FOS	4.18	FBJ osteosarcoma oncogene	Transcription regulator	Nucleus
ICAM1	3.84	Intercellular adhesion molecule 1	Transmembrane receptor	Plasma membrane
JUNB	3.71	Jun-B oncogene	Transcription regulator	Nucleus
NFIL3	3.63	Nuclear factor, interleukin 3 regulated	Transcription regulator	Nucleus
BHLHB2	3.42	Basic helix–loop–helix domain containing, class B, 2	Transcription regulator	Nucleus
FACL4	3.26	Acyl-CoA synthetase long-chain family member 4	Enzyme	Cytoplasm
SMOX	3.17	Spermine oxidase	Enzyme
MMP3	3.13	Matrix metalloproteinase 3	Peptidase	Extracellular space
BTG1	3.10	B-cell translocation gene 1, anti-proliferative		Nucleus
RB1CC1	3.10	RB1-inducible coiled-coil 1		Extracellular space
FST	2.98	Follistatin	Transcription regulator	Nucleus
ETS2	2.90	v-ets erythroblastosis virus E26 oncogene homolog 2	Peptidase	Extracellular space
SERPINB2	2.86	Plasminogen activator inhibitor-2 type A	Transcription regulator	Nucleus
CREM	2.79	cAMP responsive element modulator		Cytoplasm
HSPCB	2.79	Heat shock 90 kDa protein 1,  		Extracellular space
GG2-1	2.75	Tumor necrosis factor,  -induced protein 8	Transcription regulator	Nucleus
IGFBP5	2.68	Insulin-like growth factor-binding protein 5	Kinase	Plasma membrane
CEBPB	2.59	CCAAT/enhancer binding protein (C/EBP),  		Extracellular space
PDGFRA	2.59	Platelet derived growth factor receptor,   polypeptide
SGNE1	2.54	Secretory granule, neuroendocrine protein 1 (7B2 protein)
AHR	2.53	Aryl hydrocarbon receptor	Ligand-dependent nuclear receptor	Nucleus
EDG2	2.43	Endothelial diVerentiation, lysophosphatidic acid G-protein-coupled receptor, 2	G-protein coupled receptor	Plasma membrane
PHLDA1	2.40	Pleckstrin homology-like domain, family A, member 1		Cytoplasm
BCL6	2.39	B-cell CLL/lymphoma 6 (zinc Wnger protein 51)	Transcription regulator	Nucleus
CASP4	2.34	Caspase 4, apoptosis-related cysteine protease	Peptidase	Cytoplasm
VEGF	2.32	Vascular endothelial growth factor A	Growth factor	Extracellular space
VEGFC	2.27	Vascular endothelial growth factor C	Growth factor	Extracellular space
GAL	2.27	Galanin		Extracellular space
MADH7	2.25	MAD homolog 7 (Drosophila)		Nucleus
TNFAIP3	2.23	Tumor necrosis factor,  -induced protein 3		Cytoplasm
BMP2	2.20	Bone morphogenetic protein 2	Growth factor	Plasma membrane
MOAP1	2.20	Modulator of apoptosis 1		Cytoplasm
CLU	2.19	Clusterin		Extracellular space
GLIPR1	2.16	GLI pathogenesis-related 1		Extracellular space
MAP3K7IP2	2.15	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2		Cytoplasm
GJA1	2.14	Gapjunction membrane channel protein  1	Transporter	Plasma membrane
ANGPT1	2.05	Angiopoietin 1	Growth factor	Extracellular space
