Gene Symbol	Alternate gene names	Fold-change	Microarray p-value	Composite array score	Agreement score of 4 populations (p less than 0.05)	Agreement score of 9 hybrids
ZFX		-1.89	0.00E+00	16	4	9/9
PNPLA4		-1.71	0.00E+00	16	4	9/9
KDM6A	UTX	-1.66	0.00E+00	16	4	9/9
HDHD1A		-1.62	0.00E+00	16	4	8/9
RPS4X		-1.48	0.00E+00	16	4	9/9
EIF1AX		-1.46	0.00E+00	16	4	9/9
KDM5C	JARID1C	-1.41	0.00E+00	16	4	9/9
ZRSR2		-1.18	1.52E+221	16	4	N/A
FUNDC1		-1.11	7.28E+217	16	4	8/9
DDX3X		-1.16	1.18E+214	16	4	9/9
UBA1	UBE1	-1.12	1.11E+210	14	4	9/9
EIF2S3		-1.17	1.28E+207	13	4	9/9
USP9X		-1.12	7.20E+205	12	4	9/9
PRKX		-1.07	NS	13	4	7/9
CDK16	PCTK1	1.01	NS	9	4	7/7
