GOFunction	Gene Name	Fold	Description
	CEACAM6	5.034040114	Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6)
Carrier proteins	TCN1	4.448080386	Transcobalamin I (vitamin B12 binding protein, R binder family) (TCN1)
Degradation of collagens	MMP8	3.894009726	Matrix metalloproteinase 8 (neutrophil collagenase) (MMP8)
Tissue remodelation	CTSG	3.893090035	Cathepsin G (CTSG)
	CAMP	3.735203512	Cathelicidin antimicrobial peptide (CAMP)
	CTSE	2.26195568	Cathepsin E (CTSE), transcript variant 2
Cytotoxicity	MPO	3.722985088	Myeloperoxidase (MPO), nuclear gene encoding mitochondrial protein
Apoptosis	BNIP3L	3.579622356	BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L)
	BCL2L13	2.164480962	BCL2-like 13 (apoptosis facilitator) (BCL2L13), nuclear gene encoding mitochondrial protein
Inflammatory mediator	AZU1	3.494998722	Azurocidin 1 (cationic antimicrobial protein 37) (AZU1)
Antioxidant enzymes	CAT	3.434043798	Catalase (CAT)
	CD177	3.380725726	Polycythemia rubra vera 1 (PRV1)
Response to viruses	DEFA4	3.342563497	Defensin, alpha 4, corticostatin (DEFA4)
Binding hemoglobin	HP	3.147779497	Haptoglobin (HP)
Cellular growth	ANXA3	3.108982136	Annexin A3 (ANXA3)
Acid-base balance maintaining	CA1	2.733870167	Carbonic anhydrase I (CA1)
Solute carriers	SLC22A4	2.473270129	Solute carrier family 22 (organic cation transporter), member 4 (SLC22A4)
	OAT	2.427391215	Ornithine aminotransferase (gyrate atrophy) (OAT), nuclear gene encoding mitochondrial protein
Kinase regulators	CCNA2	2.320385108	Cyclin A2 (CCNA2)
Cell cycle	CDC2	2.31832304	Cell division cycle 2, G1 to S and G2 to M (CDC2)
Oxidoreductase	MSRB3	2.023175635	Methionine sulfoxide reductase B3 (MSRB3)
