Genes	Affy ID	Global	Lung	Colon	Breast	Prostate	Ovary
ABAT	209459_s_at	-1	-1	-1	1	1	-1
ACTA2	200974_at	-1	-1	-1	-1	-1	-1
AMIGO2	222108_at	-1	-1	1	-1	-1	-1
ANK2	202920_at	-1	-1	-1	-1	-1	-1
BHLHB3	221530_s_at	-1	-1	1	-1	-1	1
C17orf91	214696_at	-1	-1	-1	-1	-1	-1
C1orf115	218546_at	-1	-1	-1	-1	1	-1
CAV1	203065_s_at	-1	-1	1	-1	-1	-1
CAV1	203065_s_at	-1	-1	1	-1	-1	-1
CUGBP2	202158_s_at	-1	-1	1	-1	-1	-1
CXCL2	209774_x_at	-1	-1	1	-1	-1	-1
CYLD	39582_at	-1	-1	-1	-1	-1	-1
DCN	201893_x_at	-1	-1	1	-1	-1	-1
DKK3	214247_s_at	-1	-1	1	-1	-1	-1
DMN	212730_at	-1	-1	-1	-1	-1	-1
DPYSL2	200762_at	-1	-1	1	-1	-1	-1
DST	212254_s_at	-1	-1	-1	-1	-1	-1
DST	212254_s_at	-1	-1	-1	-1	-1	-1
EDNRB	204273_at	-1	-1	-1	-1	-1	-1
EFEMP1	201842_s_at	-1	-1	1	-1	-1	-1
EGR1	201694_s_at	-1	-1	-1	-1	1	-1
EPB41L2	201719_s_at	-1	-1	1	-1	-1	-1
FBLN1	202995_s_at	-1	-1	1	1	-1	-1
FERMT2	209210_s_at	-1	-1	1	-1	-1	-1
FHL1	201540_at	-1	-1	-1	-1	-1	-1
GSN	200696_s_at	-1	-1	-1	-1	-1	-1
GSTM5	205752_s_at	-1	-1	-1	-1	-1	-1
H3F3A///H3F3B	211998_at	-1	-1	1	-1	-1	-1
HBA1///HBA2	209458_x_at	-1	-1	-1	-1	1	-1
HBA1///HBA2	209458_x_at	-1	-1	-1	-1	1	-1
HBA1///HBA2	209458_x_at	-1	-1	-1	-1	1	-1
HBB	209116_x_at	-1	-1	-1	-1	1	-1
HBB	209116_x_at	-1	-1	-1	-1	1	-1
HBB	209116_x_at	-1	-1	-1	-1	1	-1
JAM3///LOC100133502	212813_at	-1	-1	-1	-1	-1	-1
JUN	201466_s_at	-1	-1	1	-1	1	-1
LAMA4	202202_s_at	-1	-1	1	-1	-1	-1
MAOA	212741_at	-1	-1	-1	-1	1	-1
MBNL1	201153_s_at	-1	-1	-1	-1	-1	-1
ME1	204059_s_at	-1	1	-1	-1	-1	-1
MEIS1	204069_at	-1	-1	1	-1	-1	1
METTL7A	207761_s_at	-1	-1	-1	-1	-1	-1
MT1P2	211456_x_at	-1	-1	-1	-1	1	1
MYLK	202555_s_at	-1	-1	-1	-1	-1	-1
NR3C1	211671_s_at	-1	-1	-1	-1	-1	-1
OPTN	202073_at	-1	-1	-1	-1	-1	-1
PAM	202336_s_at	-1	-1	1	-1	-1	-1
PDGFRA	203131_at	-1	-1	-1	-1	-1	-1
PDLIM3	209621_s_at	-1	-1	1	-1	-1	-1
PLSCR4	218901_at	-1	-1	-1	-1	-1	-1
PPAP2A	210946_at	-1	-1	-1	-1	1	-1
PPAP2B	212230_at	-1	-1	-1	-1	-1	-1
RAB31	217762_s_at	-1	-1	1	1	-1	-1
RBPMS	209487_at	-1	-1	1	-1	-1	-1
RCAN2	203498_at	-1	-1	-1	-1	-1	-1
RNASE4	205158_at	-1	-1	-1	1	-1	-1
SEPP1	201427_s_at	-1	-1	-1	-1	1	-1
SERPINA1	211429_s_at	-1	-1	-1	1	-1	1
SORBS1	218087_s_at	-1	-1	-1	-1	-1	-1
SPARCL1	200795_at	-1	-1	1	-1	-1	-1
SRPX	204955_at	-1	-1	1	-1	-1	-1
STOM	201060_x_at	-1	-1	-1	1	-1	-1
SYNPO	202796_at	-1	-1	-1	-1	-1	-1
TMEM140	218999_at	-1	-1	-1	-1	-1	-1
TMEM47	209656_s_at	-1	-1	1	-1	-1	-1
TNS1	221748_s_at	-1	-1	-1	-1	-1	-1
TSC22D3	208763_s_at	-1	-1	-1	1	1	-1
TUBA1A	209118_s_at	-1	-1	1	-1	-1	-1
WWTR1	202133_at	-1	-1	1	-1	-1	-1
ZFP36L2	201368_at	-1	-1	-1	-1	-1	-1
ACTR3	200996_at	1	1	-1	1	-1	1
C7orf24	215380_s_at	1	1	1	1	1	1
CALR	214315_x_at	1	1	1	1	1	1
CKS2	204170_s_at	1	1	1	1	1	1
COL6A2	209156_s_at	1	1	1	1	-1	-1
CXCL1	204470_at	1	1	1	-1	-1	1
DHCR24	200862_at	1	-1	-1	1	1	1
FABP5///FABP5L2///FABP5L7	202345_s_at	1	-1	1	-1	1	1
GALNT7	218313_s_at	1	1	-1	1	1	1
GAPDH	M33197_5_at	1	1	1	1	-1	1
GAPDH	M33197_5_at	1	1	1	1	-1	1
HDGF	200896_x_at	1	1	1	1	1	1
HIST1H2AC	215071_s_at	1	1	-1	1	1	1
HIST1H2BD	209911_x_at	1	1	-1	1	1	1
HIST1H2BK	209806_at	1	1	1	1	1	1
HIST2H2AA3///HIST2H2AA4	214290_s_at	1	1	1	1	1	1
HN1L	212115_at	1	1	1	1	1	1
KIAA0101	202503_s_at	1	1	1	1	1	1
KRT19	201650_at	1	1	-1	1	-1	1
KRT8	209008_x_at	1	1	-1	1	1	1
LAPTM4B	214039_s_at	1	1	1	-1	-1	1
LOC100130414///SPINT2	210715_s_at	1	1	-1	1	1	1
LRRFIP1	201861_s_at	1	-1	-1	1	1	1
LSR	208190_s_at	1	1	-1	1	1	1
MCM2	202107_s_at	1	1	1	1	1	1
MIF	217871_s_at	1	1	1	1	1	1
MLF1IP	218883_s_at	1	1	1	1	1	1
MLPH	218211_s_at	1	-1	-1	1	1	1
NME1///NME2	201577_at	1	1	1	1	1	1
NOLA2	209104_s_at	1	1	1	1	1	1
NPM1	221923_s_at	1	1	1	-1	1	1
NUSAP1	218039_at	1	1	1	1	1	1
P4HB	200654_at	1	1	1	1	1	1
PABPC3	208113_x_at	1	1	1	-1	1	1
PDIA4	211048_s_at	1	1	1	1	1	1
PMM2	203201_at	1	1	-1	1	1	1
RNASE2	215193_x_at	1	-1	1	1	-1	1
RRBP1	201204_s_at	1	1	-1	1	1	1
SORD	201563_at	1	1	1	1	1	1
TACSTD1	201839_s_at	1	1	-1	1	1	1
TMED3	208837_at	1	1	1	1	1	1
YWHAZ	200641_s_at	1	1	-1	1	-1	1
ZWINT	204026_s_at	1	1	1	1	1	1
