Transcript ID	Gene Symbol	Gene Name	Fold Change
NM_012940	Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	1288
NM_012540	Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1277
NM_031972	Aldh3a1	Aldehyde dehydrogenase family 3, member A1	1156
NM_173339	Ceacam10	CEA-related cell adhesion molecule 10	973
XM_001081230 /// XM_213440	Col1a1	Procollagen, type 1, alpha 1	67
NM_130407	Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	33
NM_031810	Defb1	Defensin beta 1	29
NM_053963	Mmp12	Matrix metallopeptidase 12	29
NM_001014100	Neurl3	Neuralized homolog 3 (Drosophila)	29
NM_031732	Sult1c1	Sulfotransferase family, cytosolic, 1C, member 1	27
NM_012786	Cox8h	Cytochrom c oxidase subunit VIII-H (heart/muscle)	27
NM_001024964	Exoc3	Exocyst complex component 3	23
NM_012577 /// NM_138974	Gstp1 /// Gstp2	Glutathione-S-transferase, pi 1 /// glutathione S-transferase, pi 2	20
NM_130741	Lcn2	Lipocalin 2	19
NM_144755	Trib3	Tribbles homolog 3 (Drosophila)	16
NM_031530	Ccl2	Chemokine (C-C motif) ligand 2	16
NM_031004	Acta2	Smooth muscle alpha-actin	12
NM_001039691 /// NM_057105	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	12
NM_001014264	LOC366772	Similar to immunoglobulin heavy chain	10
NM_019203	Tsx	Testis specific X-linked gene	9
NM_031620	Phgdh	3-phosphoglycerate dehydrogenase	9
NM_012531	Comt	Catechol-O-methyltransferase	9
NM_177425	Csrp2	Cysteine and glycine-rich protein 2	9
NM_053401	Ngfrap1	Nerve growth factor receptor (TNFRSF16) associated protein 1	8
NM_012598	Lpl	Lipoprotein lipase	8
NM_017000	Nqo1	NAD(P)H dehydrogenase, quinone 1	8
NM_001007729	Cxcl4	Chemokine (C-X-C motif) ligand 4	8
NM_012752	Cd24	CD24 antigen	7
NM_012881	Spp1	Secreted phosphoprotein 1	7
