Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.12383.1.S1_at	0.10675808	CRHBP	corticotropin releasing hormone binding protein
Gga.19305.1.S1_at	0.115223881	RSPO3	R-spondin 3 homolog (Xenopus laevis)
Gga.18151.1.S1_at	0.125468165	BNC1	Basonuclin 1
Gga.5712.1.S1_at	0.184869249	---	---
Gga.3149.1.S1_at	0.194415871	LOC395095	keratin
Gga.11766.2.S1_a_at	0.209471179	NDP	Norrie disease (pseudoglioma)
Gga.13339.1.S1_at	0.214580113	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6
Gga.17090.1.S1_s_at	0.22246178	SCIN	scinderin
Gga.6487.1.S1_at	0.240433673	CAPN8	calpain 8
Gga.19867.1.S1_at	0.247791165	TOX3	TOX high mobility group box family member 3
GgaAffx.26537.4.S1_s_at	0.269160398	NOLC1	nucleolar and coiled-body phosphoprotein 1
GgaAffx.5110.6.S1_s_at	0.273399907	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)
GgaAffx.7522.1.S1_s_at	0.276137271	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)
GgaAffx.10104.2.S1_s_at	0.283856502	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit D2
GgaAffx.25828.1.S1_at	0.289772727	LOC424399	hypothetical LOC424399
GgaAffx.26452.1.S1_at	0.290380048	---	---
GgaAffx.10088.2.A1_s_at	0.304419661	PRSS35	protease, serine, 35
Gga.9639.1.S1_at	0.306505087	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
Gga.17110.1.S1_at	0.307742121	---	---
GgaAffx.4942.1.S1_at	0.310208597	---	---
Gga.1635.2.S1_at	0.312940914	---	---
Gga.2996.1.S2_at	0.31325871	ALDH1A2	aldehyde dehydrogenase 1 family, member A2
Gga.3242.1.S1_at	0.31370541	LOC769185	similar to Breast carcinoma amplified sequence 1 (Novel amplified in breast cancer 1) (Amplified and overexpressed in breast cancer)
Gga.2136.3.S1_at	0.322229776	LOC429716	similar to GTP-binding protein SB128
Gga.12040.2.S1_a_at	0.328750267	TSPAN8	tetraspanin 8
Gga.15237.1.S1_at	0.330388693	---	---
GgaAffx.23061.5.S1_s_at	0.333887043	LOC422450 /// TBC1D9	similar to KIAA0882 protein /// TBC1 domain family, member 9 (with GRAM domain)
Gga.2136.1.S1_a_at	0.342345813	LOC429716	similar to GTP-binding protein SB128
Gga.2745.1.S1_at	0.344267516	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)
