Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
235435_at	0.0018	0.0051	1.53	UP	AASDH	aminoadipate-semialdehyde dehydrogenase
202805_s_at	0.0252	0.0247	1.59	UP	ABCC1	Multidrug resistance-associated protein 1(MRP1) (ABCC1)
204567_s_at	0	0	1.85	UP	ABCG1	White homolog (ABCG1)
235432_at	0.0033	0.0073	1.88	UP	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11
221669_s_at	0.0024	0.0061	1.9	UP	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8
238825_at	0.005	0.0093	1.53	UP	ACRC	acidic repeat containing
201662_s_at	0.0228	0.0231	1.53	UP	ACSL3	acyl-CoA synthetase long-chain family member 3
229725_at	0.006	0.0104	1.81	UP	ACSL6	acyl-CoA synthetase long-chain family member 6
202666_s_at	0.0045	0.0087	1.59	UP	ACTL6A	actin-like 6A
1558015_s_at	0.0262	0.0253	1.58	UP	ACTR2	ARP2 actin-related protein 2 homolog (yeast)
200728_at	0.0691	0.0466	2.01	UP	ACTR2	ARP2 actin-related protein 2 homolog (yeast)
203935_at	0.0004	0.002	1.72	UP	ACVR1	Activin receptor type I (ACTR-I / ALK-2)
1552519_at	0.0005	0.0023	1.55	UP	ACVR1C	Activin receptor-like kinase 7 (ALK-7)(geneseqp)
203865_s_at	0.0008	0.0031	1.52	UP	ADARB1	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
219384_s_at	0.0126	0.0161	1.61	UP	ADAT1	adenosine deaminase, tRNA-specific 1
221893_s_at	0.0021	0.0056	1.53	UP	ADCK2	aarF domain containing kinase 2
205882_x_at	0.0225	0.023	1.64	UP	ADD3	adducin 3 (gamma)
201752_s_at	0.0451	0.0354	1.55	UP	ADD3	adducin 3 (gamma)
208848_at	0.0499	0.0378	1.61	UP	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
204119_s_at	0.0522	0.0389	1.53	UP	ADK	Adenosine kinase
224455_s_at	0.0701	0.047	1.64	UP	ADPGK	ADP-dependent glucokinase
204333_s_at	0.0027	0.0064	1.98	UP	AGA	Aspartylglucosaminidase
225114_at	0	0.0002	2.18	UP	AGPS	alkylglycerone phosphate synthase
