Gene symbol	Unigene	Function	Potential role in this study	Description
MKI67	Hs.80976	Proliferation marker	Prognostic factor	Antigen identified by monoclonal antibody Ki-67
CHKA	Hs.56901 9	Phospholipid metabolism	New oncogene	Choline kinase alpha isoform a
AURKB	Hs.44265 8	Chromosomal segregation during mitosis	Chromosomal instability	Aurora kinase B
AKT1	Hs.52562 2	Cell Survival	Colon cancer cell invasion	V-akt murine thymoma viral oncogene homolog 1
PIK3R1	Hs.13222 5	Cell Survival	Colon cancer cell invasion	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
SMAD2	Hs.12253	Mediator of TGF beta signaling	Cancer cell invasion	SMAD, mothers against DPP homolog 2 (Drosophila)
STAT3	Hs.46305 9	Cell Survival	Colon cancer cell invasion	Signal transducer and activator of transcription 3 (acute-phase response factor)
LGALS4	Hs.5302	Cell adhesion	Colon cancer cell invasion	Lectin, galactoside-binding, soluble, 4 (galectin 4)
KDR	Hs.47975 6	Angiogenic factor	Colon cancer cell invasion	Kinase insert domain receptor (a type III receptor tyrosine kinase)
ERCC2	Hs.48729 4	DNA repair mechanism	Chemotherapy response	Excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
ERCC1	Hs.43598 1	DNA repair mechanism	Chemotherapy response	Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
ALDH1A 1	Hs.76392	Aldehyde metabolism	Chemotherapy response	Aldehyde dehydrogenase 1 family, member A1
ALDH3A 1	Hs.53168 2	Aldehyde metabolism	Chemotherapy response	Aldehyde dehydrogenase 3 family, memberA1
MAPK14	Hs.58828 9	Cellular response to stress	Chemotherapy response	Mitogen-activated protein kinase 14
MAPK9	Hs.65446 1	Cellular response to stress	Chemotherapy response	Mitogen-activated protein kinase 9
FRAP1	Hs.33820 7	Cell growth	Chemotherapy response	FK506 binding protein 12-rapamycin associated protein 1
ABCB4	Hs.65440 3	Multidrug resistance	Chemotherapy response	ATP-binding cassette, sub-family B (MDR/TAP), member 4
FOS	Hs.25647	Mediator of EGF pathway signaling, cell growth	Chemotherapy response	V-fos FBJ murine osteosarcoma viral oncogene homolog
BIRC5	Hs.51452 7	Apoptosis Inhibition	Chemotherapy response	Baculoviral IAP repeat-containing 5 (survivin)
BAK1	Hs.48513 9	Apoptosis promotion	Chemotherapy response	BCL2-antagonist/killer 1
BCL2	Hs.15074 9	Apoptosis promotion	Chemotherapy response	B-cell CLL/lymphoma 2
TP53	Hs.65448 1	Genome integrity gatekeeper	5-FU response	Tumor protein p53 (Li-Fraumeni syndrome)
RELB	Hs.65440 2	NF-KB subunit	5-FU sensibility	V-rel reticuloendotheliosis viral oncogene homolog B
TYMP	Hs.59221 2	Angiogenic factor	5-FU response	Thymidine phosphorylase
TYMS	Hs.59233 8	FU metabolism	5-FU response	Thymidylate synthetase
MLH1	Hs.19536 4	Mismatch repair	5-FU response	MutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
CDKN1A	Hs.37077 1	Regulator of cell cycle progression at G1	5-FU response	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)
EGFR	Hs.48829 3	Cell growth	Response to neoadjuvant treatment in rectal cancer	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
CDKN1B	Hs.23899 0	Regulator of cell cycle progression at G1	Response to neoadjuvant treatment in rectal cancer	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)
