Gene description	Symbol	Stem versus committed	Malignant versus benign
Pregnancy-associated plasma protein A, pappalysin 1	PAPPA	3.83	3.26
Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NFKB1	2.3	1.86
Tight junction protein 2 (zona occludens 2)	TJP2	2.51	1.72
Abl-interactor 1	ABI1	3.41	1.84
B-cell translocation gene 1, anti-proliferative	BTG1	3.95	1.53
Interleukin 6 (interferon, beta 2)	IL6	1.93	5.18
CASP8 and FADD-like apoptosis regulator	CFLAR	1.9	1.41
Smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	SMU1	1.9	1.63
S100 calcium binding protein A3	S100A3	1.92	1.55
Chromosome 17 open reading frame 27	C17orf27	1.63	1.8
RAS and EF-hand domain containing	RASEF	2.31	1.71
Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	ITGAV	2.55	1.62
Interferon gamma receptor 1	IFNGR1	1.7	1.46
Insulin growth factor-like family member 1	IGFL1	-1.17	-28.61
Microseminoprotein, beta- (PSP94)	MSMB	-27.78	-2.84
Prostate stem cell antigen	PSCA	-20.11	-2.27
Carcinoembryonic antigen-related cell adhesion molecule 5	CEACAM5	-19.12	-1.77
S100 calcium binding protein A7 (psoriasin 1)	S100A7	-11.48	2.28
Hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	-8.54	-2.41
Carcinoembryonic antigen-related cell adhesion molecule 7	CEACAM7	-19.22	2.95
Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	TFF1	-11.74	-2.25
Prolactin-induced protein	PIP	-17.42	1.04
