Gene	Gene ID	Entrez gene ID	Putative functions (PubMed ID for ascribed functions)	Fold change
Double cortin and calcium/calmodulin-dependent protein kinase-like 1	Dcamkl1	13175	Cortical neuronal migration and axon growth (16387639)	30.4
Ret proto-oncogene	Ret	19713	Receptor tyrosine kinase, multiple roles in CNS and PNS development and guidance of neural crest migration (15794130)	23
Anaplastic lymphoma kinase	Alk	11682	Neuron differentiation in late embryogenesis (15226403)	13.7
Nerve growth factor receptor (TNFR superfamily, member 16)	Ngfr	18053	Dorsal neural tube and neural crest cell determination (15548576)	12.6
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1	Spock1	20745	Neurogenesis in brain and sensory ganglia (10640720)	11.1
Ets variant 1	Etv1	14009	Sensory-motor circuitry in developing spinal cord (Arber et al.2000)	9.5
SRY-box containing gene 9	Sox9	20682	Neural crest cell determinant (Sahar et al., 2005)	8.5
Protein tyrosine phosphatase, receptor type, R	Ptprr	19279	Brain and spinal cord development (10583472)	8.2
Cadherin EGF LAG seven-pass G-type receptor 1	Celsr1	12614	Early brain development (11850187)	7.7
Hairy/enhancer-of-split related with YRPW motif 1	Hey1	15213	Maintenance of progenitor status of neural precursors during CNS development (Sakamoto et al., 2003)	7
WASP family 1	Wasf1	83767	Neurite extension (12431372)	7
Fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)	Fscn1	14086	Neuronal embryonic development (15465486)	6.7
ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Elavl4	15572	Negative regulation of neural proliferation, cell fate determination of progenitor cells (15764704)	6.6
Villin 2	Vil2	22350	Regionally expressed in the developing CNS, roles in axonal sprouting (Gimeno et al., 2004)	6.5
Cyclin D1	Ccnd1	12443	Neuronal proliferation (1277630)	5.6
Mab-21-like 1 (C. elegans)	Mab21l1	17116	Notochord and neural tube development (11857508)	5.2
Ectodermal-neural cortex 1	Enc1	13803	Cerebral cortical histogenesis, differentiation of neural tumors (Garcia-Calero and Puelles, 2005)	5.1
ets Variant gene 5	Etv5	104156	Neurite development (15355311, 15498491)	4.9
Phosphodiesterase 4B, cAMP specific	Pde4b	18578	Brain development (6288489)	4.9
Synaptogyrin 3	Syngr3	20974	Early telencephalic development (11125798)	4.8
Retinoblastoma-like 1 (p107)	Rbl1	19650	Stem cell expansion (15353549)	4.5
Breast cancer 1	Brca1	12189	Neocortical development (12046007)	4.5
Dihydropyrimidinase-like 3	Dpysl3	22240	Axonal outgrowth (10664068)	4.4
Transcription factor AP-2 beta	Tcfap2b	21419	Development of brain and peripheral nervous system (8989526)	4.3
Wingless related MMTV integration site 10a	Wnt10a	22409	Regionalization of zebrafish brain (8330668)	4.3
CD99 antigen	Cd99	66478	Neuroectodermal differentiation (14646598)	4.2
Purkinje cell protein 4	Pcp4	18546	Neural crest–derived neural ectoderm (12609609)	3.9
Peptidylglycine alpha-amidating monooxygenase	Pam	18484	Spinal cord development (14756816)	3.8
ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	Elavl3	15571	Neuronal development in CNS and peripheral nervous system (10449789)	3.8
Polypyrimidine tract binding protein 2	Ptbp2	56195	Spinal cord development (12124753)	3.8
Coronin, actin binding protein 1C	Coro1c	23790	Brain morphogenesis (15813925)	3.7
Transient receptor potential cation channel, subfamily V, member 2	Trpv2	22368	Sensory neuron development (15561438)	3.6
GTL2, imprinted maternally expressed untranslated mRNA	Gtl2	17263	Expression in forebrain during embryonic development (16356785)	3.4
ISL1 transcription factor, LIM/homeodomain (islet 1)	Isl1	16392	Diversification of visceral and somatic motor neuron subtypes in developing spinal cord (14766174)	3.4
Apoptotic protease activating factor 1	Apaf1	11783	Programmed cell death in developing neurons (15257302)	3.4
YY1 transcription factor	Yy1	22632	Regulation of antero-posterior neural patterning (12821143)	3.3
Double C2, beta	Doc2b	13447	Vesicle protein early brain development (10651871)	3.3
Cell cycle exit and neuronal differentiation 1	Cend1	57754	Proliferation/differentiation transition of neural progenitor cells during development (16893893)	3.2
LIM only 1	Lmo1	109594	Possible roles in development of forebrain and vestibular ganglia (Stringer et al., 2002)	3.2
Protein tyrosine phosphatase, receptor type, S	Ptprs	19280	Development of cholinergic forebrain neurons and pituitary (10080192)	3
Kruppel-like factor 7 (ubiquitous)	Klf7	93691	Regulation of TrkA expression in sensory and sympathetic neurons (11245580)	3
Myelin transcription factor 1-like	Myt1l	17933	Silencing of genes during neural development (15935060)	3
Hairy/enhancer-of-split related with YRPW motif 2	Hey2	15214	Maintenance of neural precursor cells (12947105)	2.8
ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	Elavl2	15569	Neuronal development in the CNS and peripheral nervous system (10449789)	2.6
Catenin alpha 2	Catna2	12386	Cerebellar and hippocampal morphogenesis, links cadherins to neuronal cytoskeleton (12089526)	2.6
Paired-like homeobox 2a	Phox2a	11859	Development of catecholaminergic neurons and chromaffin cells (10357397)	2.5
Survivor of motor neuron protein interacting protein 1	Sip1	66603	Inhibits mesodermal genes and sensitizes cells to later neural inducing factors (14651843)	2.5
Armadillo repeat gene deleted in velo-cardio-facial syndrome	Arvcf	11877	Development of precursor neurons of striatum, amygdala and nucleus basalis (15509897)	2.4
Microtubule-associated protein 1 B	Mtap1b	17755	Neuronal cytoskeletal development (15475576)	2.3
Myelin transcription factor 1	Myt1	17932	Selective silencing of genes during neural development (15935060)	2.3
Peroxiredoxin 4	Prdx4	53381	Neural stem cell differentiation (16475233)	2.3
Nasal embryonic LHRH factor	Nelf	56876	Olfactory axon outgrowth and LHRH neuronal migration (15018815)	2.3
Maternal embryonic leucine zipper kinase	Melk	17279	Regulation of neural progenitor proliferation (16061694)	2.3
Ring finger protein 1	Ring1	19763	Mouse hindbrain development (9312051)	2.2
Kinesin family member 4	Kif4	16571	Anterograde transport of vesicles during neuronal development (1074709)	2.2
Replication protein A1	Rpa1	68275	Embryonic cortical ventricular zone development (1642043)	2.2
Transforming growth factor, beta 3	Tgfb3	21809	Differentiation of neural stem cells (12544846)	2.2
Immunoglobulin superfamily, member 8	Igsf8	140559	Regulation of neurite outgrowth and maintenance of neural network in adult brain (16203089)	2.1
Ngg1 interacting factor 3-like 1 (S. pombe)	Nif3l1	65102	Participates in retinoic acid-primed neural differentiation of P19 embryonal carcinoma cells (12522100)	2.1
Lectin, galactose binding, soluble 1	Lgals1	16852	Proliferation of adult neural stem cells (16636291)	2.1
Numblike	Numbl	18223	Maintenance of progenitor status of neural precursors during CNS development (Petersen et al., 2002)	2.1
Loop tail associated protein	Ltap	93840	Neural tube closure (12906864)	2.1
Trophinin	Tro	56191	Expression identifies distinct cell types in the germinal zones of adult rat brain (16706835)	2
Retinoic acid induced 2	Rai2	24004	Adult neurogenesis (16505366)	2
