# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002761|NM_002761	unigene|Hs.2909|Hs.2909	hgnc_symbol|PRM1|PRM1
refseq_dna|NM_003618|NM_003618	unigene|Hs.399752|Hs.399752	hgnc_symbol|MAP4K3|MAP4K3
refseq_dna|NM_007008|NM_007008	unigene|Hs.65450|Hs.65450	hgnc_symbol|RTN4|RTN4
refseq_dna|NM_004124|NM_004124	unigene|Hs.151413|Hs.151413	hgnc_symbol|GMFB|GMFB
refseq_dna|NM_001173|NM_001173	unigene|Hs.267831|Hs.267831	hgnc_symbol|ARHGAP5|ARHGAP5
refseq_dna|NM_006197|NM_006197	unigene|Hs.75737|Hs.75737	hgnc_symbol|PCM1|PCM1
refseq_dna|NM_004973|NM_004973	unigene|Hs.40154|Hs.40154	hgnc_symbol|JARID2|JARID2
refseq_dna|NM_006083|NM_006083	unigene|Hs.8024|Hs.8024	hgnc_symbol|IK|IK
refseq_dna|NM_002128|NM_002128	unigene|Hs.6727|Hs.6727	hgnc_symbol|HMGB1|HMGB1
entrezgene|AF017748|5884	unigene|Hs.16184|Hs.16184	hgnc_symbol|RAD17|RAD17
entrezgene|AF104260|9271	unigene|Hs.194712|Hs.194712	hgnc_symbol|PIWIL1|PIWIL1
refseq_dna|NM_002716|NM_002716	unigene|Hs.108705|Hs.108705	hgnc_symbol|PPP2R1B|PPP2R1B
refseq_dna|NM_001204|NM_001204	unigene|Hs.53250|Hs.53250	hgnc_symbol|BMPR2|BMPR2
refseq_dna|NM_005056|NM_005056	unigene|Hs.76272|Hs.76272	hgnc_symbol|KDM5A|KDM5A
refseq_dna|NM_004336|NM_004336	unigene|Hs.98658|Hs.98658	hgnc_symbol|BUB1|BUB1
