Symbol	Gene name	Expression
CCK	cholecystokinin	Induced
CLDN1	claudin 1	Induced
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	Induced
FADS1	fatty acid desaturase 1	Induced
FCGRT	Fc fragment of IgG, receptor, transporter, alpha	Induced
FLRT2	fibronectin leucine rich transmembrane protein 2	Induced
KDSR	3-ketodihydrosphingosine reductase	Induced
GRK5	G protein-coupled receptor kinase 5	Induced
GSTM2	glutathione S-transferase mu 2 (muscle	Induced
GSTM4	glutathione S-transferase mu 4	Induced
GYG2	glycogenin 2	Induced
IL1RAP	interleukin 1 receptor accessory protein	Induced
KCNE3	potassium voltage-gated channel, Isk-related family, member 3	Induced
KIAA1462	KIAA1462	Induced
KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	Induced
LDB2	LIM domain binding 2	Induced
VWA5A	von Willebrand factor A domain containing 5A	Induced
MYOM2	myomesin (M-protein) 2, 165kDa	Induced
NR0B1	nuclear receptor subfamily 0, group B, member 1	Induced
NRN1	neuritin 1	Induced
OPN3	opsin 3	Induced
PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	Induced
RCOR1	REST corepressor 1	Induced
SIRPA	signal-regulatory protein alpha	Induced
SLC17A7	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	Induced
STEAP2	six transmembrane epithelial antigen of the prostate 2	Induced
STK32B	serine/threonine kinase 32B	Induced
XG	Xg blood group
