Category 1	Category 2	Probe ID	Symbol	Name	Synonyms	Fold change
Apoptosis	Anti-apoptosis	A_23_P42935	BRAF	V-raf murine sarcoma viral oncogene homolog B1	BRAF1, B-raf 1, B-Raf proto-oncogene serine/threonine-protein kinase, MGC126806, MGC138284, p94, RAFB1, v-Raf murine sarcoma viral oncogene homolog B1	2.169
Apoptosis	Anti-apoptosis	A_24_P192485	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	MGC29565, OCIF, OPG, Osteoclastogenesis inhibitory factor, Osteoprotegerin, TR1, Tumor necrosis factor receptor superfamily member 11B precursor	2.392
Apoptosis	Anti-apoptosis	A_24_P917766	BIRC6	Baculoviral IAP repeat-containing 6 (apollon)	APOLLON, Baculoviral IAP repeat-containing protein 6, BRUCE, FLJ13726, FLJ13786, KIAA1289, Ubiquitin-conjugating BIR-domain enzyme apollon	5.65
Apoptosis	Anti-apoptosis	A_23_P115444	TNFSF18	Tumor necrosis factor (ligand) superfamily, member 18	Activation-inducible TNF-related ligand, AITRL, GITRL, Glucocorticoid-induced TNF-related ligand, hGITRL, MGC138237, TL6, Tumor necrosis factor ligand superfamily member 18, UNQ149/PRO175	6.41
Apoptosis	Anti-apoptosis	A_24_P512775	BCL2	B-cell CLL/lymphoma 2	Apoptosis regulator Bcl-2	8.621
Apoptosis	Induction of apoptosis	A_23_P218646	TNFRSF6B	Tumor necrosis factor receptor superfamily, member 6b, decoy	DcR3, DCR3, Decoy receptor 3, Decoy receptor for Fas ligand, DJ583P15.1.1, M68, TR6, Tumor necrosis factor receptor superfamily member 6B precursor, UNQ186/PRO212	2.596
Apoptosis	Induction of apoptosis	A_23_P138635	BNIP3	BCL2/adenovirus E1B 19 kDa interacting protein 3	BCL2/adenovirus E1B 19-kDa protein-interacting protein 3, Nip3, NIP3	2.469
Apoptosis	Induction of apoptosis	A_23_P111343	BCLAF1	BCL2-associated transcription factor 1	Bcl-2-associated transcription factor 1, bK211L9.1, Btf, BTF, KIAA0164	2.162
Apoptosis	Induction of apoptosis	A_23_P346311	BAX	BCL2-associated X protein	Apoptosis regulator BAX, cytoplasmic isoform beta, Apoptosis regulator BAX, membrane isoform alpha, BAX protein, cytoplasmic isoform delta, BAX protein, cytoplasmic isoform gamma	2.083
Apoptosis	Induction of apoptosis resulting from DNA damage response signal transduction	A_23_P60180	ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1	Abelson murine leukemia viral oncogene homolog 1, ABL, c-ABL, JTK7, p150, Proto-oncogene tyrosine-protein kinase ABL1, v-abl	2.193
Apoptosis	Caspase	A_24_P269398	CASP2	Caspase 2, apoptosis-related cysteine peptidase	CASP-2, Caspase-2 precursor, ICH1, ICH-1L, ICH-1L/1S, ICH-1 protease, NEDD2	1.996
Apoptosis	Caspase	A_23_P35906	CASP4	Caspase 4, apoptosis-related cysteine peptidase	CASP-4, Caspase-4 precursor, ICE(rel)II, ICE(rel)-II, ICEREL-II, ICH2, ICH-2, ICH-2 protease, Mih1/TX, TX, TX protease	1.733
Apoptosis	Caspase	A_24_P111342	CASP9	Caspase 9, apoptosis-related cysteine peptidase	APAF3, APAF-3, Apoptotic protease-activating factor 3, Apoptotic protease Mch-6, CASP-9, CASPASE-9c, Caspase-9 precursor, ICE-LAP6, ICE-like apoptotic protease 6, MCH6	1.705
Angiogenesis	Angiogenesis	A_24_P167012	TNFSF15	Tumor necrosis factor (ligand) superfamily, member 15	MGC129934, MGC129935, TL1, TL1A, TNF ligand-related molecule 1, Tumor necrosis factor ligand superfamily member 15, Vascular endothelial cell growth inhibitor, VEGI, VEGI192A	4.032
Angiogenesis	Angiogenesis	A_24_P388810	APC	Adenomatosis polyposis coli	Adenomatous polyposis coli protein, DP2, DP2.5, DP3, FAP, FPC, GS, Protein APC	4.902
Angiogenesis	Angiogenesis	A_24_P402438	TGFB2	Transforming growth factor, beta 2	BSC-1 cell growth inhibitor, Cetermin, Glioblastoma-derived T-cell suppressor factor, G-TSF, MGC116892, Polyergin, TGF-beta2, TGF-beta-2, Transforming growth factor beta-2 precursor	5.714
