Subtype	Genes	AUC	P-value	Classification
WD	MYO1B	0.85	1.07E-03	81.5(75.0/82.6)
WD	MET	0.84	1.33E-03	80.9 (62.5/84.1)
WD	EDARADD	0.83	1.70E-03	72.3(85.7/69.7)
MD	GKN2	0.77	1.42E-02	74.3(77.8/74.0)
MD	SPP1	0.83	4.94E-04	75.7(66.7/76.3)
MD	PDIA2	0.87	7.82E-04	70.2(77.8/68.7)
PD	CTSA	0.76	1.21E-06	75.8 (87.5/62.0)
PD	ADAMTS12	0.79	6.81E-08	75.0 (75.0/75.0)
PD	CST2	0.78	1.77E-07	74.2 (78.1/69.4)
UD	COTL1	0.99	3.33E-01	96.4(100/96.4)
UD	RHOJ	0.99	3.33E-01	97.1(100/97.1)
UD	TNFRSF1B	0.99	3.33E-01	97.1(100/97.1)
