Accession	Symbol	Definition	FC
NM_010217	Ctgf	connective tissue growth factor (Ctgf), mRNA.	3,4
NM_008737.1	Nrp	neuropilin (Nrp), mRNA.	3,3
NM_011338	Ccl9	chemokine (C-C motif) ligand 9 (Ccl9), mRNA.	3,3
NM_015786	Hist1h1c	histone 1, H1c (Hist1h1c), mRNA.	3,1
NM_009160.1	Sftpd	surfactant associated protein D (Sftpd), mRNA.	2,9
NM_008046.1	Fst	follistatin (Fst), mRNA.	2,6
AK031617	Csnk2a1-rs3	casein kinase II, alpha 1 related sequence 3, mRNA	2,5
NM_010762.2	Mal	myelin and lymphocyte protein, T-cell differentiation protein (Mal), mRNA.	2,5
NM_009397.2	Tnfaip3	tumor necrosis factor, alpha-induced protein 3 (Tnfaip3), mRNA.	2,5
NM_011580.1	Thbs1	thrombospondin 1 (Thbs1), mRNA.	2,3
NM_144516.1	Zmynd11	zinc finger, MYND domain containing 11, mRNA	2,3
NM_080428	Fbxw7	F-box and WD-40 domain protein 7, archipelago homolog (Drosophila) (Fbxw7), mRNA.	2,2
NM_145452	Rasa1	RAS p21 protein activator 1 (Rasa1), mRNA.	2,1
NM_133853.1	Magi3	membrane associated guanlylate kinase, WW and PDZ domain containig 3	2,0
NM_133738	Antxr2	anthrax toxin receptor 2, mRNA	2,0
NM_028390.1	Anln	anillin, actin binding protein (scraps homolog, Drosophila) (Anln), mRNA.	1,9
NM_012019.2	Pdcd8	programmed cell death 8 (Pdcd8), mRNA.	1,9
NM_013822.2	Jag1	jagged 1 (Jag1), mRNA.	1,8
NM_010789.1	Meis1	myeloid ecotropic viral integration site 1 (Meis1), mRNA.	1,7
J05277.1	Hk1	hexokinase mRNA, complete cds.	-2,0
NM_177089.3	Tacc1	Transforming, acidic coiled coil protein 1	-2,0
NM_010777.1	Mbp	myelin basic protein (Mbp), mRNA.	2,5
XM_483957	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2, mRNA	2,5
NM_018781	Egr3	early growth response 3 (Egr3), mRNA.	-2,7
NM_009153.1	Sema3b	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B (Sema3b), mRNA.	-2,9
