Gene Symbol	Gene Description	Signal Log Ratio (fold change log2) 1	2	3	4	5	6	7	8	9	10	Function	Expression
AK1	adenylate kinase 1	0.05	-0.19	-0.3	0.15	-0.42	0.82	-0.31	-0.34	-0.47	-0.32	Signal Transduction	Down-regulated
HPCAL1	hippocalcin-like 1	0.17	-0.42	0.13	-0.02	-0.76	0.3	-0.38	-0.31	-0.24	-0.53	Signal Transduction	Down-regulated
NTRK2	neurotrophic tyrosine kinase receptor type 2 (trkB)	-0.29	0.52	-0.63	-0.32	-0.4	-0.4	-0.43	0.29	0.46	-1	Signal Transduction	Down-regulated
NUCKS	similar to rat ubiquitous casein kinase 2	-0.39	-0.28	0.08	-0.62	-0.28	-0.57	0.17	-0.17	0.97	-1.23	Signal Transduction	Down-regulated
APP	amyloid beta precursor protein	0.23	0.42	0.27	-0.03	-0.1	-0.33	0.53	0.4	0.42	0.36	Signal Transduction	Up-regulated
CNK2	connector enhancer of KSR2	0.61	-0.11	0.64	1.1	1.06	0.07	0.43	0.01	-0.17	0.55	Signal Transduction	Up-regulated
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5	1.16	-0.69	-0.04	0.94	0.43	-0.16	0.39	0.42	0.12	0.3	Signal Transduction	Up-regulated
GEM GTP	binding protein overexpressed in skeletal muscle	1.58	0.41	-0.47	-0.24	-0.25	0.2	0.79	0.74	0.43	0.71	Signal Transduction	Up-regulated
PPP2R2C	protein phosphatase 2, regulatory subunit B, gamma isoform	-1.21	-0.23	0.58	-0.23	-0.32	-0.46	-0.57	-0.48	0.07	-0.87	Signal Transduction	Down-regulated
DEAF1	deformed epidermal autoregulatory factor 1	-0.66	-0.47	0.13	0.07	-0.57	-0.3	-0.67	-0.45	0.14	-0.55	Translation/Transcription/RNA Processing	Down-regulated
EEF1G	eukaryotic translation elongation factor 1, gamma	0.24	-0.4	-0.42	-0.18	-0.2	-0.08	-0.46	-0.27	-0.21	-0.69	Translation/Transcription/RNA Processing	Down-regulated
RPS10	ribosomal protein S10	0.13	-0.44	-0.39	-0.13	-0.27	-0.41	-0.33	-0.18	0.14	-0.53	Translation/Transcription/RNA Processing	Down-regulated
