Gene Name	Expression
crystallin, beta A2	Up-Regulated
chitinase 3-like 1 (cartilage glycoprotein-39)	Up-Regulated
ribonuclease, RNase A family, k6	Up-Regulated
myeloid cell nuclear differentiation antigen	Up-Regulated
striatin, calmodulin binding protein 3	Up-Regulated
NA	Up-Regulated
lipoprotein lipase	Up-Regulated
NA	Up-Regulated
NA	Up-Regulated
a disintegrin and metalloproteinase domain 22	Up-Regulated
caldesmon 1	Up-Regulated
TrpE protein; TrpD protein; TrpC protein; TrpF protein	Up-Regulated
bone morphogenetic protein receptor, type IA	Up-Regulated
carboxypeptidase, vitellogenic-like	Up-Regulated
collagen, type V, alpha 1	Up-Regulated
POU domain, class 2, transcription factor 3	Up-Regulated
Transcribed sequence with strong similarity protein	Up-Regulated
Nuclear factor I/B	Up-Regulated
Hypothetical gene CG018	Up-Regulated
Gastrulation brain homeo box 2	Up-Regulated
