miRNA	Score (d)	FDR (%)	Fold change	Chromosome location	Host gene
hsa-mir-150	-3.98	0	9.74	19q 13.33	Intergenic
hsa-mir-455	-3.52	0	1.77	9q32	COL27A1
hsa-mir-145	-3.06	0	1.92	5q 33.1	Intergenic
hsa-mir-342	-2.91	0	2.56	14q 32.2	EVL
hsa-mir-497	-2.87	0	1.72	17p 13.1	AC_027763.1
hsa-mir-155	-2.77	0	2.17	21q 21.3	Intergenic
hsa-mir-342	-2.66	0	3.9	14q 32.2	EVL
hsa-mir-143	-2.61	0	1.79	5q 33.1	Intergenic
hsa-mir-193a	-2.43	0	1.34	17q 11.2	Intergenic
hsa-mir-146b	-2.38	0	1.59	10q 24.32	Intergenic
hsa-mir-28	-2.32	0	1.6	3q 28	LPP-201
hsa-mir-10b	-2.14	0	1.61	2q 31.1	HOXD3
hsa-mir-193b	-2.08	0	1.3	16 p3.12	Intergenic
hsa-mir-28	-1.87	3	1.51	3q 28	LPP-201
hsa-mir-142	-1.86	3	2.69	17q 22	Intergenic
hsa-mir-143	-1.73	4.86	1.36	5q 33.1	Intergenic
hsa-mir-126	-1.73	4.86	1.83	9q34.3	EGFL7
hsa-mir-214	-1.72	4.86	1.26	1q 24.3	DNM3
