Probe ID	Gene Symbol	Description	Bayes p-value	Fold Change
205347_s_at	TMSNB	thymosin, beta	2.32E-08	43.9
214404_x_at	SPDEF	prostate epithelium-specific Ets transcription factor (SAM pointed domain-ets factor)	4.21E-08	132.1
214087_s_at	MYBPC1	myosin-binding protein C, slow-type	1.23E-07	75.5
202489_s_at	FXYD3	FXYD domain containing ion transport regulator 3	1.78E-07	36.6
218211_s_at	MLPH	melanophilin	1.85E-07	27.3
209706_at	NKX3-1	NK3 transcription factor related, locus 1	2.72E-07	28.1
204379_s_at	FGFR3	fibroblast growth factor receptor 3	7.91E-07	259.5
217771_at	GOLPH2	golgi phosphoprotein 2	8.28E-07	36.3
201196_s_at	AMD1	adenosylmethionine decarboxylase 1	9.01E-07	15.6
201839_s_at	TACSTD1	tumor-associated calcium signal transducer 1	1.06E-06	16
39248_at	AQP3	aquaporin 3	1.10E-06	19.6
205862_at	GREB1	GREB1 protein	1.11E-06	51.5
200632_s_at	NDRG1	N-myc downstream regulated gene 1	1.19E-06	14.3
218313_s_at	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7	1.43E-06	16.9
204583_x_at	KLK3	kallikrein 3, (prostate specific antigen)	1.73E-06	83.5
216920_s_at	TRGV9	T-cell receptor (V-J-C) precursor	2.07E-06	17.8
203196_at	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	2.14E-06	26.1
209854_s_at	KLK2	kallikrein 2, prostatic	2.20E-06	95.7
209855_s_at	KLK2	kallikrein 2, prostatic	2.33E-06	74
201596_x_at	KRT18	keratin 18	2.41E-06	29.1
207430_s_at	MSMB	microseminoprotein, beta-	2.61E-06	64.8
204582_s_at	KLK3	kallikrein 3, (prostate specific antigen)	3.09E-06	79.4
200606_at	DSP	desmoplakin	3.18E-06	22.2
202241_at	TRIB1	phosphoprotein regulated by mitogenic pathways	3.50E-06	21
213920_at	CUTL2	cut-like 2 (Drosophila)	3.75E-06	18.6
211144_x_at	TRGV9	T-cell receptor (V-J-C) precursor	3.79E-06	19.5
201563_at	SORD	sorbitol dehydrogenase	4.92E-06	14.6
217776_at	RDH11	retinol dehydrogenase 11	5.18E-06	11.4
221577_x_at	GDF15	growth differentiation factor 15	6.02E-06	31.7
219806_s_at	FN5	FN5 protein	6.47E-06	15.4
219049_at	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	6.48E-06	13.9
202023_at	EFNA1	ephrin-A1	6.71E-06	11.1
210297_s_at	MSMB	microseminoprotein, beta-	7.34E-06	45.2
209813_x_at	TRGV9	T-cell receptor (V-J-C) precursor	9.94E-06	20.6
201690_s_at	TPD52	tumor protein D52	1.06E-05	9.5
