Probe Set ID	Gene Symbol	Gene Title	Log2 FC	raw p value
209560_s_at	DLK1	delta-like 1 homolog	8	0.0002
209396_s_at	CHI3L1	chitinase 3-like 1	6	0.0005
209301_at	CA2	carbonic anhydrase II	4.1	0.0006
201667_at	GJA1	gap junction protein, alpha 1, 43kDa	4.1	0.0011
208859_s_at	ATRX	alpha thalassemia/mental retardation syndrome X-linked	3.6	0.0006
206067_s_at	WT1	Wilms tumor 1	3.2	0.0008
210511_s_at	INHBA	inhibin, beta A	2.8	0.0014
200771_at	LAMC1	laminin, gamma 1	2.7	0.0001
204614_at	SERPINB2	serpin peptidase inhibitor, clade B, member 2	2.5	0.0015
212509_s_at	MXRA7	matrix-remodelling associated 7	2.4	0.0003
208624_s_at	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	2.3	0.0006
210069_at	CHKB /// CPT1B	choline kinase beta /// carnitine palmitoyltransferase 1B	2.1	0.0006
216268_s_at	JAG1	jagged 1	2.1	0.0016
212926_at	SMC5	structural maintenance of chromosomes 5	2.1	0.0016
205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	1.8	0.0008
208663_s_at	TTC3	tetratricopeptide repeat domain 3	1.8	0.0007
219271_at	GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	1.7	0.0011
221498_at	SNX27	sorting nexin family member 27	1.4	0.0014
213812_s_at	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	1.3	0.001
209579_s_at	MBD4	methyl-CpG binding domain protein 4	1.2	0.0016
203200_s_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1.2	0.0012
208685_x_at	BRD2	bromodomain containing 2	1.1	0.0009
203893_at	TAF9	TAF9 RNA polymerase II	1.1	0.0006
