GeneSymbol	Gene description	Genbank accession	Feature Number	fold 1	PValueLogRatio 1	fold 1	PValueLogRatio 2	fold 3	PValueLogRatio 3	Mean	S.E.M.
PLG	Homo sapiens plasminogen (PLG), mRNA [NM_000301]	NM_000301	12618	258,350	6.40E-11	272,424	1.39E-15	296,528	2.15E-15	275,768	1,11
PLG	Homo sapiens plasminogen (PLG), mRNA [NM_000301]	NM_000301	31563	91,322	1.49E-08	209,459	2.09E-14	241,585	8.81E-15	180,789	4,57
RORA	Homo sapiens RAR-related orphan receptor A (RORA), transcript variant 2, mRNA [NM_134260]	NM_134260	31288	129,788	3.73E-16	164,481	7.29E-17	138,347	2.33E-16	144,205	1,04
LPA	Homo sapiens lipoprotein, Lp(a) (LPA), mRNA [NM_005577]	NM_005577	31776	100,751	3.59E-08	84,043	1.02E-10	95,955	2.47E-12	93,583	0,50
FBXL17	Homo sapiens F-box and leucine-rich repeat protein 17, mRNA (cDNA clone IMAGE:4215262), partial cds. [BC018548]	BC018548	391	54,904	1.13E-04	26,927	9.20E-01	21,936	4.88E-01	34,589	1,03
G6PC	Homo sapiens glucose-6-phosphatase, catalytic subunit (G6PC), mRNA [NM_000151]	NM_000151	19594	27,782	6.73E-03	30,260	4.06E-03	26,103	3.26E-02	28,048	0,12
SPARC	Homo sapiens secreted protein, acidic, cysteine-rich (osteonectin) (SPARC), mRNA [NM_003118]	NM_003118	4259	28,443	1.13E-05	22,330	5.19E-03	20,311	5.64E-02	23,695	0,24
AGRP	Homo sapiens agouti related protein homolog (mouse) (AGRP), transcript variant 1, mRNA [NM_001138]	NM_001138	21543	14,368	1.34E+03	27,437	1.90E+01	26,587	6.19E+00	22,797	0,42
Q8PBG7	(Q8PBG7) Riboflavin biosynthesis protein, partial (6%) [THC2317871]	THC2317871	39638	21,643	3.24E+00	24,661	5.14E-01	20,864	7.16E-01	22,389	0,12
NR1D2	Homo sapiens nuclear receptor subfamily 1, group D, member 2, mRNA (cDNA clone IMAGE:3912370), partial cds. [BC015929]	BC015929	31530	20,783	3.04E-01	29,059	2.02E-04	16,813	1.86E+01	22,219	0,36
SMOC1	Homo sapiens SPARC related modular calcium binding 1 (SMOC1), transcript variant 2, mRNA [NM_022137]	NM_022137	32907	21,044	2.54E-02	17,507	2.09E+00	26,761	5.11E-05	21,770	0,27
HEPN1	Homo sapiens associated with liver cancer (HEPN1), mRNA [NM_001037558]	NM_001037558	34970	18,068	2.58E+01	21,847	1.52E-01	24,995	9.65E-03	21,636	0,20
FOXO4	(MLLT7) Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7 (MLLT7), mRNA [NM_005938]	NM_005938	42837	19,082	4.52E+01	19,981	1.02E+01	22,200	9.14E-01	20,421	0,09
	Homo sapiens clone FLB9714 PRO2619 mRNA, complete cds. [AF130077]	AF130077	41972	0,5690	2.05E+00	0,4813	3.91E-02	0,4471	5.34E-03	0,4991	0,04
	Unknown	THC2290704	17190	0,4770	5.16E+01	0,5837	9.69E+01	0,4018	3.36E+00	0,4875	0,05
	AA906057 oj90d07.s1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:1505581 3, mRNA sequence [AA906057]	AA906057	12231	0,3960	1.32E+00	0,5552	6.69E+01	0,4593	1.28E+00	0,4701	0,05
	Homo sapiens full length insert cDNA clone ZD54C08. [AF086329]	AF086329	24011	0,4937	9.05E-02	0,4160	1.47E-03	0,5004	1.17E-01	0,4700	0,03
	UI-H-FH1-bfk-o-16-0-UI.s1 NCI_CGAP_FH1 Homo sapiens cDNA clone UI-H-FH1-bfk-o-16-0-UI 3, mRNA sequence [BU618641]	BU618641	8692	0,3221	1.29E-02	0,4774	2.49E+00	0,6019	3.23E+01	0,4671	0,08
	Unknown	A_32_P45087	1685	0,5485	1.21E+02	0,3378	6.24E-02	0,4970	1.41E+01	0,4611	0,06
	ze57f04.s1 Soares retina N2b4HR Homo sapiens cDNA clone IMAGE:363103 3 similar to gb:X62534 HIGH MOBILITY GROUP PROTEIN HMG2	AA019203	42520	0,4838	7.84E+01	0,4019	8.62E-01	0,4912	9.86E+00	0,4590	0,03
	AI919230 qy30h02.x1 NCI_CGAP_Brn23 Homo sapiens cDNA clone IMAGE:2013555 3, mRNA sequence [AI919230]	AI919230	34849	0,4073	1.87E+00	0,5321	1.61E+01	0,4110	5.27E-01	0,4502	0,04
	BX419477 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF017YM02 3-PRIME, mRNA sequence [BX419477]	BX419477	6517	0,4720	2.19E+01	0,4411	2.48E+00	0,4199	1.72E-01	0,4443	0,02
	Unknown	A_32_P20014	777	0,2931	9.07E-04	0,4402	1.75E-01	0,5817	7.92E+01	0,4384	0,08
	BE749146 601123310F1 NIH_MGC_5 Homo sapiens cDNA clone IMAGE:3348051 5, mRNA sequence [BE749146]	BE749146	18408	0,4756	2.07E+01	0,3673	1.96E+00	0,4549	3.92E+00	0,4326	0,03
	BE719776 RC3-HT0865-260700-011-b02 HT0865 Homo sapiens cDNA, mRNA sequence [BE719776]	BE719776	28582	0,3165	1.16E-01	0,4731	4.65E+00	0,3754	1.10E-02	0,3883	0,05
	Unknown	A_32_P135790	21089	0,3839	1.27E-03	0,4256	1.79E-02	0,2813	2.63E-07	0,3636	0,04
LGI2	Homo sapiens leucine-rich repeat LGI family, member 2 (LGI2), mRNA [NM_018176]	NM_018176	24947	0,1917	1.88E-01	0,3630	4.57E+00	0,3684	2.46E+01	0,3077	0,06
ADIPOQ	Homo sapiens adiponectin, C1Q and collagen domain containing (ADIPOQ), mRNA [NM_004797]	NM_004797	36194	0,3411	3.21E+01	0,1707	6.58E+00	0,1700	4.51E+00	0,2272	0,06
