Symbol	Fold change Day1	Fold change Day2	p Values Adj.:Treatment	Entrez Gene Name	Location	Family	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
SGK	19.13380928	44.57277752	0	serum/glucocorticoid regulated kinase 1	Cytoplasm	kinase	6446	20393
C10ORF81	12.32581271	7.768692874	2.72E-12	chromosome 10 open reading frame 81	Unknown	other	79949	226245
CSF2	12.02958543	16.86867475	2.25E-09	colony stimulating factor 2 (granulocyte-macrophage)	Extracellular Space	cytokine	1437	12981
PGC	11.27577147	15.12993239	3.93E-12	progastricsin (pepsinogen C)	Extracellular Space	peptidase	5225	109820
PIP	9.950057672	78.76413147	0	prolactin-induced protein	Extracellular Space	other	5304	18716
DMBT1	8.79918948	11.44040466	7.54E-07	deleted in malignant brain tumors 1	Plasma Membrane	transmembrane receptor	1755	12945
DUSP1	7.86839314	8.070475617	9.08E-13	dual specificity phosphatase 1	Nucleus	phosphatase	1843	19252
CXCR7	7.668377082	11.71310831	9.22E-11	chemokine (C-X-C motif) receptor 7	Plasma Membrane	G-protein coupled receptor	57007	12778
PRKCD	6.427936523	4.854895741	2.00E-11	protein kinase C, delta	Cytoplasm	kinase	5580	18753
CXCL12	5.233304813	6.556948487	2.23E-06	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Extracellular Space	cytokine	6387	20315
SPSB1	5.067043277	5.605251654	2.48E-09	splA/ryanodine receptor domain and SOCS box containing 1	Cytoplasm	other	80176	74646
EDN2	4.91393851	2.384861539	4.27E-07	endothelin 2	Extracellular Space	growth factor	1907	13615
PTGS1	4.819100223	4.867922251	5.30E-07	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	Cytoplasm	enzyme	5742	19224
SMAD6	4.74364636	4.221786048	8.08E-10	SMAD family member 6	Nucleus	transcription regulator	4091	17130
SLPI	4.683376265	7.384614616	9.08E-13	secretory leukocyte peptidase inhibitor	Cytoplasm	other	6590	20568
ST5	4.676350537	6.572491661	0.002636725	suppression of tumorigenicity 5	Unknown	enzyme	6764	76954
VEGFA	4.66825174	2.870921131	4.48E-10	vascular endothelial growth factor A	Extracellular Space	growth factor	7422	22339
THBS1	4.496127659	13.67903016	2.96E-10	thrombospondin 1	Extracellular Space	other	7057	21825
MERTK	4.163187064	6.053319753	6.22E-10	c-mer proto-oncogene tyrosine kinase	Plasma Membrane	kinase	10461	17289
HSD11B2	3.99437018	10.03855587	1.04E-09	hydroxysteroid (11-beta) dehydrogenase 2	Cytoplasm	enzyme	3291	15484
IL3	3.764834935	4.039108701	7.68E-05	interleukin 3 (colony-stimulating factor, multiple)	Extracellular Space	cytokine	3562	16187
SNAI2	3.66765147	12.30216055	8.78E-07	snail homolog 2 (Drosophila)	Nucleus	other	6591	20583
KITLG	3.640855624	7.268818284	2.28E-08	KIT ligand	Extracellular Space	growth factor	4254	17311
LCN2	3.630454431	9.645975195	5.06E-08	lipocalin 2	Extracellular Space	transporter	3934	16819
RHOB	3.602986069	3.2487604	3.75E-08	ras homolog gene family, member B	Cytoplasm	enzyme	388	11852
SHBG	3.501876197	9.689194338	8.72E-10	sex hormone-binding globulin	Extracellular Space	other	6462	20415
SPHK1	3.464809647	12.48706553	7.48E-09	sphingosine kinase 1	Cytoplasm	kinase	8877	20698
TOB1	3.440817622	2.788012435	5.71E-08	transducer of ERBB2, 1	Nucleus	transcription regulator	10140	22057
TNFSF10	3.361838732	2.196450098	3.92E-06	tumor necrosis factor (ligand) superfamily, member 10	Extracellular Space	cytokine	8743	22035
IQGAP2	3.332620169	2.755411621	1.41E-08	IQ motif containing GTPase activating protein 2	Cytoplasm	other	10788	544963
HTRA1	3.281895585	17.6908455	6.86E-10	HtrA serine peptidase 1	Extracellular Space	peptidase	5654	56213
ETV6	3.245847152	5.620777782	2.72E-09	ets variant 6	Nucleus	transcription regulator	2120	14011
