Symbol	probe set	Description	WT Value	WT+GW Value	PDK1 Value	PDK1+GW	WT+GWvsWT Fold Change	PDK1vsWT Fold Change	PDK1+GWvsWT Fold Change	PDK1+GWvsPDK1 Fold Change
Abp1	1424600_at	amiloride binding protein 1 (amine oxidase, copper-containing)	280.2	19.9	498.4	67.5	-14.08040201	1.778729479	-4.151111111	-4.151111111
Abpa	1424063_at	androgen binding protein alpha	68.8	31.9	50.2	2117.5	-2.156739812	-1.370517928	30.77761628	30.77761628
Abpb	1425032_at	androgen binding protein beta	31.7	29.6	33.1	804.4	-1.070945946	1.044164038	25.37539432	25.37539432
Acaca	1427595_at	acetyl-Coenzyme A carboxylase alpha	253	854.8	626	763.8	3.378656126	2.4743083	3.018972332	3.018972332
Acacb	1427052_at	acetyl-Coenzyme A carboxylase beta	1363.3	4439.8	2779.7	2963.7	3.256656642	2.038949608	2.173916233	2.173916233
Acly	1425326_at	ATP citrate lyase	1846.8	7022.9	3429.6	4640.9	3.802739874	1.857050032	2.512941304	2.512941304
Acot11	1429267_at	acyl-CoA thioesterase 11	250.7	2041.9	896.5	621.4	8.144794575	3.575987236	2.478659753	2.478659753
Acss2	1422479_at	acyl-CoA synthetase short-chain family member 2	2933.1	8952.2	4077.9	8042.9	3.052129147	1.390303774	2.74211585	2.74211585
Acta1	1427735_a_at	actin, alpha 1, skeletal muscle	8012.4	6787.9	16168.3	1728.5	-1.180394526	2.01790974	-4.635464275	-4.635464275
Actn2	1448327_at	actinin alpha 2	60.6	83.4	430.7	81	1.376237624	7.107260726	1.336633663	1.336633663
Actn3	1418677_at	actinin alpha 3	1608.5	1191.3	4533	152	-1.350205658	2.818153559	-10.58223684	-10.58223684
Adssl1	1449383_at	adenylosuccinate synthetase like 1	416.4	505.2	1043	268.9	1.213256484	2.504803074	-1.548531052	-1.548531052
Aldh18a1	1435855_x_at	aldehyde dehydrogenase 18 family, member A1	755.4	344.6	548.9	487.1	-2.19210679	-1.376206959	-1.550810922	-1.550810922
Amdhd2	1434855_at	amidohydrolase domain containing 2	441.2	238.3	212.9	302	-1.851447755	-2.072334429	-1.460927152	-1.460927152
Ampd1	1434722_at	adenosine monophosphate deaminase 1 (isoform M)	374.4	283	1066.4	33.6	-1.322968198	2.848290598	-11.14285714	-11.14285714
Apobec2	1417889_at	apolipoprotein B editing complex 2	158.7	168	1307.4	38.9	1.058601134	8.238185255	-4.079691517	-4.079691517
Aqp11	1429254_at	aquaporin 11	185.6	579.4	300.1	310.7	3.121767241	1.616918103	1.674030172	1.674030172
Areg	1421134_at	amphiregulin	1116.5	678.3	2845.8	1219.7	-1.646026832	2.548858039	1.092431706	1.092431706
Art1	1422375_a_at	ADP-ribosyltransferase 1	116.1	114.4	329.4	134.1	-1.01486014	2.837209302	1.15503876	1.15503876
Asb11	1422153_a_at	ankyrin repeat and SOCS box-containing protein 11	102.1	86.2	335.9	39.5	-1.184454756	3.289911851	-2.584810127	-2.584810127
Asb5	1449356_at	ankyrin repeat and SOCs box-containing protein 5	70.2	53	386.3	41.2	-1.324528302	5.502849003	-1.703883495	-1.703883495
Atp2a1	1419312_at	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1863.6	1558	7403.2	298.6	-1.196148909	3.972526293	-6.241125251	-6.241125251
Atp6v1e1	1449711_at	VATPase, H+ transporting, lysosomal V1 subunit E1	254.4	424.3	101.6	508.5	1.667845912	-2.503937008	1.998820755	1.998820755
Bcl11b	1450339_a_at	B-cell leukemia/lymphoma 11B	562.7	452.7	274.9	333.9	-1.242986525	-2.046926155	-1.6852351	-1.6852351
Bex1	1448595_a_at	brain expressed gene 1	876.4	296.7	461.5	336.4	-2.953825413	-1.899024919	-2.605231867	-2.605231867
Btg2	1416250_at	B-cell translocation gene 2, anti-proliferative	1355.2	619.3	864.2	830.9	-2.188277087	-1.56815552	-1.631002527	-1.631002527
