microRNA	Fold change	P-value
hsa-miR-548c-5p	-2.41	2.04E-03
hsa-miR-191	-2.23	1.83E-02
hsa-miR-583	-2.2	3.65E-02
hsa-miR-188-5p	-2.05	6.35E-03
hsa-miR-376c	-2.02	2.06E-02
hsa-miR-532-3p	-1.9	3.29E-02
hsa-miR-34c-3p	-1.82	4.27E-02
hsa-miR-122a	-1.82	2.32E-02
hsa-miR-453	-1.68	1.43E-02
hsa-miR-509	-1.53	3.48E-02
hsa-miR-124a	1.55	1.24E-02
hsa-miR-516-3p	1.56	3.19E-02
hsa-miR-505	1.6	1.38E-02
hsa-miR-18a	1.69	2.28E-02
hsa-miR-208	1.69	2.21E-02
hsa-miR-659	1.71	4.59E-03
hsa-miR-146b	1.88	3.22E-02
hsa-miR-518c	1.88	7.44E-03
hsa-miR-665	1.9	1.13E-03
hsa-miR-485-5p	2.08	3.57E-02
hsa-miR-146a	2.53	2.01E-02
hsa-miR-128a	2.59	3.62E-02
hsa-miR-378	2.7	1.17E-02
hsa-miR-191	2.83	3.93E-02
hsa-miR-324-5p	3.04	2.83E-02
hsa-miR-371-3p	3.67	8.80E-03
hsa-miR-152	3.94	1.96E-02
