Gene	EntrezID	N_TPM	F_TPM	R_TPM
Apoa1	11806	14475.62	21816.42	13537.41
Mup3	17842	10406.49	7733.78	7363.92
Serpina3k	20714	7896.19	7818.44	5577.25
Alb	11657	6857.38	4932.86	5110.91
Cyp2e1	13106	6473.09	13079.52	3868.74
Fgg	99571	5012.48	2403.53	2837.43
Apoe	11816	4778.05	5259.45	4343.41
Ambp	11699	4579.61	2132.14	4467.45
Cyb5	109672	4012.33	5842.52	4054.6
Ahsg	11625	3884.52	4449.86	3628.17
B2m	12010	3542.71	2384.69	2538.64
Gsta3	14859	3381.97	1028.66	4083.6
Trf	22041	3380.25	1498.94	3764.45
Sepp1	20363	3234.97	3548.33	5007.64
Chchd10	103172	3153.55	5686.78	2929.79
Scp2	20280	2721.53	2458.16	2410.69
Hint1	15254	2643.55	2687.27	4492.55
Fgb	110135	2505.24	1796.65	1910.82
Hpx	15458	2246.47	1897.28	4751.33
Bhmt	12116	2195.69	6972.87	771.61
Phyh	16922	2192.06	4508.79	2461.91
Mettl7a1	70152	2085.34	1198.27	2367.28
Comt1	12846	1943.31	352.33	1522.34
Apoc3	11814	1848.91	1959.75	1981.79
Rdh7	54150	1741.53	1712.75	1356.85
Tat	234724	1732.65	6307.82	1548.16
H2-Q10	15007	1666.6	977.48	1462.79
C3	12266	1544.99	2078.37	1760.75
Pah	18478	1536.78	2267.88	1286.5
F2	14061	1514.35	1276.62	1595.57
Adh1	11522	1505.38	999.77	1512.88
Cox7a2	12866	1454.5	1396.11	2032.29
Dbi	13167	1423.77	664	1689.89
Hp	15439	1402	1284.28	2305.57
Apoc1	11812	1393.51	1226.49	1120.59
OTTMUSG00000028889	621093	1363.15	325.83	965.39
Osgin1	71839	1343.01	206.92	827.46
Serpinc1	11905	1303.11	1117.53	1548.67
Ifitm3	66141	1253.29	751.91	1687.73
C8g	110407	1193.82	948.21	1073.48
Rpl41	67945	1140.37	1148.72	1505.99
Slco1b2	28253	1139.41	915.69	985.75
EG13909	13909	1077.85	467.7	766.77
Gpx1	14775	1051.02	1148.72	1003.65
Apoc4	11425	996.52	1906.47	1322.7
Cyp2c29	13095	922.45	927.26	1443.14
Cyp3a11	13112	920.64	2838.32	865.82
Sord	20322	913.1	746.36	1471.53
Fth1	14319	906.22	894.93	1329.9
Pzp	11287	905.94	543.27	823.45
Fbp1	14121	892	1162.4	1017.64
Es31	382053	888.09	562.5	658.26
Azgp1	12007	879.97	1342.25	988.01
Mgst1	56615	878.16	1110.26	1358.39
Vtn	22370	858.78	506.25	749.39
Hrg	94175	858.59	1127.29	669.68
Sepx1	27361	852.48	563.17	592.23
Hrsp12	15473	842.46	890.34	958.29
Thrsp	21835	814.88	28.99	1728.05
Apob	238055	793.02	854.65	889.38
Kng1	16644	774.31	491.8	752.48
Apoh	11818	739.18	752.87	804.01
H2-K1	14972	680.96	557.43	701.36
Pck1	18534	656.14	2481.5	394.14
Tmbim6	110213	656.04	423.98	883.72
Uqcrh	66576	655.57	540.78	721.93
Fah	14085	642.78	714.32	683.67
Uox	22262	636.38	403.7	1031.01
Inmt	21743	630.65	227.2	635.64
Ddt	13202	610.04	1202.48	533.81
Akr1c6	83702	596.67	291.77	566.11
Aadac	67758	582.74	242.12	815.53
Cyp2f2	13107	576.15	447.89	413.99
Uqcrb	67530	574.91	559.53	520.95
Haao	107766	574.62	265.37	590.07
Cdo1	12583	571.66	850.16	369.35
Cd302	66205	548.56	522.03	506.45
Rps27l	67941	542.17	390.4	777.68
Atp5a1	11946	540.93	617.5	721.21
Cbs	12411	534.34	359.21	354.13
Fn1	14268	530.91	379.78	435.17
Cyp7b1	13123	529.76	384.57	346.72
Hsp90ab1	15516	525.08	708.96	660.32
ENSMUSG00000066116	100040611	524.22	459.47	409.56
Slc27a2	26458	524.13	1354.4	257.13
Gstz1	14874	522.12	566.52	461.3
Slc27a5	26459	520.88	575.22	298.07
Pon1	18979	517.35	619.32	443.61
Slc37a4	14385	515.06	757.75	758.03
Itih1	16424	512.39	454.69	413.16
Rarres2	71660	511.72	598.37	470.86
Atp5g3	228033	509.05	633.19	646.74
Itm2b	16432	504.56	519.26	558.39
Apoc2	11813	499.22	661.89	535.66
Cfb	14962	497.31	310.33	522.09
Nudt7	67528	497.31	104.08	404.42
Tdo2	56720	494.16	1266.29	607.25
Errfi1	74155	493.58	812.47	477.86
OTTMUSG00000007485	381530	493.49	210.46	387.96
Ppib	19035	488.72	228.54	805.45
LOC635419	635419	486.9	460.33	397.84
Pecr	111175	483.47	406.47	419.64
Atf5	107503	473.54	931.37	650.96
Eif4h	22384	467.43	398.91	483.21
Uqcrq	22272	467.05	467.03	525.99
Pgam1	18648	463.9	430.77	582.15
Plg	18815	460.94	349.84	336.43
Acox1	11430	454.26	867.66	359.17
Igfbp4	16010	450.44	622.57	422.32
Adk	11534	443.95	443.3	630.08
2810007J24Rik	76971	431.25	477.93	198.61
Atp5e	67126	430.68	439.86	512.01
Got2	14719	427.24	580.67	486.81
2310043N10Rik	66961	426.29	926.11	106.97
Cox6a1	12861	418.56	372.89	423.55
Ndufa6	67130	416.94	451.34	472
Selk	80795	411.3	236.1	558.39
LOC100045864	100045864	409.39	374.52	406.89
Psen2	19165	407.2	304.02	307.33
Ces3	104158	403.76	548.24	151.4
Aldob	230163	401.85	496.01	1370.84
Tmem205	235043	401.09	364	578.24
Lrg1	76905	400.71	330.04	309.18
Pex7	18634	396.22	261.16	365.75
Hpd	15445	391.26	905.74	234.2
Acaa2	52538	387.63	450.09	341.37
Cpt2	12896	384.67	696.81	261.04
Ugt2b36	231396	382.86	248.82	543.38
Rgn	19733	382.29	90.11	360.09
Dhrs4	28200	380.76	357.49	308.36
Ndufv1	17995	378.18	436.61	376.75
Aprt	11821	373.31	639.32	530.73
Itgb5	16419	370.64	182.81	505.32
Ugt2b5	22238	367.49	283.07	623.81
Erp29	67397	360.43	177.17	541.32
Rnase4	58809	360.33	305.16	374.49
Lamp2	16784	358.8	342.95	281.72
Dmgdh	74129	358.71	559.25	397.63
Mat1a	11720	358.52	2731.18	436.82
Pnpla7	241274	358.23	201.37	396.71
Ece2	107522	355.27	260.68	304.45
Ttc36	192653	353.75	444.26	381.07
Hgd	15233	350.31	649.26	354.74
Cideb	12684	339.71	303.25	321.01
Oat	18242	335.61	1432.07	273.28
2300009A05Rik	69478	332.27	240.11	296.42
Ugt3a2	223337	332.17	318.94	230.6
Aldh1l1	107747	331.7	301.82	389.61
Mettl7b	71664	330.74	499.36	530.52
Sdhc	66052	328.26	381.03	406.79
Pgrmc1	53328	327.5	297.03	480.33
Slc38a3	76257	327.4	325.06	396.3
Tubb2a	22151	327.11	64.29	584.83
Serpinf2	18816	326.64	268.05	273.69
Pcbd1	13180	324.16	232.84	365.65
ENSMUSG00000046721	100040970	322.82	406.18	544.2
Cldn2	12738	318.14	171.33	461.5
Brp44	70456	315.28	424.93	340.86
Cpb2	56373	313.56	140.72	277.19
C4bp	12269	313.27	169.8	365.54
ENSMUSG00000058357	100041835	311.27	344.48	462.43
Pak1ip1	68083	310.89	233.23	362.97
Hgfac	54426	310.03	196.01	303.83
Gnb2l1	14694	304.3	369.07	500.28
Cst3	13010	304.11	252.26	238
Gnas	14683	300.2	334.25	472.82
F13b	14060	299.24	238.58	232.04
3110049J23Rik	67307	297.52	332.91	278.01
Glo1	109801	293.61	149.81	204.58
Gls2	216456	293.61	400.92	250.76
AI132487	104910	291.32	650.6	394.75
Ndufa4	17992	290.37	273.21	317.1
Ly6e	17069	287.79	102.07	245.51
Adipor2	68465	284.26	150.76	309.08
Eif5a	276770	284.07	297.51	409.15
Hspa5	14828	283.78	308.32	389.1
Pebp1	23980	283.78	199.94	391.98
Mosc2	67247	282.54	477.55	317.1
Dgat2	67800	282.16	166.17	359.99
Cd164	53599	280.53	170.66	282.95
Apon	28194	280.15	290.43	176.29
Cyb5r3	109754	278.63	43.91	411.62
Lipc	15450	276.81	185.2	207.15
Hpn	15451	276.24	274.46	237.39
P4hb	18453	275	289	402.88
Ndrg2	29811	274.62	328.6	199.84
Pygl	110095	273.76	81.22	351.45
Crot	74114	265.83	558.58	126.72
Gnmt	14711	265.74	389.92	221.24
Cox5a	12858	265.45	262.31	274.21
Cyp3a25	56388	265.36	863.26	231.42
BC026782	545366	265.17	153.06	254.25
Fbxo9	71538	264.4	253.51	221.34
mCG_130059	100047372	263.83	280.39	337.36
Acbd5	74159	262.78	284.21	344.15
Rps9	76846	262.3	298.66	279.35
ENSMUSG00000043801	100041965	262.02	166.64	205.19
C8a	230558	261.73	109.92	246.03
Slc25a25	227731	261.44	329.27	173.72
