Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P287418	Man1a	mannosidase 1, alpha	17.89549
AGI_MM_OLIGO_A_51_P290826	Calca	calcitonin/calcitonin-related polypeptide, alpha	17.27116
AGI_MM_OLIGO_A_51_P194415	Slco3a1	solute carrier organic anion transporter family, member 3a1	15.89572
AGI_MM_OLIGO_A_51_P231103	Defb1	defensin beta 1	15.45595
AGI_MM_OLIGO_A_51_P190279	Nup62	nucleoporin 62	14.3472
AGI_MM_OLIGO_A_51_P398723	Flt1	FMS-like tyrosine kinase 1	14.08252
AGI_MM_OLIGO_A_51_P472795	Slc1a7	solute carrier family 1 (glutamate transporter), member 7	13.9958
AGI_MM_OLIGO_A_51_P427563	Cpne8	copine VIII	12.66945
AGI_MM_OLIGO_A_51_P147984	Itlna	intelectin a	11.58212
AGI_MM_OLIGO_A_51_P360672	Lrrc28	leucine rich repeat containing 28	11.45738
AGI_MM_OLIGO_A_51_P294891	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	11.05705
AGI_MM_OLIGO_A_51_P221460	Ormdl3	ORM1-like 3 (S. cerevisiae)	10.93972
AGI_MM_OLIGO_A_51_P483059	Dicer1	Dicer1, Dcr-1 homolog (Drosophila)	9.966115
AGI_MM_OLIGO_A_51_P371485	C430003P19Rik	RIKEN cDNA C430003P19 gene	9.573042
AGI_MM_OLIGO_A_51_P474334	Pfpl	pore forming protein-like	9.547451
AGI_MM_OLIGO_A_51_P147034	Als2cr15	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 15	8.903134
AGI_MM_OLIGO_A_51_P146063	Sdccag1	serologically defined colon cancer antigen 1	8.868393
AGI_MM_OLIGO_A_51_P248506	4930526H21Rik	RIKEN cDNA 4930526H21 gene	8.703978
AGI_MM_OLIGO_A_51_P170959	Proz	protein Z, vitamin K-dependent plasma glycoprotein	8.440244
AGI_MM_OLIGO_A_51_P413965	Prkcn	protein kinase C, nu	8.255593
AGI_MM_OLIGO_A_51_P229280	Eif3s10	eukaryotic translation initiation factor 3, subunit 10 (theta)	8.147967
AGI_MM_OLIGO_A_51_P451052	Pgm5	phosphoglucomutase 5	8.058667
AGI_MM_OLIGO_A_51_P391870	BC037393	cDNA sequence BC037393	7.841293
AGI_MM_OLIGO_A_51_P464118	5830472F04Rik	RIKEN cDNA 5830472F04 gene	7.835763
AGI_MM_OLIGO_A_51_P501457	Ms4a8a	membrane-spanning 4-domains, subfamily A, member 8A	7.721411
AGI_MM_OLIGO_A_51_P128463	Grrp1	glycine/arginine rich protein 1	7.691125
AGI_MM_OLIGO_A_51_P383524	Art3	ADP-ribosyltransferase 3	7.623113
AGI_MM_OLIGO_A_51_P461141	Pdlim1	PDZ and LIM domain 1 (elfin)	7.214487
AGI_MM_OLIGO_A_51_P322551	Zfp265	zinc finger protein 265	7.173086
AGI_MM_OLIGO_A_51_P176291	Fkbp9	FK506 binding protein 9	7.166404
AGI_MM_OLIGO_A_51_P280158	Sf3b2	splicing factor 3b, subunit 2	7.159221
AGI_MM_OLIGO_A_51_P115268	Ankrd26	ankyrin repeat domain 26	7.101768
AGI_MM_OLIGO_A_51_P264878	Emid1	EMI domain containing 1	7.062646
AGI_MM_OLIGO_A_51_P519008	Irxl1	iroquois homeobox protein-like 1	6.913239
AGI_MM_OLIGO_A_51_P199624	Sfrs8	splicing factor, arginine/serine-rich 8	6.893699
AGI_MM_OLIGO_A_51_P422369	2010001J22Rik	RIKEN cDNA 2010001J22 gene	6.859652
AGI_MM_OLIGO_A_51_P496244	Hoxc6	homeo box C6	6.83901
AGI_MM_OLIGO_A_51_P440743	Celsr1	cadherin EGF LAG seven-pass G-type receptor 1	6.797173
AGI_MM_OLIGO_A_51_P224865	4930456L15Rik	RIKEN cDNA 4930456L15 gene	6.759497
AGI_MM_OLIGO_A_51_P251433	1500035H01Rik	RIKEN cDNA 1500035H01 gene	6.681812
AGI_MM_OLIGO_A_51_P269743			6.626905
AGI_MM_OLIGO_A_51_P335460	Scin	scinderin	6.625588
AGI_MM_OLIGO_A_51_P287069	Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1	6.610696
AGI_MM_OLIGO_A_51_P141660	Dmxl2	Dmx-like 2	6.597611
AGI_MM_OLIGO_A_51_P495012	Cbx1	chromobox homolog 1 (Drosophila HP1 beta)	6.582845
AGI_MM_OLIGO_A_51_P478774	Chrna10	cholinergic receptor, nicotinic, alpha polypeptide 10	6.49435
AGI_MM_OLIGO_A_51_P244820	Trim56	tripartite motif-containing 56	6.420133
AGI_MM_OLIGO_A_51_P481581	BC027061	cDNA sequence BC027061	6.370644
AGI_MM_OLIGO_A_51_P238659	A230046K03Rik	RIKEN cDNA A230046K03 gene	6.232471
AGI_MM_OLIGO_A_51_P117226	Zdhhc2	zinc finger, DHHC domain containing 2	6.229753
AGI_MM_OLIGO_A_51_P165914	6430601A21Rik	RIKEN cDNA 6430601A21 gene	6.193868
AGI_MM_OLIGO_A_51_P330717	Spop	speckle-type POZ protein	6.048143
AGI_MM_OLIGO_A_51_P428708	C4b	complement component 4B (Childo blood group)	5.762028
AGI_MM_OLIGO_A_51_P461678			5.759705
AGI_MM_OLIGO_A_51_P485318	Ddb2	damage specific DNA binding protein 2	5.687635
AGI_MM_OLIGO_A_51_P474538	A330103N21Rik	RIKEN cDNA A330103N21 gene	5.684725
AGI_MM_OLIGO_A_51_P335889	Mrps24	mitochondrial ribosomal protein S24	5.644297
AGI_MM_OLIGO_A_51_P203183	Apob48r	apolipoprotein B48 receptor	5.597851
AGI_MM_OLIGO_A_51_P404463	1500015O10Rik	RIKEN cDNA 1500015O10 gene	5.568549
AGI_MM_OLIGO_A_51_P200819	Prdx4	peroxiredoxin 4	5.488474
AGI_MM_OLIGO_A_51_P285137	Dmxl2	Dmx-like 2	5.458515
AGI_MM_OLIGO_A_51_P274461	Ott	ovary testis transcribed	5.415358
AGI_MM_OLIGO_A_51_P158072	A230050P20Rik	RIKEN cDNA A230050P20 gene	5.352746
AGI_MM_OLIGO_A_51_P302831	Dbccr1	deleted in bladder cancer chromosome region candidate 1 (human)	5.26593
AGI_MM_OLIGO_A_51_P368285	3110032G18Rik	RIKEN cDNA 3110032G18 gene	5.256242
AGI_MM_OLIGO_A_51_P205106	Mlf1	myeloid leukemia factor 1	5.21839
AGI_MM_OLIGO_A_51_P417788	Prop1	paired like homeodomain factor 1	5.163422
AGI_MM_OLIGO_A_51_P171533	2900006K08Rik	RIKEN cDNA 2900006K08 gene	5.141388
