name	MMC n=131 median	MMC n=131 Nb P	WBM n=75 median	WBM n=75 Nb P	CD14 n=5 median	CD14 n=5 Nb P	PMN n=5 median	PMN n=5 Nb P	CD3 n=5 median	CD3 n=5 Nb P	BMSC n=5 median	BMSC n=5 Nb P	Ocs n=7 median	Ocs n=7 Nb P
AREG	1201	131	610	75	1323	5	337	5	1150	5	60	5	64	5
CCL3	721	119	547	75	1880		162	5	608	5	6	0	2012	7
CLCF1	60	4	39	12	69	0	58	0	85	3	129	5	42	0
FGF12	59	114	19	35	33	5	36	5	37	4	27	5	38	6
HGF	218	106	89	71	99	5	102	5	7	0	194	5	36	7
JAG2	69	39	29	29	75	5	55	1	84	5	49	3	48	5
NRG1	42	19	6	2	39		19	0	27	1	27	1	26	0
PTN	186	70	34	19	79	0	75	0	111	0	104	5	89	4
VEGF	374	131	296	75	1081	5	313	5	25	5	1654	5	35	7
VEGFB	47	32	25	14	3	0	8	0	24	0	38	0	68	6
Wnt5A	339	103	60	53	13	2	10	1	10	0	585	5	311	7
Wnt6	319	34	30	3	226	4	158	1	209	5	120	2	197	5
