Curated Gene Symbol	Gene symbol	II-astro score	III-astro score	IV-astro score	Normal-score	II-mean (log base 2)	III-mean (log base 2)	IV-mean (log base 2)	Normal mean (log base 2)
EPHB1	EPHB1	15.4462	0	0	0	6.869894	2.55495	2.65409	2.72811
	LOC732229	13.8658	0	0	0	5.460512	2.59371	2.77408	2.26366
C12orf39	C12orf39	8.5766	0	0	0	5.361751	2.238085	2.58682	2.48695
MARVELD3	MARVELD3	7.8886	0	0	0	6.800398	2.37729	2.86839	2.39552
C15orf60	LOC283677	4.4758	0	0	0	3.883122	2.826663	2.71392	2.8898
FERMT1	C20orf42	3.5577	0	0	0	7.627308	2.859789	2.4558	2.52664
SPTLC3	SPTLC3	3.2679	0	0	0	4.01698	2.255256	2.30132	2.59188
KCNQ1OT1	KCNQ1OT1	2.9128	0	0	0	4.103731	2.338234	2.2464	2.26363
C7orf63	FLJ21062	2.1167	0	0	0	4.753168	2.238085	2.48495	2.26875
ATP13A5	ATP13A5	1.9707	0	0	0	3.214755	2.238085	2.2464	2.43345
PDXDC1	PDXDC1	1.3847	0	0	0	3.134729	2.25661	2.26636	2.26363
CNNM2	CNNM2	0.8081	0	0	0	3.148803	2.27347	2.6133	2.54342
ZBTB39	ZBTB39	0	15.0318	0	0	4.173501	6.19055	4.6856	4.68794
C6orf89	C6orf89	0	11.2219	0	0	2.621672	4.699428	2.91788	2.30613
	LOC116236	0	11.0126	0	0	2.254329	4.397317	2.72612	2.44326
FOXS1	FKHL18	0	10.2107	0	0	2.258635	3.994112	2.2464	2.6121
CTRL	CTRL	0	10.0666	0	0	2.526428	3.937424	2.31851	2.58541
TIRAP	TIRAP	0	9.5523	0	0	2.324936	4.216794	2.2464	2.75954
NEUROG1	NEUROG1	0	2.5236	0	0	2.258056	3.768388	2.64751	2.27475
TMEM44	TMEM44	0	0.4603	0	0	2.315798	3.374982	2.45605	2.51802
RPUSD1	RPUSD1	0	-0.647	0	0	4.034009	2.703442	3.84208	4.14466
DHRS7	DHRS7	0	-2.0711	0	0	3.425335	2.573317	3.60534	4.03533
AKAP7	AKAP7	0	-2.6126	0	0	4.723465	2.652648	5.11056	3.7332
PDE3B	PDE3B	0	-4.2169	0	0	5.989233	4.535432	6.10718	6.31594
CCM2L	C20orf160	0	0	14.9825	0	2.523126	2.790445	4.41487	2.27477
PKMYT1	PKMYT1	0	0	11.89	0	2.644079	2.486864	3.84824	2.26751
TRPV2	TRPV2	0	0	10.5089	0	2.397686	2.732524	4.5048	3.31894
LEFTY2	LEFTY2	0	0	5.3507	0	2.231583	2.258491	5.56688	2.28191
RPRD1B	C20orf77	0	0	5.1848	0	2.333998	2.404051	3.48131	2.3379
MOB3C	MOBKL2C	0	0	3.8936	0	2.517987	2.58549	3.86723	2.45653
STAC	STAC	0	0	2.9965	0	2.275399	2.238151	6.32448	2.78522
GGA3	GGA3	0	0	2.8351	0	2.295872	2.433914	3.46887	2.26651
VAV1	VAV1	0	0	2.1584	0	2.396392	2.515654	4.53627	2.34353
TXNRD2	TXNRD2	0	0	1.3886	0	2.582906	2.358745	3.38602	2.41848
SP100	SP100	0	0	0.9134	0	2.385938	2.339246	3.58699	2.37374
LCP2	LCP2	0	0	0.7656	0	2.268675	2.292975	3.62601	2.88405
RHEB	RHEB	0	0	0.6002	0	2.254732	2.244571	3.16583	2.31595
