Probe	Gene	Adjusted P-value	Fold change
210982_s_at	HLA-DRA	0.006	16.5
208894_at	HLA-DRA	0.003	15.16
209312_x_at	HLA-DRB1	0.009	14.22
209619_at	CD74	0.002	13.7
215193_x_at	HLA-DRB4	0.009	11.81
204670_x_at	HLA-DRB5	0.01	6.09
211990_at	HLA-DPA1	0.026	5.57
208306_x_at	HLA-DRB4	0.005	4.95
211991_s_at	HLA-DPA1	0.02	4.76
212671_s_at	HLA-DQA1	0.049	4.58
217478_s_at	HLA-DMA	0.018	4.12
209823_x_at	HLA-DQB1	0.031	3.29
211656_x_at	HLA-DQB1	0.03	2.98
203932_at	HLA-DMB	0.002	2.84
211654_x_at	HLA-DQB1	0.012	2.48
201137_s_at	HLA-DPB1	0.036	2.48
204279_at	LMP2	0.014	2.22
209140_x_at	HLA-B	0.023	2.21
217362_x_at	HLA-DRB1	0.017	2.03
208812_x_at	HLA-C	0.05	1.75
204769_s_at	TAP2	0.047	1.57
209040_s_at	LMP7	0.039	1.52
213932_x_at	HLA-A	0.047	0.74
222279_at	HLA-F	0.001	0.42
