Entrez Gene ID	Gene Symbol	logFC	p-value
374897	SBSN	1.82E+00	3.00E-03
56675	NRIP3	1.31E+00	0.0027
51099	ABHD5	8.90E-01	0.0019
2817	GPC1	8.54E-01	0.0057
9209	LRRFIP2	8.51E-01	0.0007
3638	INSIG1	7.98E-01	0.0019
9903	KLHL21	7.96E-01	0.0012
79614	C5orf23	7.58E-01	0.0009
23466	CBX6	7.23E-01	0.0048
6744	SSFA2	6.61E-01	0.0013
8853	ASAP2	6.55E-01	0.0005
5714	PSMD8	6.50E-01	0.0064
79669	C3orf52	6.44E-01	0.0076
7866	IFRD2	6.15E-01	0.002
6988	TCTA	5.77E-01	0.0001
10352	WARS2	5.77E-01	0.0015
3475	IFRD1	5.71E-01	0.005
10039	PARP3	5.68E-01	0.0041
10383	TUBB2C	5.68E-01	0.0043
643319		5.56E-01	0.0075
7384	UQCRC1	5.55E-01	0.0011
55129	ANO10	5.53E-01	0.0013
284023	LOC284023	5.48E-01	0.0059
9861	PSMD6	5.30E-01	0.0051
7873	MANF	5.26E-01	0.0097
80145	THOC7	5.07E-01	0.0009
54606	DDX56	5.02E-01	0.0096
9943	OXSR1	4.97E-01	0.0039
5045	FURIN	4.86E-01	0.0067
54942	C9orf6	4.85E-01	0.0054
7165	TPD52L2	4.84E-01	0.0081
5372	PMM1	4.83E-01	0.0089
908	CCT6A	4.80E-01	3.60E-03
8668	EIF3I	4.78E-01	0.0049
1454	CSNK1E	4.67E-01	0.0072
10425	ARIH2	4.64E-01	0.0035
23016	EXOSC7	4.57E-01	0.0048
11070	TMEM115	4.48E-01	0.0017
6390	SDHB	4.38E-01	0.0078
22907	DHX30	4.31E-01	1.40E-03
51447	IP6K2	4.28E-01	0.0065
51619	UBE2D4	4.23E-01	0.0017
11099	PTPN21	4.23E-01	0.0076
201626	PDE12	4.23E-01	0.0028
51460	SFMBT1	0.4197	0.0097
23276	KLHL18	0.413	2.50E-03
26097	C1orf77	0.4127	0.0071
1605	DAG1	0.4078	0.0082
