Accession no.	Gene name	Ratio of gene expression A	B	C	D	E	F	G	H	I	J	Mean	p	Function
X06233	MRP14	823.9	443.4	348.7	1426.2	255.2	920.7	371.5	657.3	65	42.3	535.4	<0.001	Extracellular signaling and communication
X06233	MRP14	195.7	21.5	145.8	38.3	24.8	64.7	68.1	86.2	80.3	19.6	74.5	<0.001	Extracellular signaling and communication
X06234	MRP8	953.5	127.3	275.3	777.9	173.2	433	232	336.3	53.6	23.8	338.6	<0.001	Extracellular signaling and communication
X06234	MRP8	273.5	3.3	36.4	10.3	20.6	20.9	32.9	38.9	28.4	9.8	47.5	<0.001	Extracellular signaling and communication
M27544	IGF1A	125.3	7	15.5	17.1	10.6	28.2	21.8	6	7.2	12.6	25.1	<0.001	Extracellular signaling and communication
M27544	IGF1A	39.6	1	4.1	0.9	2.2	2.2	4.8	1.5	4.1	2.6	6.3	0.011	Extracellular signaling and communication
M31159	IGF-binding protein 3	1.3	4.1	4.1	3.3	3	11.5	2	8.7	0.9	1.1	4	0.028	Extracellular signaling and communication
M31159	IGF-binding protein 3	1.6	2.2	5.6	5.1	3.6	3.3	2.1		2.4	0.9	3	0.01	Extracellular signaling and communication
M60278	Heparin-binding epidermal growth factor-like growth factor	A	23	11.3	66.5	2.6	3.5	up	5	2.7	A	16.4	0.004	Extracellular signaling and communication
D16431	Hepatoma-derived growth factor	8.2	2	2.3	2.3	1.3	2.6	2.2	2.5	1.4	1.9	2.7	<0.001	Extracellular signaling and communication
K03515	Neuroleukin (NLK)	A	1.8	3.3	1.6	5.1	2.1	2.1	1.9	1.4	2.3	2.4	<0.001	Extracellular signaling and communication
M22488	Bone morphogenetic protein 1 (BMP1)	3.4	1.9	1.7	2	1.3	2.7	2.2	4.8	2.2	1.3	2.3	<0.001	Extracellular signaling and communication
M92381	Thymosin -10	5.3	1.4	3.7	4.2	1.9	3.7	2.9	3.5	2.3	2.5	3.2	<0.001	Extracellular signaling and communication
M24545	Monocyte chemotactic and activating factor (MCAF)	0.3	0.4	0.3	0.2	0.5	0.6	0.1	0.7	0.8	0.3	0.4	0.008	Extracellular signaling and communication
X02851	IL-1	236.8	22.5	39.1	48.8	24.7	89.9	65.8	37.1	77.9	23.3	66.6	<0.001	Extracellular signaling and communication
X02851	IL-1	79.8	1.6	12	2.2	2.8	5.3	11.2	A	10.8	A	15.7	0.003	Extracellular signaling and communication
M65290	IL-12	40.8	11.4	26.3	20.8	13.9	31.8	27.9	1.4	11.1	14	19.9	<0.001	Extracellular signaling and communication
M68932	IL-8 receptor A	A	6	2.8	318.3	A	5.6	14.1	2.6	A	A	58.2	0.081	Cell receptors
M15169	2-adrenergic receptor	0.4	0.4	0.4	0.5	0.4	0.5	0.5	0.7	0.8	0.3	0.5	<0.001	Cell receptors
M62424	Thrombin receptor (TR); F2R; PAR1	0.2	0.4	0.3	0.2	0.4	0.3	0.2	0.3	0.8	0.5	0.4	<0.001	Cell receptors
J04145	Integrin M	13.4	A	2.1	8.2	3.5	8.6	1.2	A	A	99.8	19.5	0.012	Cell surface adhesion
X53586	integrin 6 precursor	1.2	2.7	2.6	4.5	2.3	3.2	3	4.1	1.5	2.2	2.7	<0.001	Cell surface adhesion
X08058	Glutathione S-transferase pi	5.9	2.3	3.5	2.6	1.7	5.9	3.4	2.8	4.2	2.5	3.5	<0.001	Detoxification/anti-oxidation
X08058	Glutathione S-transferase pi	5.4	0.9	3.1	1.2	2.2	3	3.1	2.3	2.7	2.4	2.6	<0.001	Detoxification/anti-oxidation
P09488	Glutathione S- transferase mu1	2.2	1.5	2.4	1.7	2.2	2.8	3.2	1.3	1.8	2	2.1	<0.001	Detoxification/anti-oxidation
P00390	Glutathione reductase	3.6	1.9	2.7	1.5	2.7	2.5	4.7	2.7	1.9	2.8	2.7	<0.001	Detoxification/anti-oxidation
X67951	Thioredoxin peroxidase 2	2.2	1.5	2.7	1.9	2.7	2.5	1.9	2.7	6.7	3.8	2.9	<0.001	Detoxification/anti-oxidation
S90469	Cytochrome P450 reductase	A	2.1	1.7	2.4	1.3	2.4	3.3	2.4	1.7	1.6	2.1	<0.001	Detoxification/anti-oxidation
X76648	Glutaredoxin	0.4	0.8	0.3	0.1	0.3	0.3	0.1	0.3	0.9	0.2	0.4	<0.001	Detoxification/anti-oxidation
X80692	ERK3	11	1.3	2.1	2	2	2.5	3	0.7	1.5	3.7	3	0.006	Intracellular signaling
U02082	Guanine nucleotide regulatory protein tim1	0.2	0.7	0.4	0.6	0.5	0.4	0.6	0.5	0.6	0.6	0.5	<0.001	Intracellular signaling
D13639	G1/S-specific cyclin D2 (CCND2)	1.3	3.1	4.1	4.3	2.3	3.8	5.2	2.9	1.3	1.6	3	<0.001	Cell cycle
U18422	E2F dimerization partner 2	0.3	0.2	0.5	0.3	0.3	0.4	0.2	0.3	0.9	0.3	0.4	<0.001	Cell cycle
X55504	Proliferating cell nucleolar antigen P120	0.9	3.3	3.2	4.9	1	3.9	5.5	1.9	2.3	1	2.8	0.004	Cell cycle
X16707	FRA1	15	30	74.9	184.7	12.7	43.8	173.6	28.5	6	A	63.2	<0.001	Transcription
X16707	FRA1	A	A	A	5.4	9	2.9	10.5	A	A	3.2	6.2	0.003	Transcription
M83234	YB-1	2	2.1	2.8	2.2	2.7	2.4	2.6	3.3	1.7	3	2.5	<0.001	Transcription
L34587	Transcription elongation factor B (SIII)	5.1	3.4	2.3	1.9	1.5	2.2	2.2	2.1	2.2	1.6	2.4	<0.001	Transcription
M19720	L-myc	0.4	0.7	0.4	0.1	0.5	0.4	0.1	0.4	1.2	0.8	0.5	0.006	Transcription
Y09392	Death domain receptor 3 (DDR3)	3.5	1.7	3.4	1.4	3.2	2.9	3.1	1.3	2	1.6	2.4	<0.001	Apoptosis
X07270	Heat shock 90 kDa protein A	2.1	1.8	1.3	2.5	2.1	3.5	3.3	2.2	2.3	2.1	2.3	<0.001	Stress response
U07418	DNA mismatch repair protein MLH1	4.7	3.4	2.9	2.6	2.8	5	3.4	2.1	3.1	2.3	3.2	<0.001	DNA repair
U07418	DNA mismatch repair protein MLH1	4.5	1.5	3.2	1.9	2.5	3.2	3	1.4	2.5	2.7	2.6	<0.001	DNA repair
	Cytoplasmic -actin	1	6.3	2.7	3.2	2.6	3.1	2.4	3.2	1.5	1.7	2.8	<0.001	Other
	GAPDH	1.4	2	3.8	2.2	2.7	3.5	2.7	4.1	1.2	2.1	2.6	<0.001	Other
	Brain-specific tubulin 1 subunit	1.8	1.7	1.8	2.6	2.4	2.3	2.4	5.4	1.4	2.6	2.5	<0.001	Other
