CloneID	Symbol	Gene name	Fold (PBC/N)	Fold (PBC1UDCA/N)	Fold (PBC1UDCA/PBC)
487453	IGFBP1	Insulin-like growth factor binding protein 1	0.08	0.03	0.44
52905	DUSP1	Dual-specificity phosphatase 1	0.14	0.14	0.98
128949	AGXT2	Alanine-glyoxylate aminotransferase 2	0.18	0.26	1.42
126513	MGC35366	Hypothetical protein MGC35366	0.23	0.31	1.31
5710020	DPT	Dermatopontin	0.25	0.35	1.40
5715196	FOS	v-fos FBJ murine osteosarcoma viral oncogene homologue	0.26	0.24	0.93
127724	FLJ20605	EST	0.28	0.35	1.25
138644	CDH5	Cadherin 5, type 2, VE-cadherin (vascular epithelium)	0.30	0.35	1.14
124543	FST	Follistatin	0.30	0.24	0.79
1190755	COL3A1	Collagen, type III, a 1	0.33	0.35	1.08
471596	FBLN5	Fibulin 5	0.34	0.34	1.02
183315	C10orf116	Chromosome 10 open reading frame 116	0.34	0.35	1.03
240300	SERPIEST4	Serine (or cysteine) proteiESTse inhibitor, clade A, member 4	0.37	0.52	1.41
5851615	PRELP	Proline arginine-rich end leucine-rich repeat protein	0.37	0.42	1.14
380876	SERPING1	Serine (or cysteine) proteiESTse inhibitor, clade G (C1 inhibitor), member 1	0.38	0.57	1.47
382989	DCN	Decorin	0.40	0.52	1.29
471514	IRS2	Insulin receptor substrate 2	0.41	0.37	0.90
137292	LDB2	LIM domain binding 2	0.42	0.49	1.17
182425	RGPR	Regucalcin gene promotor region-related protein	0.44	0.41	0.93
486668	ZFP36	Zinc finger protein 36, C3H type, homologue (mouse)	0.46	0.43	0.95
247629	OVGP1	Oviductal glycoprotein 1, 120 kDa (mucin 9, oviductin)	0.47	0.52	1.11
446710	VTN	Vitronectin (serum spreading factor, somatomedin B, complement S-protein)	0.48	0.55	1.16
128889	PPP2R1B	Protein phosphatase 2, regulatory subunit A (PR 65), b isoform	0.48	0.54	1.14
501516	WDR5B	WD repeat domain 5B	0.49	0.40	0.81
162346	OLFML3	Olfactomedin-like 3	0.49	0.55	1.12
489282	KLF10	Kruppel-like factor 10	0.49	0.43	0.87
301565	AGTRL1	Angiotensin II receptor-like 1	0.50	0.48	0.97
212690	HAO1	Hydroxyacid oxidase (glycolate oxidase) 1	0.51	0.43	0.84
52043	H63	H63 breast cancer expressed gene	0.51	0.52	1.03
208383	FCN2	Ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	0.52	0.55	1.05
130081	JMJD1C	Jumonji domain containing 1C	0.53	0.53	1.00
27003	FLJ10979	EST	0.53	0.72	1.36
128150	BIN2	Bridging integrator 2	0.54	0.64	1.20
5301677	RBP1	Retinol-binding protein 1, cellular	0.55	0.59	1.08
298836	MEF2C	MADS box transcription enhancer factor 2, polypeptide C	0.55	0.60	1.10
294549	FLJ20699	Hypothetical protein FLJ20699	0.56	0.56	1.01
126592	KIAA0977	EST	0.56	0.56	0.99
166013	FXYD6	FXYD domain containing ion transport regulator 6	0.56	0.62	1.10
124086	IL11RA	Interleukin 11 receptor, a	0.57	0.66	1.17
5825523	CRYAB	Crystallin, a B	0.57	0.72	1.27
135106	DKFZp434C0328	Hypothetical protein DKFZp434C0328	0.57	0.63	1.10
138917	MYCL1	v-myc myelocytomatosis viral oncogene homologue 1	0.58	0.60	1.04
52937	ALS2CR19	Amyotrophic lateral sclerosis 2 chromosome region, candidate 19	0.58	0.71	1.23
179848	MAP4	Microtubule-associated protein 4	0.58	0.75	1.30
208384	KIAA0922	KIAA0922 protein	0.58	0.56	0.97
343293	CLU	Clusterin (complement lysis inhibitor, SP-40,40, sulphated glycoprotein 2)	0.58	0.59	1.01
133082	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	0.58	0.72	1.23
446820	BG1	Lipidosin	0.59	0.75	1.28
131137	HSPG2	Heparan sulphate proteoglycan 2 (perlecan)	0.59	0.69	1.16
177757	GSDML	Gasdermin-like	0.60	0.54	0.91
