Gene	Non-Diabetic p	Diabetic p
KLRG1	0.933635139	0.000313584
GZMK	0.176629393	0.002075813
CCR5	0.524551866	0.002796076
RPS4Y1	0.641924002	0.003924492
TUBB2A	0.905726045	0.012164059
TARP	0.855579011	0.013579949
IGHA1	0.427023322	0.015653596
CACNA2D2	0.579670417	0.021884775
ADRB2	0.14583996	0.035331896
DB097529	0.739638806	0.037474362
CB853344	0.924313185	0.042530621
RHOH	0.914493918	0.045421079
GPR114	0.113792718	0.082926442
RPS27A	0.127518837	0.085484803
CD3E	0.114159341	0.090230797
RELA	0.800147639	0.124184492
HDC	0.611947115	0.124749411
NR1D1	0.08855384	0.140309177
RRN3	0.883475152	0.14306721
MARCO	0.000742446	0.162858627
ARL17P1	0.009929764	0.163503477
POLR2L	0.110001621	0.169570816
RPL10A	0.372025559	0.176554229
TLR5	5.31E-05	0.187801635
RPL34	0.047258313	0.194514225
CARKL	0.796426726	0.197876342
DPM3	0.100527185	0.210155758
C11orf2	0.279960963	0.21235462
LIF	0.319291	0.220377076
DHFR	0.005845519	0.227352382
BU540282	0.855833364	0.253041264
CDC42SE2	0.303933209	0.27279888
OLIG2	9.85E-05	0.291441723
DERL3	0.009989003	0.311630921
SLK	0.022499454	0.315243668
MBOAT2	7.53E-07	0.32533079
ST3GAL1	0.555439718	0.329090787
FOLR3	0.293485861	0.330960224
NDUFS7	0.510992855	0.362739986
SLC29A1	0.000196258	0.370006714
TCF7	0.139201093	0.384656786
BQ130147	0.005433882	0.39124831
SPSB2	0.710554126	0.392430072
REEP3	0.003636115	0.39572088
CBS	8.55E-05	0.414841711
GSTO1	0.000439166	0.421164955
VSIG4	0.03654483	0.436274059
OLIG1	0.000739337	0.438928192
RPL8	0.420798397	0.441110854
CR609588	0.829179104	0.44827808
ARG1	9.78E-05	0.454989416
JAK2	6.15E-05	0.462535965
CLC	8.44E-05	0.478209075
PAPSS1	0.002660178	0.497255641
HSPB1	0.011649931	0.503891496
MPZL1	0.069994815	0.504344915
BC032451	0.015738039	0.505628786
BCL2A1	2.82E-05	0.50979301
CKLF	8.76E-06	0.515802792
S100A9	1.05E-07	0.5350388
MAPK8IP1	0.000267919	0.558711324
LOXL2	0.153997075	0.559866641
GSTP1	0.802223179	0.622441442
SLC22A1	0.000127897	0.626928629
HGF	0.001272015	0.63284641
EPOR	0.918974368	0.633466985
ETFB	0.143878666	0.645850919
SSNA1	0.103788889	0.6470392
IRF2	0.018278933	0.665824694
ASMTL	0.311592758	0.681691103
ST6GALNAC3	0.000812432	0.686396961
CSTA	3.11E-06	0.707081235
SMN1	0.473451351	0.714837746
REEP5	0.000215833	0.733733395
FCGBP	0.074075812	0.796385743
S100A12	4.72E-06	0.804439181
CAT	4.59E-08	0.81384176
LOC644246	2.86E-06	0.820487985
FRAT1	3.40E-05	0.859050707
ATP11B	6.97E-05	0.882770629
LGALS1	0.039299421	0.918250705
YWHAZ	0.023358903	0.927846666
MMD	0.153204886	0.941639541
CD33	0.101691174	0.950753885
CD248	0.186672242	0.973814259
ADORA3	0.000150846	0.975200559
TXN	3.23E-08	0.99228328
LPGAT1	1.59E-06	0.995574922
