Curated Gene Symbol	Gene Symbol	n	Pearson correlation r	Pearson correlation P	Spearman rank correlation r	Spearman rank correlation P
FOS	FOS	9	0.9	0.001	0.8	0.01
EMILIN1	EMILIN1	11	0.306	0.36	0.309	0.355
IFI27L2	FAM14A	16	0.524	0.037	0.698	0.003
NAMPT	PBEF	15	0.764	0.001	0.721	0.002
MAL2	MAL2	13	0.509	0.076	0.484	0.094
CPNE3	CPNE3	19	0.76	<0.001	0.731	<0.001
	262664_OR	17	0.32	0.211	0.328	0.198
	262638_OR	16	0.351	0.183	0.509	0.044
CTGF	CTGF	13	0.574	0.04	0.637	0.019
SMOC2	SMOC2	12	0.581	0.048	0.86	<0.0001
DUSP1	DUSP1	12	0.727	0.011	0.655	0.029
	PKL3	11	0.856	0.002	0.067	0.855
SLMO2	C20orf45	12	0.03	0.994	0.343	0.276
SRPRB	SRPRB	13	-0.206	0.499	-0.011	0.972
