Gene Symbol	Probeset ID	p-value	Fold-Change
DLK1	209560_s_at	9.57E-11	8.08677
EPHA3	206070_s_at	3.32E-06	3.10565
	215126_at	1.47E-05	2.73664
LOC100130725 /// PAGE2 /// PAGE2B	231307_at	5.98E-06	2.37206
	241764_at	1.04E-06	2.33725
	214896_at	2.34E-06	2.29386
RELN	205923_at	2.58E-05	2.18467
NXN	219489_s_at	0.000200937	2.07321
CADM1	209031_at	8.56E-05	2.05507
PMP2	206826_at	9.13E-08	2.01421
EPAS1	200878_at	1.09E-07	-2.00371
RBPMS	209487_at	0.000187135	-2.05842
PAGE1	206897_at	3.95E-10	-2.06432
PROS1	207808_s_at	4.38E-05	-2.09037
SERPINB1	212268_at	3.95E-07	-2.11994
ARHGAP29	203910_at	0.000191475	-2.22268
SERPINB1	213572_s_at	1.50E-05	-2.23435
FOXP2	243278_at	0.000111036	-2.26794
	1560240_at	0.000101357	-2.28772
C6orf114	1554486_a_at	6.90E-05	-2.28776
LOC387763	227099_s_at	4.63E-05	-2.29503
HSPA1A	200799_at	3.30E-05	-2.38521
CFH	213800_at	1.65E-05	-2.40737
PNLIPRP3	1558846_at	1.48E-05	-2.44681
PLN	228202_at	4.74E-06	-2.51621
CFH /// CFHR1	215388_s_at	4.28E-07	-2.53093
TAF7L	220325_at	8.78E-13	-2.57678
PLN	204939_s_at	0.000111985	-2.62034
PLN	204940_at	2.71E-05	-2.62366
TAF7L	224380_s_at	2.13E-13	-2.6654
KIF5C	203130_s_at	0.000259929	-2.67813
PLN	204938_s_at	0.000143787	-2.82301
MICB	206247_at	6.68E-06	-2.87944
HTN3	206786_at	1.40E-05	-4.49225
