Gene name	Description	Entrez Gene ID	Fold Change	P-value
aanat2	Arylalkylamine N-acetyltransferase	30685	1.47	0.00002
abhd4	Abhydrolase domain containing 4	550276	1.6	2.11E-07
acta1	Actin, alpha 1, skeletal muscle	58114	2.57	3.32E-11
adam8	A disintegrin and metalloproteinase domain 8	368917	1.33	9.69E-12
adra1a	Adrenergic, alpha-1A-, receptor	324111	1.88	7.32E-09
adra2c	Adrenergic, alpha-2C-, receptor	266752	1.65	0.00006
agt	Angiotensinogen	322485	2.05	1.37E-07
ahsg	Alpha-2-HS-glycoprotein	322522	1.83	0.00004
ak5	Adenylate kinase 5	336312	1.69	7.68E-07
akt2l	V-akt murine thymoma viral oncogene homolog 2, like	403146	1.49	1.88E-12
alas1	Aminolevulinate, delta-, synthetase 1	64608	2.29	5.64E-13
aldh8a1	Aldehyde dehydrogenase 8 family, member A1	447801	1.87	3.94E-11
alg5	Asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)	334646	1.53	9.23E-10
amfr	Autocrine motility factor receptor	406442	1.24	0.00002
amot	Angiomotin	335547	1.57	4.54E-06
anxa4	Annexin A4	353362	2.37	0.00002
apom	Apolipoprotein M	114409	1.59	2.22E-08
arl4a	ADP-ribosylation factor-like 4a	393834	1.59	6.58E-08
arntl1a	Aryl hydrocarbon receptor nuclear translocator-like 1a	58098	1.52	2.03E-10
asb13	Ankyrin repeat and SOCS box-containing 13	436801	1.69	2.28E-09
ascl1b	Achaete-scute complex-like 1b (Drosophila)	30478	1.16	0.00002
atf7a	Activating transcription factor 7a	566279	1.7	0.00007
atf7b	Activating transcription factor 7b	568197	1.75	9.49E-07
atoh7	Atonal homolog 7	58216	1.5	1.39E-07
atp1b2b	ATPase, Na+/K+ transporting, beta 2b polypeptide	114457	1.83	1.46E-16
atxn7l2	Ataxin 7-like 2	436928	1.62	0.00009
axin2	Axin 2 (conductin, axil)	58080	1.33	1.41E-09
bactin2	Bactin2	57935	1.57	0
bcas3	Breast carcinoma amplified sequence 3	393594	1.67	2.20E-10
bik	BCL2-interacting killer (apoptosis-inducing)	564030	1.93	0.00002
bmp1a	Bone morphogenetic protein 1a	572452	1.46	2.22E-06
bmpr2b	Bone morphogenetic protein receptor, type II b (serine/threonine kinase)	555655	1.49	4.54E-14
btaf1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated	266968	1.57	2.08E-18
btg1	B-cell translocation gene 1	114432	1.34	3.50E-07
c1qc	Complement component 1, q subcomponent, C chain	449803	1.67	2.89E-07
c20orf149l	Chromosome 20 open reading frame 149, like	336303	1.39	1.38E-10
cacna1c	Calcium channel, voltage-dependent, L type, alpha 1C subunit	170581	2.28	1.76E-08
calb2l	Calbindin 2, like	393691	1.73	0.00009
camk1g	Calcium/calmodulin-dependent protein kinase IG	335654	3.46	0.00001
caprin2	Caprin family member 2	407729	1.55	3.47E-07
cbln1	Cerebellin 1 precursor	436793	1.57	5.11E-12
cbx2	Chromobox homolog 2 (Drosophila Pc class)	327291	1.31	1.11E-06
ccm2	Cerebral cavernous malformation 2	436586	2.04	2.31E-09
cdc2l5	Cell division cycle 2-like 5 (cholinesterase-related cell division controller)	326776	1.9	4.38E-14
cdh4	Cadherin 4, retinal	30297	2.29	1.30E-23
cdon	Cell adhesion molecule-related/down-regulated by oncogenes	280652	1.68	1.37E-17
CGNL1	CGNL1 protein	553350	1.41	6.78E-10
CH211-133N4.6	Hypothetical protein LOC797776	797776	1.41	0.000009467
CH211-45M15.1	Hypothetical protein LOC556137	556137	2.78	1.40E-45
chd	Chordin	30161	1.95	1.04E-17
chrna2	Cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	394201	1.49	0.0001
chys1	Carbohydrate (chondroitin) synthase 1	324407	1.42	3.07E-10
cldng	Claudin g	81586	1.66	0.00005
clock	Clock	30140	2.46	2.57E-17
cnot3	CCR4-NOT transcription complex, subunit 3	327627	1.5	5.21E-12
colec11	Collectin sub-family member 11	492459	2.08	4.09E-25
cox17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	447914	1.81	0.00002
cox7c	Cytochrome c oxidase, subunit VIIc	336118	1.54	6.79E-06
cp	Ceruloplasmin	84702	1.67	0.00002
cpsf6	Cleavage and polyadenylation specific factor 6	327069	1.53	1.58E-08
cpt1al	Carnitine palmitoyltransferase 1A like	449677	1.8	0.00002
cry1a	Cryptochrome 1a	83777	1.61	3.15E-12
cry3	Cryptochrome 3	83774	1.45	0.00002
crybb1	Crystallin, beta B1	114418	1.77	2.75E-12
crygs1	Crystallin, gamma S1	503587	2.46	1.31E-07
crygs3	Crystallin, gamma S3	550617	1.98	8.07E-07
cx52.9	Connexin 52.9	404625	2.34	3.90E-09
cyp26a1	Cytochrome P450, subfamily XXVIA, polypeptide 1	30381	1.4	1.46E-09
cyp2j30	Cytochrome P450, family 2, subfamily J, polypeptide 30	492484	1.48	3.12E-07
cyp2v1	Cytochrome P450, family 2, subfamily V, polypeptide 1	414933	1.27	0.00001
cyp3a65	Cytochrome P450, family 3, subfamily A, polypeptide 65	553969	2.59	8.51E-22
dacha	Dachshund a	192121	1.39	0.00002
dachb	Dachshund b	192122	1.28	0.00001
dao.3	D-amino-acid oxidase 3	402994	2.93	6.29E-06
dbx1b	Developing brain homeobox 1b	30416	1.4	2.21E-09
DKEY-180P18.3	Type II CAX cation/proton exchanger	560283	1.83	4.59E-08
DKEY-240E12.6	Novel galactose binding lectin domain containing protein	562920	2.86	9.68E-06
DKEYP-117H8.2	Similar to CG14692-PA	570321	1.56	2.15E-08
dkk1	Dickkopf 1	30197	1.32	4.51E-09
dlx1a	Distal-less homeobox gene 1a	30568	1.25	0.00009
dlx4b	Distal-less homeobox gene 4b	30581	1.36	0.00004
dnajc17	DnaJ (Hsp40) homolog, subfamily C, member 17	393216	1.42	1.85E-07
dnd	Dead end	373074	1.93	0.00005
Dr.10000	Transcribed locus, weakly similar to XP_001103904.1  similar to copine III [Macaca mulatta]		3.75	1.38E-06
Dr.107685	Transcribed locus		1.58	0.00004
Dr.107707	Transcribed locus		1.36	2.39E-09
Dr.107777	Transcribed locus, moderately similar to XP_001096289.1  similar to pumilio 1 isoform 1 isoform 1 [Macaca mulatta]		1.44	4.13E-07
Dr.107982	Transcribed locus		1.72	4.25E-07
Dr.108164	Transcribed locus		1.82	2.97E-12
Dr.10826	Transcribed locus, weakly similar to XP_001103359.1  ectonucleotide pyrophosphatase/phosphodiesterase 1 [Macaca mulatta]		1.58	4.48E-14
Dr.110695	Transcribed locus		1.83	9.19E-06
Dr.111528	Transcribed locus, strongly similar to XP_702328.1  hypothetical protein XP_697236 [Danio rerio]		1.87	4.07E-10
Dr.113787	Transcribed locus, weakly similar to XP_001108355.1  similar to Mov10, Moloney leukemia virus 10, homolog isoform 7 [Macaca mulatta]		2.02	0.0001
Dr.115339	Transcribed locus, strongly similar to XP_001333688.1  hypothetical protein [Danio rerio]		2.76	1.37E-09
Dr.115690	Transcribed locus, strongly similar to XP_001332488.1  hypothetical protein [Danio rerio]		2	0.00005
Dr.117953	Transcribed locus		2.95	4.79E-11
Dr.121686	Transcribed locus		1.58	0.00006
Dr.121869	Transcribed locus, moderately similar to XP_001101428.1  similar to transcription elongation regulator 1 isoform 1 isoform 4 [Macaca mulatta]		1.47	3.19E-11
Dr.122023	Transcribed locus, weakly similar to XP_001086221.1  similar to uridine-cytidine kinase 2 isoform 1 [Macaca mulatta]		1.7	3.01E-07
Dr.122056	Transcribed locus, weakly similar to XP_001111936.1  NCK interacting protein with SH3 domain isoform 2 [Macaca mulatta]		2.22	1.55E-07
Dr.122128	Transcribed locus, weakly similar to XP_687898.2  similar to pim-3 oncogene [Danio rerio]		1.75	6.06E-11
Dr.122183	Transcribed locus		1.54	0.00001
Dr.122289	Transcribed locus		1.94	0.00001
Dr.122446	Transcribed locus		2.1	0.00001
Dr.122469	Transcribed locus		1.87	3.97E-16
Dr.122495	Transcribed locus		1.69	0.00002
Dr.122635	Transcribed locus		1.52	1.33E-08
Dr.122664	Transcribed locus		2.08	1.04E-21
Dr.122673	Transcribed locus		2.72	2.11E-08
Dr.122674	Transcribed locus		1.43	7.10E-06
Dr.122675	Transcribed locus		1.73	5.67E-06
Dr.122695	Transcribed locus		1.43	8.91E-09
Dr.122710	Transcribed locus		1.65	4.04E-08
Dr.122716	Transcribed locus		1.56	0.00001
Dr.122784	Transcribed locus		1.49	2.90E-18
Dr.122796	Transcribed locus		1.8	0.00002
Dr.122808	Transcribed locus		2.15	1.71E-09
Dr.122838	Transcribed locus		1.81	1.53E-08
Dr.123021	Transcribed locus		1.61	0.00001
Dr.123037	Transcribed locus		1.64	1.05E-06
Dr.123044	Transcribed locus, moderately similar to NP_001076542.1  protein LOC100034505 [Danio rerio]		1.54	0.00001
Dr.123085	Transcribed locus		1.77	2.82E-06
Dr.123115	Transcribed locus		2.04	7.93E-10
Dr.123119	Transcribed locus		1.76	1.00E-06
Dr.123130	Transcribed locus		3.31	0.00004
Dr.123132	Transcribed locus		1.49	8.18E-07
Dr.123160	Transcribed locus, moderately similar to XP_684333.2  hypothetical protein, partial [Danio rerio]		2.15	9.07E-07
Dr.123211	Transcribed locus		2.13	6.32E-17
Dr.123217	Transcribed locus		2.07	0.000000634
Dr.123221	Transcribed locus		2.3	7.29E-08
Dr.123235	Transcribed locus, moderately similar to XP_001333768.1  similar to LOC566027 protein [Danio rerio]		2.32	1.11E-11
Dr.123301	Transcribed locus, moderately similar to XP_001341685.1  hypothetical protein [Danio rerio]		2.37	1.32E-20
Dr.123321	Transcribed locus		1.4	0.00007
Dr.123327	Transcribed locus		2.24	9.75E-17
Dr.123376	Transcribed locus		1.85	4.77E-20
Dr.123421	Transcribed locus, weakly similar to XP_426430.1  similar to papilin [Gallus gallus]		2.72	5.32E-15
Dr.123511	Transcribed locus		1.8	2.85E-09
Dr.123512	Transcribed locus		1.35	0.00002
Dr.123532	Transcribed locus		1.29	3.26E-06
Dr.123611	Transcribed locus		1.65	2.38E-11
Dr.123661	Transcribed locus		1.44	0.00001
Dr.123709	Transcribed locus		2.06	0.00008
Dr.123722	Transcribed locus, strongly similar to NP_955828.1  neuronal intermediate filament protein, alpha [Danio rerio]		1.81	4.79E-08
Dr.123726	Transcribed locus		1.4	4.57E-09
Dr.123748	Transcribed locus		1.73	0.00002
Dr.123752	Transcribed locus		2.03	7.39E-08
