Probe_ID	Fold Change	Percentage False Positive Rate	P-value	Gene Symbol
213674	-18.315018	0	0	IGHG1
211645	-15.2207	0	0	NA
215176	-12.135922	0	0	NTN2L
217148	-10.881393	0	0	IGL@
217235	-7.8186083	0	0	IGLV2-23
211644	-6.2227754	0	0	IGKC
205159	-7.199424	0	0	CSF2RB
200799	-7.0621469	0	0	HSPA1A
216984	-6.4020487	0	0	CKAP2
216576	-4.5146727	0	0	NTN2L
209728	-5.952381	0	0	HLA-DRB4
211430	-5.8788948	0	0	IGHG3
217378	-5.8309038	0	0	LOC100130100
200953	-6.0204696	0	0	CCND2
217138	-5.4945055	0	0	IGL@
201938	-5.0175615	0	0	CDK2AP1
218559	-4.568296	0	0	MAFB
215214	-4.7824008	0	0	IGL@
200951	-5.5309735	0	0	CCND2
202917	-4.1476566	0	0	S100A8
217258	-4.7103156	0	0	IVD
217179	-4.4228218	0	0	NA
207332	-5.09684	0	0	TFRC
209732	-4.899559	0	0	CLEC2B
201540	-4.7664442	0	0	FHL1
213975	-4.2444822	0	0	LYZ
204959	-5.1840332	0	0	MNDA
202581	-4.5892611	1.00 E-04	0	HSPA1B
209312	-4.0016006	1.00 E-04	0	HLA-DRB1
214768	-3.8804812	1.00 E-04	0	FAM20B
201631	-4.1305246	1.00 E-04	0	IER3
202503	-4.3252595	1.00 E-04	0	KIAA0101
208691	-4.576659	1.00 E-04	0	TFRC
205863	-4.5913682	1.00 E-04	0	S100A12
214039	-4.0799674	1.00 E-04	0	LAPTM4B
200675	-4.4130627	1.00 E-04	0	CD81
