Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
-1.33	3.64E-02	AA115473	ABL1	c-abl oncogene 1, receptor tyrosine kinase	Nucleus	kinase
-1.338	4.09E-03	AA292676	ADAM15	ADAM metallopeptidase domain 15	Plasma Membrane	peptidase
-1.533	4.04E-02	AA772803	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	Extracellular Space	other
-1.163	4.01E-02	AA456400	ADSL	adenylosuccinate lyase	Cytoplasm	enzyme
-1.306	2.99E-03	AA454947	AKAP1	A kinase (PRKA) anchor protein 1	Cytoplasm	other
1.204	2.85E-02	AA113166	AKAP13	A kinase (PRKA) anchor protein 13	Cytoplasm	other
-1.46	7.85E-03	AA457097	AKT2	v-akt murine thymoma viral oncogene homolog 2	Cytoplasm	kinase
1.19	1.33E-02	AA101878	APLN	apelin	Extracellular Space	other
-1.261	1.84E-02	AA455284	ASCC2	activating signal cointegrator 1 complex subunit 2	Unknown	other
1.374	2.76E-02	H73178	ATAD2	ATPase family, AAA domain containing 2	Nucleus	other
-1.273	3.16E-02	H14841	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	Plasma Membrane	transporter
-1.342	2.18E-02	AA236141	ATP7A	ATPase, Cu++ transporting, alpha polypeptide	Plasma Membrane	transporter
-1.249	2.44E-02	AA460291	BAD	BCL2-associated agonist of cell death	Cytoplasm	other
-1.222	1.85E-02	AA194043	BDKRB2	bradykinin receptor B2	Plasma Membrane	G-protein coupled receptor
-1.232	3.45E-02	AA453175	BIN1	bridging integrator 1	Nucleus	other
-1.313	1.62E-02	AA428163	BRD3	bromodomain containing 3	Nucleus	kinase
-1.393	4.53E-02	AA485371	BST2	bone marrow stromal cell antigen 2	Plasma Membrane	other
-1.169	3.03E-02	R14760	CASP3	caspase 3, apoptosis-related cysteine peptidase	Cytoplasm	peptidase
-1.24	1.76E-02	AA281152	CASP9	caspase 9, apoptosis-related cysteine peptidase	Cytoplasm	peptidase
1.189	4.81E-02	AI139106	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	Nucleus	other
1.364	3.00E-02	AA678160	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	Plasma Membrane	other
-1.654	2.34E-02	AA598974	CDC2	cell division cycle 2, G1 to S and G2 to M	Nucleus	kinase
-1.359	2.49E-02	AA458870	CDC37	cell division cycle 37 homolog (S. cerevisiae)	Cytoplasm	other
-1.287	4.01E-02	N62726	CDC42SE1	CDC42 small effector 1	Plasma Membrane	other
-1.361	2.92E-02	AA486312	CDK4	cyclin-dependent kinase 4	Nucleus	kinase
1.268	3.90E-02	AA969125	CDK9	cyclin-dependent kinase 9	Nucleus	kinase
1.147	3.28E-02	AA934915	CHRNA3	cholinergic receptor, nicotinic, alpha 3	Plasma Membrane	transmembrane receptor
1.248	2.35E-02	AA458868	CLIP1	CAP-GLY domain containing linker protein 1	Cytoplasm	other
-1.251	2.46E-02	T81091	COPA	coatomer protein complex, subunit alpha	Cytoplasm	transporter
1.172	1.31E-02	R60014	COPG2	coatomer protein complex, subunit gamma 2	Cytoplasm	transporter
1.246	4.42E-02	AI074784	CSF3	colony stimulating factor 3 (granulocyte)	Extracellular Space	cytokine
-1.367	5.63E-03	N57731	CHTF8	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	Unknown	other
-1.163	2.36E-02	AA479771	CUL7 (includes EG:9820)	cullin 7	Cytoplasm	other
-1.234	3.67E-02	H12043	CYFIP2 (includes EG:26999)	cytoplasmic FMR1 interacting protein 2	Cytoplasm	other
1.282	3.54E-02	AA877213	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	Cytoplasm	enzyme
-1.183	1.22E-02	N53136	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8	Cytoplasm	enzyme
-1.362	7.95E-03	AA291959	DCTN2	dynactin 2 (p50)	Cytoplasm	other
-1.355	3.12E-02	T69553	DGCR8	DiGeorge syndrome critical region gene 8	Nucleus	other
-1.119	4.83E-02	AA488336	DRG1	developmentally regulated GTP binding protein 1	Cytoplasm	other
1.26	8.46E-03	N32500	DSCR3	Down syndrome critical region gene 3	Nucleus	other
-1.332	3.07E-02	AI582245	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	Plasma Membrane	other
-1.241	4.54E-02	AA424950	E2F1	E2F transcription factor 1	Nucleus	transcription regulator
-1.396	2.62E-02	N67038	EBP	emopamil binding protein (sterol isomerase)	Cytoplasm	enzyme
-1.391	1.25E-02	AA676471	EIF3B	eukaryotic translation initiation factor 3, subunit B	Cytoplasm	translation regulator
-1.365	3.16E-02	H99842	EIF5A	eukaryotic translation initiation factor 5A	Cytoplasm	translation regulator
-1.207	4.78E-02	AA680300	EPAS1	endothelial PAS domain protein 1	Nucleus	transcription regulator
-1.311	1.05E-02	N93865	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	Plasma Membrane	other
1.213	9.38E-03	H22956	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	Plasma Membrane	kinase
-1.224	4.25E-02	R05503	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2	Nucleus	enzyme
1.272	3.41E-02	H58702	F5	coagulation factor V (proaccelerin, labile factor)	Plasma Membrane	other
-1.3	4.88E-02	AA148548	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	Cytoplasm	transporter
1.172	2.75E-02	H18853	FAM3C	family with sequence similarity 3, member C	Extracellular Space	cytokine
-1.377	2.93E-02	AA873339	FBXW7	F-box and WD repeat domain containing 7	Nucleus	transcription regulator
-1.262	3.99E-02	AA430668	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	Plasma Membrane	transmembrane receptor
-1.269	1.78E-02	AA446994	FGFR4	fibroblast growth factor receptor 4	Plasma Membrane	kinase
-1.355	1.37E-02	AA454862	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	Cytoplasm	other
-1.299	5.42E-03	AA486238	FLNB	filamin B, beta	Cytoplasm	other
-1.261	3.43E-02	AA456611	FLOT1	flotillin 1	Plasma Membrane	other
-1.124	3.44E-02	H72268	FNTB	farnesyltransferase, CAAX box, beta	Cytoplasm	enzyme
-1.239	2.10E-02	T54418	FOXO4	forkhead box O4	Nucleus	transcription regulator
1.28	4.11E-02	W05000	GHR	growth hormone receptor	Plasma Membrane	transmembrane receptor
-1.192	4.45E-02	AA878899	GLB1	galactosidase, beta 1	Cytoplasm	enzyme
1.177	2.65E-02	H70114	GLI2	GLI family zinc finger 2	Nucleus	transcription regulator
1.189	2.79E-02	AA011383	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	Cytoplasm	enzyme
-1.291	2.72E-02	AA451911	GPR126	G protein-coupled receptor 126	Plasma Membrane	G-protein coupled receptor
-1.348	2.16E-02	AI521155	GPR64	G protein-coupled receptor 64	Plasma Membrane	G-protein coupled receptor
-1.471	9.87E-03	AA496452	GRN	granulin	Extracellular Space	growth factor
-1.165	2.17E-02	AA282092	GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	Nucleus	transcription regulator
-1.208	3.66E-02	N34827	GUSB	glucuronidase, beta	Cytoplasm	enzyme
1.174	2.86E-02	R05984	HAL	histidine ammonia-lyase	Cytoplasm	enzyme
-1.242	3.83E-02	AA465353	HDAC1	histone deacetylase 1	Nucleus	transcription regulator
-1.275	4.57E-02	H79778	HDAC3	histone deacetylase 3	Nucleus	transcription regulator
1.338	4.17E-02	AI565209	HLA-G	major histocompatibility complex, class I, G	Plasma Membrane	transmembrane receptor
-1.306	3.03E-02	AA044662	HMG20B	high-mobility group 20B	Nucleus	transcription regulator
-1.257	4.67E-02	AA479962	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	Nucleus	other
-1.212	3.65E-02	W80375	HPS1	Hermansky-Pudlak syndrome 1	Cytoplasm	other
-1.235	9.24E-03	N68512	HPS4	Hermansky-Pudlak syndrome 4	Cytoplasm	other
-1.316	3.63E-02	AA398410	HSF2BP	heat shock transcription factor 2 binding protein	Cytoplasm	other
-1.195	4.66E-02	T64094	HTT	huntingtin	Cytoplasm	transcription regulator
-1.313	7.13E-03	R21535	ICAM2	intercellular adhesion molecule 2	Plasma Membrane	other
-1.292	4.57E-03	H08899	IDI1	isopentenyl-diphosphate delta isomerase 1	Cytoplasm	enzyme
-1.196	4.53E-02	AA827287	IFI35	interferon-induced protein 35	Nucleus	other
1.261	4.62E-02	T62547	IGF2R	insulin-like growth factor 2 receptor	Plasma Membrane	transmembrane receptor
1.211	1.87E-02	W47101	IL1B	interleukin 1, beta	Extracellular Space	cytokine
-1.378	2.12E-02	H78484	IL1R2	interleukin 1 receptor, type II	Plasma Membrane	transmembrane receptor
-1.264	3.57E-02	AA478279	IDO1	indoleamine 2,3-dioxygenase 1	Cytoplasm	enzyme
-1.279	2.03E-02	N30372	IRF5	interferon regulatory factor 5	Nucleus	transcription regulator
-1.17	4.76E-02	AA877255	IRF7	interferon regulatory factor 7	Nucleus	transcription regulator
-1.201	4.03E-02	AA701976	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	Cytoplasm	ion channel
-1.308	4.98E-03	AA486374	KARS	lysyl-tRNA synthetase	Cytoplasm	enzyme
-1.39	8.89E-03	AI245812	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	Plasma Membrane	ion channel
-2.465	2.64E-02	NM_001648	KLK3	kallikrein-related peptidase 3	Extracellular Space	peptidase
1.379	3.87E-02	N54333	LBR	lamin B receptor	Nucleus	enzyme
-1.208	2.76E-02	AA029241	LIG3	ligase III, DNA, ATP-dependent	Nucleus	enzyme
-1.328	1.80E-03	H67988	MAD2L1BP	MAD2L1 binding protein	Nucleus	other
-1.384	3.12E-02	AA227594	MAL	mal, T-cell differentiation protein	Plasma Membrane	transporter
-1.197	3.34E-02	AA774751	MAP2	microtubule-associated protein 2	Cytoplasm	other
-1.233	6.70E-03	AA293860	MAP3K4	mitogen-activated protein kinase kinase kinase 4	Cytoplasm	kinase
1.308	3.59E-02	AA182847	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	Cytoplasm	kinase
-1.188	3.90E-02	R90743	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	Cytoplasm	other
-1.304	3.19E-02	AA199717	MAPT	microtubule-associated protein tau	Cytoplasm	other
-1.215	2.35E-03	AA488674	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	Cytoplasm	transporter
-1.297	4.35E-02	AI000271	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	Cytoplasm	enzyme
-1.251	4.20E-02	AA490614	MED27	mediator complex subunit 27	Nucleus	transcription regulator
-1.252	6.91E-03	AA029295	MED8	mediator complex subunit 8	Nucleus	other
-1.268	3.24E-02	AA422058	METTL1	methyltransferase like 1	Unknown	enzyme
-1.396	1.84E-02	AA495936	MGST1	microsomal glutathione S-transferase 1	Cytoplasm	enzyme
-1.171	4.14E-02	H82435	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	Nucleus	transcription regulator
-1.454	2.45E-03	N69322	MMP13	matrix metallopeptidase 13 (collagenase 3)	Extracellular Space	peptidase
1.295	4.77E-02	H77766	MT1H	metallothionein 1H	Cytoplasm	other
-1.328	1.22E-02	AA676322	MTF1	metal-regulatory transcription factor 1	Nucleus	transcription regulator
1.182	4.82E-02	AA258031	MUS81	MUS81 endonuclease homolog (S. cerevisiae)	Nucleus	enzyme
-1.234	4.56E-02	N50834	MVD	mevalonate (diphospho) decarboxylase	Cytoplasm	enzyme
-1.268	2.92E-02	AA158990	MVP	major vault protein	Nucleus	other
-1.36	2.89E-02	AA464600	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	Nucleus	transcription regulator
1.301	2.93E-02	H98655	NBN	nibrin	Nucleus	other
-1.255	2.29E-02	AA476294	NCL	nucleolin	Nucleus	other
1.177	2.85E-02	AA947176	NCOA2	nuclear receptor coactivator 2	Nucleus	transcription regulator
-1.314	3.84E-03	R00431	NF2	neurofibromin 2 (merlin)	Plasma Membrane	other
-1.186	4.98E-03	AA679278	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	Nucleus	transcription regulator
-1.298	2.01E-02	AA633811	NFIL3	nuclear factor, interleukin 3 regulated	Nucleus	transcription regulator
-1.26	3.16E-02	W55872	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	Cytoplasm	other
-1.244	1.00E-02	H09936	NHLH1	nescient helix loop helix 1	Nucleus	other
-1.326	2.69E-02	AA430382	NP	nucleoside phosphorylase	Nucleus	enzyme
-1.511	8.62E-03	R45977	NRBP1	nuclear receptor binding protein 1	Nucleus	kinase
-1.266	2.29E-02	AA465150	NSMCE1	non-SMC element 1 homolog (S. cerevisiae)	Nucleus	transporter
-1.427	1.54E-02	N24538	NSUN2	NOL1/NOP2/Sun domain family, member 2	Unknown	enzyme
-1.316	1.73E-02	W90116	NUMA1	nuclear mitotic apparatus protein 1	Nucleus	other
-1.269	1.92E-02	AA148536	NUP98	nucleoporin 98kDa	Nucleus	transporter
-1.171	4.56E-02	R37959	PCSK2	proprotein convertase subtilisin/kexin type 2	Extracellular Space	peptidase
-1.216	1.55E-02	AA453293	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	Cytoplasm	enzyme
-1.256	2.68E-02	AA676970	PGAM1	phosphoglycerate mutase 1 (brain)	Cytoplasm	phosphatase
-1.23	2.18E-02	AA007699	PIGC	phosphatidylinositol glycan anchor biosynthesis, class C	Cytoplasm	enzyme
1.4	4.56E-03	AA088326	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	Cytoplasm	kinase
1.1	4.55E-02	AA630620	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4	Cytoplasm	kinase
-1.422	4.21E-03	AA476543	PLA2G16	phospholipase A2, group XVI	Nucleus	other
-1.203	3.28E-02	AA477428	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G	Nucleus	enzyme
-1.212	4.04E-02	AA775803	PRDX1	peroxiredoxin 1	Cytoplasm	enzyme
-1.273	3.30E-02	H68845	PRDX2	peroxiredoxin 2	Cytoplasm	enzyme
1.209	3.60E-02	AA479102	PRKCB	protein kinase C, beta	Cytoplasm	kinase
-1.236	4.22E-02	AA458993	PRKCZ	protein kinase C, zeta	Cytoplasm	kinase
1.177	2.15E-02	AA679414	PRPF8	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	Nucleus	other
-1.296	3.51E-02	R26785	PRSS8	protease, serine, 8	Extracellular Space	peptidase
-1.312	4.66E-02	T53775	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	Cytoplasm	peptidase
-1.213	2.12E-02	AA455193	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	Cytoplasm	other
1.442	2.57E-02	AA906845	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	Cytoplasm	phosphatase
-1.346	3.19E-02	AA630094	PUF60	poly-U binding splicing factor 60KDa	Nucleus	other
-1.393	3.29E-02	T56948	PUM1	pumilio homolog 1 (Drosophila)	Cytoplasm	other
-1.166	2.22E-02	AA142980	RAB11FIP5	RAB11 family interacting protein 5 (class I)	Cytoplasm	other
-1.219	2.34E-02	AA057378	RAB32	RAB32, member RAS oncogene family	Cytoplasm	other
-1.236	7.57E-04	AA504617	RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	Nucleus	other
-1.275	2.98E-02	AA485734	RANGAP1	Ran GTPase activating protein 1	Cytoplasm	other
-1.222	4.01E-02	AA459311	RFXANK	regulatory factor X-associated ankyrin-containing protein	Nucleus	transcription regulator
1.32	4.26E-02	AA173755	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	Plasma Membrane	transmembrane receptor
1.352	2.78E-02	AA282301	SBF1	SET binding factor 1	Plasma Membrane	phosphatase
-1.312	2.47E-02	AA148736	SDC4	syndecan 4	Plasma Membrane	other
-1.258	1.87E-02	AA454812	SEC16A	SEC16 homolog A (S. cerevisiae)	Cytoplasm	phosphatase
-1.181	2.09E-02	AA704707	SECISBP2	SECIS binding protein 2	Cytoplasm	translation regulator
-1.244	1.85E-02	AA454673	SF1	splicing factor 1	Nucleus	transcription regulator
-1.342	5.30E-03	AA035796	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	Nucleus	transcription regulator
1.319	1.34E-02	H57309	SNAI2	snail homolog 2 (Drosophila)	Nucleus	other
-1.214	2.52E-02	AA017382	SND1	staphylococcal nuclease and tudor domain containing 1	Nucleus	enzyme
-1.216	1.94E-02	AA459393	SNX5	sorting nexin 5	Cytoplasm	transporter
