Gene symbol	Description	Gene ontology	Fold difference of geom means 1p19q/EGFR (microarray)	Fold difference of geom means 1p19q/EGFR in validation sample set (RT-PCR)
AKR1C3	Aldo-keto reductase family 1, member C3	Prostaglandin metabolism	17.5	7.1
ATOH8	Atonal homolog 8 (Drosophila)	Regulation of transcription	26	23.5
BMP2	Bone morphogenetic protein 2	Positive regulation of astrocyte differentiation	10.1	10.2
C20ORF42	Chromosome 20 open reading frame 42	Cell adhesion	16.2	15.7
CTTNBP2	Cortactin binding protein 2		5.4	3.9
DCX	Doublecortex; lissencephaly, X-linked (doublecortin)	CNS development	5.9	6.3
GALNT13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13)	Protein amino acid O-linked glycosylation	31.7	38.4
L1CAM	L1 cell adhesion molecule	Nervous system development	14.6	24.5
NCAM1	Neural cell adhesion molecule 1	Synaptic transmission	4.8	1.7(NS)
NOG	Noggin	Nervous system development	11.2	18.4
OLIG2	Oligodendrocyte lineage transcription factor 2	Nervous system development	4.7	3.7
CCNB1	Cyclin B1	Mitosis	0.2	0.2
CDK2	Cyclin-dependent kinase 2	Mitosis	0.2	0.2
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	Chitin catabolism	0.01	0.003
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	Cell proliferation	0.1	0.2
GBP1	Guanylate binding protein 1, interferon-inducible, 67kDa	Immune response	0.05	0.05
IGFBP2	Insulin-like growth factor binding protein 2, 36 kDa	Regulation of cell growth	0.02	0.01
IQGAP1	IQ motif containing GTPase activating protein 1	Signal transduction	0.11	0.1
PDPN	Podoplanin	Positive regulation of cell motility	0.02	0.008
PLAT	Plasminogen activator, tissue	Proteolysis	0.07	0.06
POSTN	Periostin, osteoblast specific factor	Cell adhesion	0.01	0.01
RNF135	Ring finger protein 135		0.2	0.2
