Curated Gene Symbol	Domain	Gene Name	Gene Symbol	Reference Sequence	Description	Geometric mean of CD4+ T cell samples	Geometric mean of CD8+ T cell samples	Fold up-regulation in CD4+ T cells	P-value
CX3CR1	Immune	Chemokine (C-X3-C) receptor 1	CX3CR1	NM_001337	Chemokine receptor	1.5	0.92	1.63	0.0015
PLCG1	Immune	Phospholipase C, gamma 1	PLCG1	NM_002660	Signal transduction	0.61	0.39	1.56	0.0451
FGFBP2	Immune	KSP37	KSP37	NM_031950	Secreted	0.8	0.55	1.47	0.0022
CCL4	Immune	Chemokine (C-C motif) ligand 4	CCL4	NM_002984	Chemokine	3.95	2.73	1.45	0.0032
HLA-DOB	Immune	MHC Class II, DO beta	HLA-DOB	NM_002120	MHC	1.52	1.05	1.44	0.0478
CLEC10A	Immune	Macrophage lectin 2 (calcium dependent)	HML2	NM_006344	Receptor	0.82	0.58	1.42	0.0009
IL8	Immune	Interleukin 8	IL8	NM_000584	Cytokine	2	1.42	1.41	0.0026
CCR5	Immune	Chemokine (C-C motif) receptor 5	CCR5	NM_000579	Chemokine receptor	1.27	0.96	1.32	0.0379
C1QTNF5	Immune	C1q and tumor necrosis factor related protein 5	C1QTNF5	NM_015645	Unknown	0.76	1	0.76	0.0299
ICAM1	Immune	Intercellular adhesion molecule 1 (CD54)	ICAM1	NM_000201	Adhesion	1.04	1.43	0.73	0.0137
MARCO	Immune	Macrophage receptor with collagenous structure	MARCO	NM_006770	Receptor	0.8	1.17	0.68	0.003
CSF3	Immune	Colony stimulating factor 3	CSF3	NM_000759	Cytokine	0.93	1.65	0.56	0.0152
PTGES3	Signal Transduction	Unactive progesterone receptor, 23 kD	TEBP	NM_006601	Regulation	2.53	1.48	1.71	0.0029
AKAP13	Signal Transduction	A kinase (PRKA) anchor protein 13 isoform 1	AKAP13	NM_006738	Scaffold	1.46	0.87	1.68	0.001
HOMER1	Signal Transduction	Homer, neuronal immediate early gene, 1B	SYN47	NM_004272	Unknown	1.41	0.89	1.58	0.0032
P2RY13	Signal Transduction	G protein-coupled receptor 86	GPR86	NM_023914	Receptor	1.32	0.89	1.49	0.0023
TP53BP2	Signal Transduction	Tumor protein p53-binding protein, 2	TP53BP2	NM_005426	Adaptor	0.87	0.58	1.49	0.0243
NUMB	Signal Transduction	Numb homolog	NUMB	NM_003744	Adaptor	1.14	0.8	1.42	0.0005
PTGER2	Signal Transduction	Prostaglandin E receptor 2 (subtype EP2), 53kDa	PTGER2	NM_000956	Receptor	1.3	0.95	1.38	0.0024
VSNL1	Signal Transduction	Visinin-like 1	VSNL1	NM_003385	Calcium binding	1.21	0.88	1.37	0.02
LMO7	Signal Transduction	LIM domain only 7	LMO7	NM_005358	Unknown	1.6	1.19	1.35	0.0169
S1PR4	Signal Transduction	Endothelial differentiation, G-protein-coupled receptor 6	EDG6	NM_003775	Receptor	1.95	1.46	1.33	0.0047
MTMR9	Signal Transduction	Myotubularin related protein 9	MTMR9	NM_015458	Cell cycle	1.97	1.48	1.33	0.0232
PPP1R16B	Signal Transduction	Protein phosphatase 1, regulatory (inhibitor) subunit 16B	PPP1R16B	NM_015568	TGF beta	1.75	1.34	1.31	0.0011
MAPKBP1	Signal Transduction	Likely ortholog of mouse mitogen activated protein kinase binding proten 1	MAPKBP1	AB011168	MAPK pathway	0.98	1.28	0.77	0.042
CYTH2	Signal Transduction	Pleckstrin homology, Sec7 and coiled/coil domains 2-like	PSCD2L	U59752	Integrins	0.99	1.31	0.76	0.0037
RAF1	Signal Transduction	V-raf-1 murine leukemia viral oncogene homolog 1	RAF1	NM_002880	MAPK pathway	4.35	5.76	0.75	0.024
FLNA	Signal Transduction	Filamin A, alpha (actin-binding protein-280)	FLNA	NM_001456	Scaffold	0.92	1.29	0.71	0.0024
DACT1	Signal Transduction	Dapper homolog 1, antagonist of beta-catenin	DAPPER1	NM_016651	MAPK pathway	0.94	1.43	0.66	0.0135
