Rank	Probe set	Gene symbol	Elevated in	SAM analysis Score	SAM analysis FDR (%)	Cox regression HR	Cox regression P	P (adjusted for age)
1	229461_x_at	NEGR1	Low risk	-2.35	12.25	0.54	0.005	0.015
2	226415_at	VAT1L	Low risk	-2.19	12.25	0.59	0.007	0.014
1	228462_at	IRX2	High risk	2.08	10.93	1.53	0.01	0.01
2	230472_at	IRX1	High risk	1.99	10.93	1.51	0.023	0.06
3	202609_at	EPS8	High risk	1.99	10.93	1.52	0.006	0.036
4	201688_s_at	TPD52	High risk	1.97	10.93	1.63	0.008	0.012
5	214156_at	MYRIP	High risk	1.92	10.93	1.64	0.005	0.055
6	209480_at	HLA-DQB1	High risk	1.89	10.93	1.49	0.023	0.006
7	205403_at	IL1R2	High risk	1.84	10.93	1.54	0.015	0.153
8	212192_at	KCTD12	High risk	1.83	10.93	1.56	0.021	0.059
9	201743_at	CD14	High risk	1.73	10.93	1.5	0.017	0.121
10	1555745_a_at	LYZ	High risk	1.73	10.93	1.53	0.031	0.059
11	203535_at	S100A9	High risk	1.7	10.93	1.51	0.03	0.091
12	238900_at	HLA-DRB1	High risk	1.7	10.93	1.48	0.018	0.031
13	201689_s_at	TPD52	High risk	1.67	10.93	1.49	0.029	0.027
14	204959_at	MNDA	High risk	1.65	10.93	1.51	0.032	0.202
15	211372_s_at	IL1R2	High risk	1.64	10.93	1.65	0.008	0.156
16	218454_at	PLBD1	High risk	1.61	10.93	1.55	0.015	0.159
17	211571_s_at	VCAN	High risk	1.59	10.93	1.44	0.046	0.192
18	202289_s_at	TACC2	High risk	1.56	10.93	1.45	0.039	0.055
19	228434_at	BTNL9	High risk	1.56	10.93	1.58	0.021	0.064
20	202917_s_at	S100A8	High risk	1.55	10.93	1.48	0.054	0.098
21	204620_s_at	VCAN	High risk	1.54	10.93	1.43	0.058	0.21
22	205863_at	S100A12	High risk	1.52	10.93	1.43	0.043	0.145
23	201690_s_at	TPD52	High risk	1.5	10.93	1.49	0.047	0.039
24	204619_s_at	VCAN	High risk	1.48	10.93	1.4	0.058	0.194
25	215646_s_at	VCAN	High risk	1.45	10.93	1.39	0.07	0.217
26	221731_x_at	VCAN	High risk	1.45	10.93	1.41	0.076	0.238
27	204971_at	CSTA	High risk	1.4	12.25	1.44	0.071	0.26
