CloneID	Symbol	Gene name	Fold (PBC/N)	Fold (PBC1UDCA/N)	Fold (PBC1UDCA/PBC)
491756	CXCL9	Chemokine (C-X-C motif) ligand 9	4.64	5.18	1.11
491243	CXCL10	Chemokine (C-X-C motif) ligand 10	3.15	4.19	1.33
135640	STX3A	Syntaxin 3	2.87	1.92	0.67
5199604	LOC400966	RAN-binding protein 2-like 1 short isoform	2.73	1.86	0.68
377560	CD3D	CD3D antigen, delta polypeptide (TiT3 complex)	2.66	1.94	0.73
243741	UBD	Ubiquitin D	2.66	2.85	1.07
504158	IL32	Interleukin 32	2.65	2.84	1.07
490969	S100P	S100 calcium-binding protein P	2.59	2.22	0.86
131574	FLJ16517	FLJ16517 protein	2.53	1.94	0.77
127551	LOC283871	Hypothetical protein LOC283871	2.53	1.92	0.76
471667	STAT1	Signal transducer and activator of transcription 1, 91 kDa	2.37	3.08	1.30
207244	FLJ12484	Hypothetical protein FLJ12484	2.35	1.94	0.83
472180	S100A4	S100 calcium-binding protein A4	2.32	1.66	0.71
252805	COL9A3	Collagen, type IX, a 3	2.30	1.56	0.68
123644	FAM14B	Family with sequence similarity 14, member B	2.28	1.72	0.75
489476	PDLIM4	PDZ and LIM domain 4	2.23	1.53	0.69
305786	MDK	Midkine (neurite growth-promoting factor 2)	2.17	2.31	1.07
504619	MCART1	Mitochondrial carrier triple repeat 1	2.16	1.76	0.82
127703	ARHGAP4	Rho GTPase activating protein 4	2.14	1.55	0.72
132333	WNT5A	Wingless-type MMTV integration site family, member 5A	2.11	1.42	0.67
38849	AESTPC1	aESTphase promoting complex subunit 1	2.08	1.45	0.70
131402	FLJ20160	FLJ20160 protein	2.08	1.54	0.74
415102	CDC25C	Cell division cycle 25C	2.06	1.88	0.92
1712682	ELF2	E74-like factor 2 (ets domain transcription factor)	2.02	1.71	0.85
163189	CD24	CD24 antigen (small cell lung carcinoma cluster antigen)	2.01	2.10	1.05
2882600	RBBP4	Retinoblastoma binding protein 4	2.00	1.63	0.81
220197	CRYAA	Crystallin, a A	1.99	1.62	0.82
417766	PPIH	Peptidyl prolyl isomerase H (cyclophilin H)	1.97	1.52	0.77
309011	LSM4	LSM4 homologue, U6 small nuclear REST associated (S. cerevisiae)	1.95	1.51	0.77
51547	CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3	1.94	1.37	0.70
4331200	FLJ11196	Acheron	1.94	1.39	0.72
5752894	GPCR5A	G protein-coupled receptor, family C, group 5, member A	1.93	1.41	0.73
73710	C15orf20	Chromosome 15 open reading frame 20	1.91	1.28	0.67
4723271	HIG1	Likely orthologue of mouse hypoxia induced gene 1	1.91	1.44	0.76
3872746	FLJ10233	EST	1.89	1.34	0.71
5547347	MUTED	Muted homologue (mouse)	1.87	1.66	0.88
5484253	C9orf10	Chromosome 9 open reading frame 10	1.86	1.26	0.68
159323	MCM6	MCM6 minichromosome mainteESTnce deficient 6	1.86	1.42	0.76
147065	SOD2	Superoxide dismutase	1.85	1.32	0.71
208174	GYPA	Glycophorin A (includes MN blood group)	1.84	1.63	0.89
131405	B2M	b-2-microglobulin	1.84	1.73	0.94
143819	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	1.84	1.95	1.06
502287	EMB	Embigin homologue (mouse)	1.81	1.46	0.81
130111	TOPBP1	Topoisomerase (DEST) II binding protein 1	1.81	1.50	0.83
324303	THY1	Thy-1 cell surface antigen	1.81	1.46	0.81
504638	HSPA5BP1	Heat shock 70 kDa protein 5 binding protein 1	1.80	1.72	0.95
301732	LOC399959	HypotheticalgenesupportedbyBX647608	1.80	1.75	0.98
303199	CORO2B	Coronin,actin-bindingprotein,2B	1.79	1.45	0.81
5923231	RAN	RAN,memberRASoncogenefamily	1.79	1.22	0.68
343295	LGALS1	Lectin,galactoside-binding,soluble,1(galectin1)	1.79	1.34	0.75
