ENTREZGENEID	Symbol	DESCRIPTION	logFOLDCHANGE	FOLDCHANGE	P.Value
171546	C14orf147	Chromosome 14 open reading frame 147	4.65	25.18	0.0000219
2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	3.94	15.35	0.0000242
3176	HNMT	Histamine N-methyltransferase	3.85	14.41	0.0000127
51012	SLMO2	Slowmo homolog 2 (Drosophila)	3.79	13.81	0.000168
3569	IL6	Interleukin 6 (interferon, beta 2)	3.53	11.54	0.000243
10476	ATP5H	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	3.06	8.31	0.000336
3553	IL1B	Interleukin 1, beta	3.04	8.23	0.00011
2919	CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	3.04	8.22	0.0082
2919	CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	3.02	8.11	0.000632
3690	ITGB3	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	2.99	7.95	0.000138
79651	RHBDF2	Rhomboid 5 homolog 2 (Drosophila)	2.91	7.51	0.000232
4074	M6PR	Mannose-6-phosphate receptor (cation dependent)	2.85	7.22	0.00000258
84942	WDR73	WD repeat domain 73	2.79	6.92	0.00226
3553	IL1B	Interleukin 1, beta	2.77	6.84	0.000237
81578	COL21A1	Collagen, type XXI, alpha 1	2.74	6.67	0.0000456
384	ARG2	Arginase, type II	2.33	5.03	0.00011
5672	PSG4	Pregnancy specific beta-1-glycoprotein 4	2.31	4.95	0.00000529
5617	PRL	Prolactin	2.28	4.85	0.0104
9653	HS2ST1	Heparan sulfate 2-O-sulfotransferase 1	2.25	4.76	0.00177
7874	USP7	Ubiquitin specific peptidase 7 (herpes virus-associated)	2.24	4.72	0.000551
1643	DDB2	Damage-specific DNA binding protein 2, 48kDa	2.23	4.69	0.00101
2547	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)	2.23	4.68	0.00152
55273	TMEM100	Transmembrane protein 100	2.21	4.63	0.000086
51024	FIS1	Fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	2.19	4.56	0.000366
84343	HPS3	Hermansky-Pudlak syndrome 3	2.15	4.45	0.0054
8406	SRPX	Sushi-repeat-containing protein, X-linked	2.15	4.44	0.000818
25975	EGFL6	EGF-like-domain, multiple 6	2.11	4.31	0.000156
23024	PDZRN3	PDZ domain containing RING finger 3	2.11	4.3	0.00000924
7980	TFPI2	Tissue factor pathway inhibitor 2	2.1	4.29	0.00183
1521	CTSW	Cathepsin W	2.08	4.23	0.00291
4236	MFAP1	Microfibrillar-associated protein 1	2.06	4.17	0.0000736
11282	MGAT4B	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	2	3.99	0.0000156
3371	TNC	Tenascin C (hexabrachion)	1.99	3.98	0.0281
8871	SYNJ2	Synaptojanin 2	1.97	3.92	0.000334
8870	IER3	Immediate early response 3	1.95	3.87	0.00101
5743	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1.93	3.8	0.00393
7057	THBS1	Thrombospondin 1	1.91	3.77	0.0123
51706	CYB5R1	Cytochrome b5 reductase 1	1.89	3.72	0.00264
4016	LOXL1	Lysyl oxidase-like 1	1.89	3.7	0.0000614
6146		In multiple clusters	1.88	3.67	0.029
6741	SSB	Sjogren syndrome antigen B (autoantigen La)	1.87	3.65	0.0000758
