Gene Name	Fold-change	median in MB	median in PPC	median in BMPC	median in MM
OSM	2.7	65.5	17	41	30
WNT6	2.9	555	153	230	319
WNT16	3.5	33	20	4	5
FGF9	6.4	251.5	32	70	23
FGF7	3	42	114	134	124
CCL3	5.3	53	138	736	721
WNT5B	10.3	9.5	135	65	77
IGF1	12.2	28.5	480	297	424
IL15	2.2	129.5	303	139	158
PTN	2	51	21	42	186
VEGFB	2.6	63.5	25	65	47
BAFF	3.6	104.5	30	107	72
VEGFC	3.7	30	17	63	67
WNT10A	3.8	38	30	115	64
FGF2	4.3	13	6	26	25
CCL3	5.3	53	138	736	721
WNT5A	6.3	9.5	8	50	339
AREG	10.5	218.5	31	326	1201
JAG1	12	16.5	14	168	214
APRIL	12.8	102	14	179	92
AREG	3.7	218.5	31	326	1201
NRG3	3.9	10	4	49	190
WNT5A	6.8	9.5	8	50	339
