Metaprobe	Entrez Gene ID	Gene Symbol	Gene Name	Chromosome	Cytoband	SAM Score	Numerator(r)	Denominator(s+s0)	Fold Change	Fold Change1	expression	DEG Jones-Lenburg	FC Jones-Lenburg
19_at	19	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	9	9q31.1	4.4	1.03	0.23	2.16	2.16	up	N/A	N/A
21_at	21	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	16	16p13.3	4.54	0.45	0.1	1.38	1.38	up	N/A	N/A
47_at	47	ACLY	ATP citrate lyase	17	17q12-q21	4.7	1.11	0.24	2.33	2.33	up	N/A	N/A
72_at	72	ACTG2	actin, gamma 2, smooth muscle, enteric	2	2p13.1	4.45	1.17	0.26	2.63	2.63	up	N/A	N/A
86_at	86	ACTL6A	actin-like 6A	3	3q26.33	4.73	0.56	0.12	1.47	1.47	up	N/A	N/A
87_at	87	ACTN1	actinin, alpha 1	14	14q24.1-q24.2|14q24|14q22-q24	5.17	1.34	0.26	2.65	2.65	up	N/A	N/A
100_at	100	ADA	adenosine deaminase	20	20q12-q13.11	5.98	1.26	0.21	2.56	2.56	up	N/A	N/A
102_at	102	ADAM10	ADAM metallopeptidase domain 10	15	15q2|15q22	5.53	0.73	0.13	1.63	1.63	up	N/A	N/A
113_at	113	ADCY7	adenylate cyclase 7	16	16q12-q13	8.51	1.25	0.15	2.43	2.43	up	N/A	N/A
133_at	133	ADM	adrenomedullin	11	11p15.4	9.57	1.6	0.17	2.9	2.9	up	N/A	N/A
135_at	135	ADORA2A	adenosine A2a receptor	22	22q11.23	4.6	0.62	0.13	1.55	1.55	up	N/A	N/A
140_at	140	ADORA3	adenosine A3 receptor	1	1p13.2	6.88	1.5	0.22	3.08	3.08	up	N/A	N/A
182_at	182	JAG1	jagged 1 (Alagille syndrome)	20	20p12.1-p11.23	7.05	1.3	0.18	2.5	2.5	up	N/A	N/A
196_at	196	AHR	aryl hydrocarbon receptor	7	7p15	7.28	1.92	0.26	4.08	4.08	up	N/A	N/A
226_at	226	ALDOA	aldolase A, fructose-bisphosphate	16	16q22-q24	7.02	1.12	0.16	2.19	2.19	up	N/A	N/A
230_at	230	ALDOC	aldolase C, fructose-bisphosphate	17	17cen-q12	5.94	2.35	0.4	6.6	6.6	up	N/A	N/A
963_at	963	CD53	CD53 molecule	1	1p13	7.1	2.24	0.32	4.84	4.84	up	yes	2.61
241_at	241	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	13	13q12	5.13	1.46	0.29	3.02	3.02	up	N/A	N/A
476_at	476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	1	1p21	-7.9	-1.62	0.21	0.34	-2.93	down	yes	-3.44
301_at	301	ANXA1	annexin A1	9	9q12-q21.2|9q12-q21.2	6.47	1.94	0.3	3.72	3.72	up	N/A	N/A
302_at	302	ANXA2	annexin A2	15	15q21-q22	5.3	0.84	0.16	1.82	1.82	up	N/A	N/A
307_at	307	ANXA4	annexin A4	2	2p13	8.14	1.46	0.18	2.83	2.83	up	N/A	N/A
308_at	308	ANXA5	annexin A5	4	4q26-q28|4q28-q32	5.85	0.81	0.14	1.78	1.78	up	N/A	N/A
313_at	313	AOAH	acyloxyacyl hydrolase (neutrophil)	7	7p14-p12	9.56	2.2	0.23	4.81	4.81	up	N/A	N/A
324_at	324	APC	adenomatosis polyposis coli	5	5q21-q22	5.12	0.42	0.08	1.34	1.34	up	N/A	N/A
2634_at	2634	GBP2	guanylate binding protein 2, interferon-inducible	1	1p22.2	6.68	2.48	0.37	6.48	6.48	up	yes	2.66
332_at	332	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	17	17q25	4.15	0.44	0.1	1.38	1.38	up	N/A	N/A
1491_at	1491	CTH	cystathionase (cystathionine gamma-lyase)	1	1p31.1	-9.2	-1.8	0.2	0.3	-3.39	down	yes	-2.55
355_at	355	FAS	Fas (TNF receptor superfamily, member 6)	10	10q24.1	5.02	1.18	0.23	2.39	2.39	up	N/A	N/A
391_at	391	RHOG	ras homolog gene family, member G (rho G)	11	11p15.5-p15.4	4.18	0.84	0.2	1.89	1.89	up	N/A	N/A
4070_at	4070	TACSTD2	tumor-associated calcium signal transducer 2	1	1p32-p31	-5.25	-0.65	0.12	0.64	-1.55	down	yes	-6.15
472_at	472	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	11	11q22-q23	8.95	1.5	0.17	2.94	2.94	up	N/A	N/A
493_at	493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	1	1q32.1	6.42	0.66	0.1	1.6	1.6	up	N/A	N/A
7805_at	7805	LAPTM5	lysosomal associated multispanning membrane protein 5	1	1p34	10.28	2.66	0.26	6.48	6.48	up	yes	4.26
567_at	567	B2M	beta-2-microglobulin	15	15q21-q22.2	7.42	0.87	0.12	1.82	1.82	up	N/A	N/A
580_at	580	BARD1	BRCA1 associated RING domain 1	2	2q34-q35	6.07	1.17	0.19	2.28	2.28	up	N/A	N/A
586_at	586	BCAT1	branched chain aminotransferase 1, cytosolic	12	12pter-q12	5.55	1.16	0.21	2.4	2.4	up	N/A	N/A
595_at	595	CCND1	cyclin D1	11	11q13	8.89	2.23	0.25	5.25	5.25	up	N/A	N/A
627_at	627	BDNF	brain-derived neurotrophic factor	11	11p13	4.78	1.51	0.32	3.51	3.51	up	N/A	N/A
636_at	636	BICD1	bicaudal D homolog 1 (Drosophila)	12	12p11.2-p11.1	6.41	0.99	0.15	2.01	2.01	up	N/A	N/A
637_at	637	BID	BH3 interacting domain death agonist	22	22q11.1	4.79	1.09	0.23	2.27	2.27	up	N/A	N/A
639_at	639	PRDM1	PR domain containing 1, with ZNF domain	6	6q21-q22.1	6.71	1.37	0.2	2.67	2.67	up	N/A	N/A
641_at	641	BLM	Bloom syndrome	15	15q26.1	4.56	0.63	0.14	1.58	1.58	up	N/A	N/A
648_at	648	BMI1	BMI1 polycomb ring finger oncogene	10	10p11.23	4.25	0.52	0.12	1.44	1.44	up	N/A	N/A
650_at	650	BMP2	bone morphogenetic protein 2	20	20p12	4.36	1.25	0.29	2.69	2.69	up	N/A	N/A
663_at	663	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	15	15q22.2	5	1.03	0.21	2.02	2.02	up	N/A	N/A
665_at	665	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	8	8p21	4.71	0.92	0.2	1.99	1.99	up	N/A	N/A
672_at	672	BRCA1	breast cancer 1, early onset	17	17q21	5.14	0.44	0.09	1.36	1.36	up	N/A	N/A
675_at	675	BRCA2	breast cancer 2, early onset	13	13q12.3	4.24	0.3	0.07	1.24	1.24	up	N/A	N/A
689_at	689	BTF3	basic transcription factor 3	5	5q13.2	6.72	0.78	0.12	1.73	1.73	up	N/A	N/A
694_at	694	BTG1	B-cell translocation gene 1, anti-proliferative	12	12q22	5.62	1.26	0.22	2.46	2.46	up	N/A	N/A
701_at	701	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15	15q15	5.27	1.37	0.26	2.99	2.99	up	N/A	N/A
2701_at	2701	GJA4	gap junction protein, alpha 4, 37kDa	1	1p35.1	4.78	1.56	0.33	3.42	3.42	up	yes	3.36
864_at	864	RUNX3	runt-related transcription factor 3	1	1p36	5.89	1.35	0.23	2.84	2.84	up	yes	3.9
