Gene	GeneID	Probeset	Is.Sense	Fold.change	P.Adj	Symbol	Symbol.alt	Chromosome	Alternative symbols	Official full name
AQP5	362	ADXCRPD.7995.C1_x_at	TRUE	-2.905937608	1.21698E-21	AQP5	AQP5	12q13		aquaporin 5
REG4	83998	ADXCRIH.384.C1_s_at	TRUE	-2.795826221	4.31541E-20	REG4	REG4	1p13.1-p12	GISP|REG-IV|RELP	regenerating islet-derived family, member 4
CDX2	1045	ADXCRAG_BC014461_x_at	TRUE	2.016486141	3.38717E-19	CDX2	CDX2	13q12.3	CDX-3|CDX3	caudal type homeobox 2
CDX2	1045	ADXCRAG_BC014461_at	TRUE	1.971380309	4.1808E-17	CDX2	CDX2	13q12.3	CDX-3|CDX3	caudal type homeobox 2
HSF5	124535	ADXCRPD.10572.C1_at	TRUE	1.701357436	2.58411E-14	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
SOX8	30812	ADXCRAG_AK024491_s_at	TRUE	-1.950605246	2.63956E-14	SOX8	SOX8	16p13.3	MGC24837	SRY (sex determining region Y)-box 8
HSF5	124535	ADXCRSS.Hs#S2988180_at	TRUE	2.01896504	4.29801E-14	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
TM4SF4	7104	ADXCRPD.7687.C1_at	TRUE	-1.700037844	8.55339E-13	TM4SF4	TM4SF4	3q25	FLJ31015|ILTMP|il-TMP	transmembrane 4 L six family member 4
F5	2153	ADXCRAG_M14335_s_at	TRUE	-1.179400262	9.87543E-13	F5	F5	1q23	FVL|PCCF	coagulation factor V (proaccelerin, labile factor)
CTSE	1510	ADXCRAG_AJ250717_s_at	TRUE	-2.621772043	1.22281E-12	CTSE	CTSE	1q31	CATE	cathepsin E
VNN1	8876	ADXCRAG_AJ132099_s_at	TRUE	-0.928026673	5.48978E-12	VNN1	VNN1	6q23-q24	HDLCQ8|MGC116930|MGC116931|MGC116932|MGC116933|Tiff66	vanin 1
C13orf18	80183	ADXCRAD_NM_025113_s_at	TRUE	1.772213316	5.48978E-12	C13orf18	C13orf18	13q14.13	FLJ21562|FLJ43762	chromosome 13 open reading frame 18
LOC146336	146336	ADXCRAG_NM_182510_s_at	TRUE	-1.328733918	9.73494E-12	LOC146336		16p13.3	FLJ32252	hypothetical LOC146336
PIWIL1	9271	ADXCRAG_BC028581_s_at	TRUE	-0.721257934	1.09902E-11	PIWIL1	PIWIL1	12q24.33	HIWI|MIWI|PIWI	piwi-like 1 (Drosophila)
SOX13	9580	ADXCRAD_BX094012_s_at	TRUE	-0.721059636	4.95858E-10	SOX13	SOX13	1q32	ICA12|MGC117216|Sox-13	SRY (sex determining region Y)-box 13
RNF43	54894	ADXCRPDRC.4289.C1_at	TRUE	1.382446327	4.95858E-10	RNF43	RNF43	17q22	DKFZp781H02126|DKFZp781H0392|FLJ20315|FLJ77466|FLJ99338|MGC125630|RNF124|URCC	ring finger protein 43
SATB2	23314	ADXCRPD.10016.C1_at	TRUE	1.819361672	5.6582E-10	SATB2	SATB2	2q33	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2
