Gene symbol	Gene Name	Accession Number	I/E	p-val	L/E	p-val
Actr3	ARP3 actin-related protein 3 homolog (yeast)	NM_023735	-1.4	0.0095	-2	0.0102
Akap12	A kinase (PRKA) anchor protein (gravin) 12	NM_031185	-9.9	0.0151	-11.8	0.0141
Akap2	A kinase (PRKA) anchor protein 2	NM_001035532	-1.8	0	-2.3	0.0001
Anln	anillin, actin binding protein	NM_028390	-1.5	0.0408	-2.5	0.0144
Arhgap24	Rho GTPase activating protein 24	NM_029270	-8.5	0.0096	-39.4	0.0059
Arhgap6	Rho GTPase activating protein 6	NM_009707	2.5	0.1591	12.8	0.0033
Arpc5l	actin related protein 2/3 complex, subunit 5-like	NM_028809	1.7	0.011	2.5	0.015
Cap1+	CAP, adenylate cyclase-associated protein 1	NM_007598	-2.5	0.0014	-2.1	0.026
Cdc42ep2	CDC42 effector protein (Rho GTPase binding) 2	NM_026772	1.5	0.2568	-3.1	0.0029
Cdc42ep3	CDC42 effector protein (Rho GTPase binding) 3	NM_026514	-1.8	0.0276	-3.1	0.0063
Cdc42ep5	CDC42 effector protein (Rho GTPase binding) 5	NM_021454	1.1	0.7844	-3.6	0.0013
Cnn2	calponin 2	NM_007725	-2.3	0.0765	-7.5	0.0195
Coro1b	coronin, actin binding protein 1B	NM_011778	2	0.0011	2.4	0.0424
Coro1c	coronin, actin binding protein 1C	NM_011779	-1.4	0.0468	-2.5	0.0196
Csrp1	cysteine and glycine-rich protein 1	NM_007791	-2.4	0.0717	-3.3	0.0462
Dbn1	drebrin 1	NM_019813	-2.1	0.0034	-2.1	0.0021
Diap3	diaphanous homolog 3 (Drosophila)	NM_019670	-2.1	0.0016	-4.2	0.0045
Ehd2	EH-domain containing 2	NM_153068	-1.2	0.349	-2.2	0.0401
Enc1	ectodermal-neural cortex 1	NM_007930	1.1	0.1596	2.8	0.0042
Epb4.1l1	erythrocyte protein band 4.1-like 1	NM_013510	3.1	0.0171	3.6	0.0272
Epb4.1l4a	erythrocyte protein band 4.1-like 4a	NM_013512	4.1	0.1356	4.3	0.0001
Evl	Ena-vasodilator stimulated phosphoprotein	NM_007965	-1.3	0.1199	-2.6	0.0043
Fmn1	formin 1	NM_010230	-2.5	0.028	-2.4	0.0478
Fyn	Fyn proto-oncogene	NM_001122893	1.4	0.1021	2.7	0.0362
Flnb+	filamin, beta	NM_134080	-5.3	0.0283	-4	0.0385
Fscn1	fascin homolog 1, actin bundling protein	NM_007984	-1.5	0.0487	-4.1	0.002
Gsn	Gelsolin	NM_146120	1.2	0.0496	2.4	0.0284
IQGAP2	IQ motif containing GTPase actinvating protein 2	NM_027711	3.6	0.4092	14	0.0185
IQGAP3	IQ motif containing GTPase actinvating protein 3	NM_178229	-2.1	0.014	-2.1	0.0987
