Top Genes	ID	M	A	t	P.Value
14910	205462_s_at	0.468796702	4.709607992	3.821882289	0.002431561
8487	1566880_at	-0.495017247	4.832877277	-3.578391871	0.003794005
39690	230435_at	-0.570221962	5.725788105	-3.490396038	0.004460698
36564	227308_x_at	0.447290848	6.77018699	3.475552566	0.004584411
22657	213355_at	-0.46467988	4.654788783	-3.463720066	0.004685527
24118	214822_at	-0.400260006	5.974317919	-3.442426161	0.00487325
18700	209285_s_at	-0.495045657	5.48647873	-3.403057513	0.005240698
31358	222077_s_at	0.3937822	4.000917068	3.339871035	0.005890229
39537	230282_at	0.473506262	5.578059916	3.334097606	0.005953506
5063	1559924_at	-0.799114604	7.351594384	-3.320074469	0.006110081
7029	1563088_a_at	-0.53143602	5.018353015	-3.317723853	0.006136732
37949	228694_at	0.537697959	4.936037735	3.258528204	0.006848091
36475	227219_x_at	0.452937863	7.079321979	3.254937661	0.006893829
28834	219549_s_at	-0.437855802	4.167809971	-3.216821714	0.007398808
41581	232326_at	-0.425380208	6.640059632	-3.14022962	0.008529181
33760	224498_x_at	-0.399548445	6.129081678	-3.113763572	0.008958924
15771	206324_s_at	0.439141282	7.347378099	3.096779863	0.009246089
30546	221262_s_at	-0.470773478	6.666723908	-3.062551422	0.009853206
41777	232522_at	-0.409192874	7.174631001	-3.061599366	0.009870652
11380	201931_at	-0.385575849	5.06754926	-3.060259892	0.00989525
259	1552622_s_at	0.359161236	4.926161617	3.057884803	0.009939018
3919	1557823_s_at	-0.342954183	4.490796409	-3.054970316	0.00999299
