Category	Probeset	Gene Symbol	p-value
DNA Repair and Replication	223197_s_at	SMARCAD1	7.53E-06
DNA Repair and Replication	218590_at	C10orf2	8.57E-06
DNA Repair and Replication	206554_x_at	SETMAR	8.86E-06
DNA Repair and Replication	204461_x_at	RAD1	8.81E-05
DNA Repair and Replication	210216_x_at	RAD1	0.000119109
DNA Repair and Replication	217301_x_at	RBBP4	0.000143433
DNA Repair and Replication	212836_at	POLD3	0.000149119
DNA Repair and Replication	203427_at	ASF1A	0.000149531
DNA Repair and Replication	205071_x_at	XRCC4	0.000150094
DNA Repair and Replication	209902_at	ATR	0.000166184
DNA Repair and Replication	223570_at	MCM10	0.000173784
DNA Repair and Replication	208097_s_at	TMX1	0.000204009
DNA Repair and Replication	226366_at	SHPRH	0.000493636
DNA Repair and Replication	221196_x_at	BRCC3	0.00067638
DNA Repair and Replication	229436_x_at	BRCC3	0.000723223
DNA Repair and Replication	231913_s_at	BRCC3	0.000734254
DNA Repair and Replication	209421_at	MSH2	0.000968647
DNA Repair and Replication	216521_s_at	BRCC3	0.00103817
DNA Repair and Replication	203428_s_at	ASF1A	0.00114669
DNA Repair and Replication	209849_s_at	RAD51C	0.00117957
DNA Repair and Replication	206102_at	GINS1	0.00118132
DNA Repair and Replication	205072_s_at	XRCC4	0.00127093
DNA Repair and Replication	218689_at	FANCF	0.00127878
DNA Repair and Replication	233852_at	POLH	0.00128902
DNA Repair and Replication	212918_at	RECQL	0.00131791
DNA Repair and Replication	204767_s_at	FEN1	0.001589
DNA Repair and Replication	209476_at	TMX1	0.00171328
DNA Repair and Replication	210371_s_at	RBBP4	0.00187967
DNA Repair and Replication	208694_at	PRKDC	0.00214179
DNA Repair and Replication	209507_at	RPA3	0.00239003
DNA Repair and Replication	204957_at	ORC5L	0.00242195
DNA Repair and Replication	203577_at	GTF2H4	0.00248075
DNA Repair and Replication	204768_s_at	FEN1	0.00278378
DNA Repair and Replication	201555_at	MCM3	0.00287911
DNA Repair and Replication	210543_s_at	PRKDC	0.00295066
DNA Repair and Replication	219012_s_at	C11orf30	0.00327168
DNA Repair and Replication	208393_s_at	RAD50	0.00479347
DNA Repair and Replication	204127_at	RFC3	0.00524042
DNA Repair and Replication	222487_s_at	RPS27L	0.00565823
DNA Repair and Replication	201964_at	SETX	0.00569374
DNA Repair and Replication	235478_at	DCLRE1C	0.00572646
DNA Repair and Replication	212211_at	ANKRD17	0.00583818
DNA Repair and Replication	209307_at	SWAP70	0.00660195
DNA Repair and Replication	218979_at	RMI1	0.00818472
DNA Repair and Replication	201202_at	PCNA	0.00880615
DNA Repair and Replication	217815_at	SUPT16H	0.00890019
Regulation of Celle Cycle	224847_at	CDK6	2.06E-07
Regulation of Celle Cycle	224848_at	CDK6	3.87E-06
Regulation of Celle Cycle	209001_s_at	ANAPC13	8.21E-06
