Gene symbol	Gene title	Mean expression in recurrent tumors	P-value	Occurrence frequencies
PAK3	P21 (CDKN1A)-activated kinase 3	Under-expressed	<9.0e ?6	78 (79)
RPL23	Ribosomal protein L23	Over-expressed	<5.0e ?5	79 (79)
E124	Etoposide-induced 2.4 mRNA	Over-expressed	<3.0e ?7	79 (79)
TGFB3	Transforming growth factor, beta 3	Under-expressed	<1.0e ?5	79 (3)
RBM34	RNA-binding motif protein 34	Over-expressed	<3.0e ?4	62 (8)
PCOLN3	Procollagen (type III) N-endopeptidase	Under-expressed	<3.0e ?5	78
FUT7	Fucosyl transferase 7 (alpha (1,3) fucosyl transferase)	Under-expressed	<3.0e ?3	30
RICS Rho	GTPase-activating protein	Over-expressed	<3.0e ?6	8
MAP4K4	Mitogen-activated protein kinase 4	Over-expressed	<3.0e ?5	5
CUTL1	Cut-like 1, CCAAT displacement protein (Drosophila)	Over-expressed	<3.0e ?5	2
ZNF324B	Zinc finger protein 324B	Under-expressed	<5.0e ?4	1
