Accession no	Gene	Gene Symbol	log ratios	Category 1	Category 2
BG793658	aldolase 1A	Aldo1	2.69; 2.30	Metabolic enzymes	Carbohydrate metabolism
AW547988	brain glycogen phosphorylase	Pygb	2.47	Metabolic enzymes	Carbohydrate metabolism
BC027438	galactose-4-epimerase, UDP	Gale	2.14	Metabolic enzymes	Carbohydrate metabolism
BB777344	glucosamine-6-phosphate deaminase	Gnpi	-2.36	Metabolic enzymes	Carbohydrate metabolism
BC012247	dicarbonyl L-xylulose reductase	Dcxr	-2.92	Metabolic enzymes	Carbohydrate metabolism
NM_009286	sulfotransferase, hydroxysteroid preferring 2	Sth2	9.04	Metabolic enzymes	Lipid metabolism
NM_009128	stearoyl-Coenzyme A desaturase 2	Scd2	8.48; 4.97	Metabolic enzymes	Lipid metabolism
NM_134066	aldo-keto reductase family 1C18	Akr1c18	8.16	Metabolic enzymes	Lipid metabolism
BC002008	fatty acid binding protein 5, epidermal	Fabp5	7.01; 3.64	Metabolic enzymes	Lipid metabolism
NM_011994	ATP-binding cassette D2	d2	5.24	Metabolic enzymes	Lipid metabolism
NM_021486	beta-carotene 15, 15-dioxygenase 1	Bcdo1	4.63	Metabolic enzymes	Lipid metabolism
NM_007809	cytochrome P450 17A1	Cyp17a1	4.35	Metabolic enzymes	Lipid metabolism
NM_024406	fatty acid binding protein 4, adipocyte	Fabp4	4.14; 3.29	Metabolic enzymes	Lipid metabolism
NM_013490	choline kinase	Chk	3.18	Metabolic enzymes	Lipid metabolism
BC018263	cis-retinol/3alpha hydroxysterol short-chain dehydrogenase-like	CRAD-L	2.82	Metabolic enzymes	Lipid metabolism
AK014742	lanosterol synthase	Lss	2.66; 2.64	Metabolic enzymes	Lipid metabolism
BG066773	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	B4galt6	2.62; 2.35	Metabolic enzymes	Lipid metabolism
NM_007702	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	Cidea	2.4	Metabolic enzymes	Lipid metabolism
BC014865	leukotriene B4 12-hydroxydehydrogenase	Ltb4dh	2.32	Metabolic enzymes	Lipid metabolism
BC010332	phosphatidic acid phosphatase type 2c	Ppap2c	2.07	Metabolic enzymes	Lipid metabolism
BB430611	fatty acid desaturase 2	Fads2	2.04	Metabolic enzymes	Lipid metabolism
NM_023523	peroxisomal trans-2-enoyl-CoA reductase	Pecr	-2.11	Metabolic enzymes	Lipid metabolism
NM_054094	butyryl Coenzyme A synthetase 1	Bucs1	-2.15	Metabolic enzymes	Lipid metabolism
NM_024264	cytochrome P450, family 27, subfamily a, polypeptide 1	Cyp27a1	-2.6	Metabolic enzymes	Lipid metabolism
BC026757	hydroxysteroid dehydrogenase-2, delta<5>-3-beta	Hsd3b2	-2.91	Metabolic enzymes	Lipid metabolism
BC016251	choline phosphotransferase 1	Chpt1	-2.95; -2.49	Metabolic enzymes	Lipid metabolism
