Gene Symbol	Gene	EGFR null	Erlotinib	AG1478	PD153035	Expression
Tnc	Tenascin C, mRNA	-41.87473	-9.9395794	-9.0436273	-6.7006022	Downregulated
Cxcl3	Chemokine (C-X-C motif) ligand 3, mRNA	-12.4585	-6.0032651	-7.2140103	-5.4960882	Downregulated
Serpine1	Serine (or cysteine) peptidase inhibitor, clade E, member 1, mRNA	-5.480587	-3.9510035	-4.261114	-3.6979597	Downregulated
Dusp9	Dual specificity phosphatase 9, mRNA.	-7.642714	-3.7126055	-6.4856947	-4.8857617	Downregulated
Foxd3	Forkhead box D3, mRNA.	-3.025117	-2.6639708	-2.8218732	-2.624347	Downregulated
	Golgi integral membrane protein 4	-6.650365	-3.2812439	-3.4076097	-3.0076131	Downregulated
Cdc6	Cell division cycle 6 homolog (S. cerevisiae), transcript variant 2, mRNA	-3.177363	-2.9617525	-3.3367854	-2.6737621	Downregulated
Kif11	kinesin family member 11, mRNA	-2.586524	-2.3925532	-2.801853	-2.1541163	Downregulated
Bend7	BEN domain containing 7 (Bend7), mRNA.	2.986081	2.59399268	2.17177856	2.123838473	Upregulated
	Transcribed locus	5.117288	2.62182163	2.62978239	2.357328025	Upregulated
Rrn3	RRN3 RNA polymerase I transcription factor homolog (yeast) (Rrn3), mRNA	4.179157	3.01058099	3.03574806	2.600699744	Upregulated
Ms4a13	Membrane-spanning 4-domains, subfamily A, member 13 (Ms4a13), mRNA.	10.55176	2.62303544	5.03417703	2.540895071	Upregulated
Adora3	Adenosine A3 receptor (Adora3), transcript variant 2, mRNA.	6.572833	3.02683959	3.77621258	3.789070049	Upregulated
	Vacuolar protein sorting 13A (yeast)	2.670708	2.63874731	2.15684629	1.896646066	Upregulated
Adra2b	Adrenergic receptor, alpha 2b (Adra2b), mRNA.	3.285338	3.01698624	3.86207003	2.693184117	Upregulated
Lypd6	LY6/PLAUR domain containing 6 (Lypd6), mRNA.	2.30441	2.1395848	2.13043367	2.320750995	Upregulated
En2	Engrailed 2 (En2), mRNA.	2.444314	2.30637466	2.00310682	2.242360614	Upregulated
Sst	Somatostatin (Sst), mRNA.	3.569832	3.90594027	3.58261785	2.805393762	Upregulated
Mylk3	Myosin light chain kinase 3 (Mylk3), mRNA	1.791513	2.14708521	1.92247208	3.027817467	Upregulated
