Curated Gene Symbol	GO at level 3 and biological process	Genes (pool: ratio>3 and int>25% or confirmed; separated samples: ratio>2 and in most samples; Colorflip verified)	UniGene	Ratio	Gene Symbol	Gene Description
FZD4	Signals	FZD4: Frizzled homolog 4 (Drosophila)	Hs.19545	3.3	FZD4	5
CYR61	Signals	CYR61: Cysteine-rich, angiogenic inducer, 61	Hs.8867	3.6	CYR61	6
CXCL9	Signals	CXCL9: Chemokine (C?X?C motif) ligand 9	Hs.77367	3.5	CXCL9	6
LTBP2	Signals	LTBP2: Latent transforming growth factor beta-binding protein 2	Hs.83337	5	LTBP2	6
SFRP4	Signals	SFRP4: Secreted frizzled-related protein 4	Hs.105700	3.1	SFRP4	6
CTGF	Signals	CTGF: Connective tissue growth factor (IGFBP8)	Hs.75511	2.9	CTGF	5
GPR83	Receptors	GPR83: G protein-coupled receptor 83	Hs.272385	4.3	GPR83	6
CD2	Receptors	CD2: CD2 antigen (p50), sheep red blood cell receptor	Hs.89476	3.4	CD2	4
IL1RL1	Receptors	IL1RL1: Interleukin 1 receptor-like 1	Hs.66	16	IL1RL1	7
IL20RA	Receptors	IL20RA: Interleukin 20 receptor, alpha	Hs.21814	3.9	IL20RA	7
NPY1R	Receptors	NPY1R: Neuropeptide Y receptor Y1	Hs.169266	3.5	NPY1R	6
	Cell to cell communication	CLDN 4: Claudin4	Hs.5372	2.5	CLDN 4	7
WISP2	Signal transduction proteins	WISP2: WNT1 inducible signaling pathway protein 2	Hs.194679	3.2	WISP2	6
ARL4A	Signal transduction proteins	ARL4A: ADP-ribosylation factor-like 4A	Hs.380784	5.6	ARL4A	6
DUSP2	Signal transduction proteins	DUSP2: Dual-specificity phosphatase 2	Hs.1183	5.7	DUSP2	6
RGS2	Signal transduction proteins	RGS2: Regulator of G-protein signaling 2, 24 kDa	Hs.78944	3.3	RGS2	5
DUSP5	Signal transduction proteins	DUSP5: Dual specificity phosphatase 5	Hs.2128	2.2	DUSP5	6
DUSP1	Signal transduction proteins	DUSP1: CL 100 protein tyrosine phosphatase	Hs.171695	2.8	DUSP1	6
PPP1R7	Signal transduction proteins	PPP1R7: Protein phosphatase 1, regulatory subunit 7	Hs.10784	3.6	PPP1R7	7
PPP1R15A	Signal transduction proteins	PPP1R15A: Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Hs.76556	3.2	PPP1R15A	9
KLRK1	Signal transduction proteins	KLRK1: Killer cell lectin-like receptor subfamily K, member 1	Hs.387787	3.1	KLRK1	6
RELN	Signal transduction proteins	RELN: Reelin	Hs.12246	3.8	RELN	5
DUSP1	Signal transduction proteins	DUSP1: CL 100 protein tyrosine phosphatase	Hs.171695	1.9	DUSP1	6
APOA4	Metabolism	APOA4: Apolipoprotein A-IV	Hs.1247	6.2	APOA4	6
UBD	Metabolism	UBD: Ubiquitin D	Hs.44532	4.2	UBD	4
AKR1C2	Metabolism	AKR1C2: Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid-binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	Hs.201967	6.2	AKR1C2	7
RNASE4	Metabolism	RNASE4: Ribonuclease, RNase A family, 4	Hs.283749	3.4	RNASE4	7
ADH1C	Metabolism	ADH1C: Alcohol dehydrogenase 1C (class I), gamma polypeptide	Hs.2523	4.1	ADH1C	6
ADH1A	Metabolism	ADH1A: Alcohol dehydrogenase 1A (class I), alpha polypeptide	Hs.73843	7.7	ADH1A	6
APOD	Metabolism	APOD: Apolipoprotein D	Hs.75736	3.4	APOD	5
CFB	Metabolism	BF: B-factor, properdin	Hs.69771	3.2	BF	3
PGLS	Metabolism	PGLS: 6-phosphogluconolactonase	Hs.100071	4	PGLS	5
DNAJB1	Metabolism	DNAJB1: DnaJ (Hsp40) homolog, subfamily B, member 1	Hs.82646	3.1	DNAJB1	7
DPYSL3	Metabolism	DPYSL3: Dihydropyrimidinase-like 3	Hs.74566	4	DPYSL3	7
	Metabolism	ALDO B: Aldolase B	Hs.234234	3	ALDO B	7
ACOX1	Metabolism	ACOX1: Acyl CoA oxidase	Hs.11135	3.3	ACOX1	6
GLUL	Metabolism	GLUL: Glutamate-ammonia ligase (glutamine synthase)	Hs.442669	2.5	GLUL	5
HSP90AA1	Metabolism	HSPCA: Heat shock 90 kDa protein 1, (hsp90)	Hs.446579	1.8	HSPCA	6
DNAJA2	Metabolism	DnaJ: hsp40 protein homolog (DNAJA1)	Hs.445203	2.1	DnaJ	5
SERPINF1	Morphogenesis cytoskeleton	SERPINF1: Serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium-derived factor), member 1	Hs.173594	3.7	SERPINF1	9
MYH11	Morphogenesis cytoskeleton	MYH11: Myosin, heavy polypeptide 11, smooth muscle	Hs.78344	4.2	MYH11	6
GSN	Morphogenesis cytoskeleton	GSN: Gelsolin (amyloidosis, Finnish type)	Hs.290070	3.2	GSN	4
FBLN2	Morphogenesis cytoskeleton	FBLN2: Fibulin 2	Hs.198862	4.3	FBLN2	6
MFAP4	Morphogenesis cytoskeleton	MFAP4: Microfibrillar-associated protein 4	Hs.296049	3.1	MFAP4	6
GADD45A	Death	GADD45A: Growth arrest and DNA-damage-inducible, alpha	Hs.80409	3.5	GADD45A	8
TNFSF10	Death	TNFSF10: Tumor necrosis factor (ligand) superfamily, member 10	Hs.83429	2.9	TNFSF10	8
	Death	NFKBia: Nuclear factor of kappa light polypeptide gene enhancer in B-cell inhibitor, alpha	Hs.81328	2.1	NFKBia	7
TP53BP2	Death	TP53BP2: Tumor protein p53-binding protein, 2	Hs.44585	2.1	TP53BP2	8
	Death	Clusterin (trpm-2, apolipoprotein J)	Hs.75106	2.8
	Death	Clusterin (trpm-2, apolipoprotein J)	Hs.75106	4.3
	Death	Lipocortin (anxa1)	Hs.287558	4.3
LUM	Extracellular structure organization and biogenesis	LUM: Lumican	Hs.79914	16.9	LUM	4
