ProbeID	Genename	Genesymbol	Foldchange,mean	Mean Expression Level IC/PanIN-3	Mean Expression Level IC/normal
220196_at	Mucin16	MUC16	26.7	14.6	31.6
206884_s_at	Sciellin	SCEL	17.4	3.8	4.7
205388_at	TroponinCtype2	TNNC2	10.1	4.1	10
204416_x_at	ApolipoproteinC-I	APOC1	6.7	5.9	7.2
213524_s_at	G0/G1switch2	G0S2	5.4	4.3	13.9
202504_at	Tripartitemotif-containing29	TRIM29	4.5	2.6	8.8
204070_at	Retinoicacidreceptorresponder3	RARRES3	3.7	3.4	5.4
242625_at	RadicalS-adenosylmethioninedomaincontaining2	RSAD2	3.6	2.4	12.1
204885_s_at	Mesothelin	MSLN	3	2.2	2.2
201564_s_at	Fascinhomolog1,actin-bundlingprotein	FSCN1	3	2.7	3.1
205483_s_at	Interferon,alpha-inducibleprotein	IFI	3	2.5	7.6
228640_at	BH-protocadherin	PCDH7	2.7	2.5	7.5
239979_at	Epithelialstromalinteraction1	EPSTI1	2.5	2.1	6.5
231956_at	KIAA1618	KIAA1618	2.4	2.4	3.8
204285_s_at	Phorbol-12-myristate-13-acetate-inducedprotein1	PMAIP1	2.2	2.1	3.4
222810_s_at	RASproteinactivatorlike2	RASAL2	2.2	2.2	2.3
243271_at	Sterilealphamotifdomaincontaining9-like	SAMD9L	2.1	1.9	5.7
200736_s_at	Glutathioneperoxidase1	GPX1	2	1.9	2
