Bad	Good	Symbol	Notes
3,697	65	HLA-A29.1	Major histocompatibility complex (MHC), Class I HLA-A29.1
3,483	188	HLA-DRB1	Major histocompatibility complexMHC, Class II, DR beta 1
7,536	476	IL8	Interleukin IL8
2,491	170	OLR1	Oxidiszed low density lipoprotein receptor 1
2,963	228	MT1G	Metallothionein 1G
3,048	245	TNFRSF4	Tumour necrosis factor receptor superfamily 4
1,114	93	MT1E	Metallothionein 1E
5,386	517	MT1A	Metallothionein 1A
5,096	490	MT2A	Metallothionein 2A
4,944	535	MT1X	Metallothionein 1X
968	109	THBS1	Thrombospondin 1
1,309	151	TACSTD2	Tumour-associated calcium signal transducer 2
1,121	132	TNFAIP6	Tumuor necrosis factor, alpha-induced protein 6
694	88	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide
2,522	332	CCL17	Chemokine (C--C motif) ligand 17
1,351	179	ICAM3	Intercellular adhesion molecule 3
723	99	MT1H	Metallothionein 1H
529	75	TNFRSF18	Tumour necrosis factor receptor superfamily 18
478	67	CKB	Creatine kinase, brain
1,023	144	PANX2	Pannexin 2
