Fisher ratio	Probe	GB	Symbol	Function	EHR(-)	EHR(+)
2.06	37181_at	X76538	MPV17	metabolism	<40	248.6
1.47	39549_at	AI743090	EST	unknown	<40	117.4
1.44	37137_at	M17016	GZMB	immune system	132.7	63.3
1.37	33411_g_at	S66213	ITGA6	cell adhesion	68.5	217.3
1.31	38199_at	AI289489	EST	unknown	116.8	46.9
1.30	31894_at	M95724	CENPC1	DNA binding	137	67.3
1.29	40574_at	AA868268	EST	unknown	91.7	<40
1.22	34342_s_at	AF052124	SPP1	cell adhesion	3914.6	11311.6
1.19	38436_at	D87440	RTF1	transcritpion	59.5	134.9
1.17	34339_at	AB009282	CYB5-M	metabolism	71.5	184.6
1.16	34390_at	U90441	P4HA2	metal ion binding	110.8	222.2
1.16	34712_at	AB023227	DNMBP	cell adhesion	49.7	153.9
1.11	32389_at	W25892	EST	unknown	87.1	<40
1.10	33533_at	U40992	DNAJB4	unknown	96.8	43.5
1.10	31634_at	M13057	PRH1	extracellular matrix	127.5	45.6
1.08	37133_at	AF027406	STK23	signal transduction	201.3	78
1.08	33621_at	X71348	TCF2	transcription	164.2	74.4
1.07	1451_s_at	D13666	POSTN	cell adhesion	233.6	989.6
1.04	2092_s_at	J04765	SPP1	cell adhesion	2389.4	6532
1.03	33718_at	AC_006128	WIZ	metal ion binding	155	76.8
1.02	1648_at	U60805	OSMR	cell proliferation	56.9	156.1
1.02	39815_at	AA883101	EST	unknown	40.9	96.6
1.02	1076_at	M28983	ILIA	immune system	82.3	<40
1.01	2036_s_at	M59040	CD44	cell adhesion	55.9	203.9
1.01	39447_f_at	W27095	EST	unknown	93.2	<40
1.00	301_at	Mucin6,Gastr	MUC6	cell protection	58	144.1
0.98	40074_at	X16396	MTHFD2	molecule transport	90.8	202.6
0.97	757_at	D28364	ANXA2	cell proliferation	204.2	557.8
0.97	41020_at	M95971	PCSK2	proteolysis and peptidolysis	<40	98.2
0.96	38634_at	Ml1433	RBP1	molecule transport	320.2	747.2
0.93	35275_at	AL050025	EST	unknown	132.4	316.9
0.90	33410_at	S66213	ITGA6	cell adhesion	125.6	328.5
0.86	34310_at	Y00486	APRT	metabolism	103.7	277.8
0.86	39690_at	AF002282	PDUM3	protein binding	65.4	175
0.85	32314_g_at	M12125	TPM2	cytoskelton	110.3	250.7
0.85	33979_at	X55990	RNASE3	defense to bacteria	108.7	<40
0.84	39277_at	U60805	OSMR	cell proliferation	49.8	168
0.84	31404_at	AF019765	GRK1	signal transduction	167.7	70.5
0.84	31587_at	X96969	SLC14A	molecule transport	<40	97
0.83	33101_g_at	AB017551	FETUB	unknown	1194.4	453.6
0.83	31684_at	M62896	ANXA2P1	pseudogene	196	519.8
0.83	33068_f_at	U08854	UGT2B15	detoxification	4901.9	2002.1
0.82	39525_at	AL120687	EST	unknown	45.2	90.5
0.82	40298_at	AB014603	KIAA0703	unknown	182.2	90.1
0.82	36632_at	U00957	AKAP10	signal transduction	47.4	95.9
0.81	667_at	L22206	AVPR2	signal transduction	104.4	<40
