Affymetrix probe ID	Gene symbol	FC (DP/SP)	Up/downregulation
1563860_at	LOC400965	8.47766	upregulated
1556944_at	OR10K1	8.39385	upregulated
233463_at	RASSF6	8.29936	upregulated
206465_at	ACSBG1	8.25728	upregulated
1566600_at		8.0967	upregulated
1556945_a_at	OR10K1	7.81909	upregulated
235638_at	RASSF6	7.64933	upregulated
229147_at	RASSF6	7.39389	upregulated
205637_s_at	SH3GL3	7.09433	upregulated
226393_at	CYP2U1	6.79905	upregulated
211772_x_at	CHRNA3	6.7163	upregulated
230698_at		6.7008	upregulated
207979_s_at	CD8B1	6.36429	upregulated
1555168_a_at	CALN1	6.35107	upregulated
205758_at	CD8A	6.34667	upregulated
204199_at	RALGPS1	6.15318	upregulated
210221_at	CHRNA3	6.1404	upregulated
239118_at	KCNA2	6.11492	upregulated
211587_x_at	CHRNA3	6.05867	upregulated
205987_at	CD1C	5.89844	upregulated
206345_s_at	PON1	5.82261	upregulated
223885_at	CALN1	5.76372	upregulated
235743_at	SNED1	5.75839	upregulated
1556221_a_at		5.74643	upregulated
226402_at	CYP2U1	5.7398	upregulated
216720_at	CYP2U1	5.58542	upregulated
205789_at	CD1D	5.54812	upregulated
1560049_at		5.51744	upregulated
221215_s_at	RIPK4	5.49708	upregulated
1552727_s_at		5.41765	upregulated
206110_at	HIST1H3H	5.33073	upregulated
219686_at	STK32B	5.244	upregulated
1552726_at		5.22344	upregulated
1568742_at		5.19816	upregulated
226122_at	PLEKHG1	5.09942	upregulated
1557422_at		5.09706	upregulated
207016_s_at	ALDH1A2	5.08178	upregulated
204462_s_at	SLC16A2	5.00256	upregulated
228806_at	RORC	4.96915	upregulated
212658_at	LHFPL2	4.93939	upregulated
213413_at	SBLF	4.86577	upregulated
215332_s_at	CD8B1	4.84445	upregulated
1556220_at		4.79989	upregulated
223284_at	KLP1	4.7877	upregulated
206466_at	ACSBG1	4.75573	upregulated
226756_at	FLJ36031	4.73599	upregulated
219532_at	ELOVL4	4.65356	upregulated
1559021_at		4.60223	upregulated
220260_at	TBC1D19	4.59055	upregulated
235456_at	HIST1H2BD	4.56411	upregulated
210387_at	HIST1H2BG	4.55358	upregulated
219396_s_at	NEIL1	4.53258	upregulated
220507_s_at	UPB1	4.52317	upregulated
239086_at	C9orf103	4.40457	upregulated
1569040_s_at		4.35096	upregulated
219474_at	TTMP	4.3209	upregulated
238919_at	PCDH9	4.30994	upregulated
205466_s_at	HS3ST1	4.30795	upregulated
212838_at	DNMBP	4.2772	upregulated
243871_at		4.20469	upregulated
243019_at		4.1516	upregulated
227865_at	C9orf103	4.14202	upregulated
230472_at	IRX1	4.12959	upregulated
207761_s_at	DKFZP586A0522	4.11911	upregulated
219256_s_at	SH3TC1	4.11816	upregulated
238593_at	FLJ22531	4.08594	upregulated
1556183_at		4.01203	upregulated
235425_at	SGOL2	4.00925	upregulated
1562053_at		3.98248	upregulated
39248_at	AQP3	3.98064	upregulated
227194_at	FAM3B	3.98064	upregulated
230659_at	EDEM1	3.96503	upregulated
235009_at	FAM44A	3.9568	upregulated
1556402_at		3.95497	upregulated
236846_at	LOC284757	3.94402	upregulated
1554853_at	CYP2U1	3.89062	upregulated
230597_at	SLC7A3	3.88703	upregulated
208015_at	SMAD1	3.88254	upregulated
239657_x_at	FOXO6	3.87179	upregulated
214890_s_at	DKFZP564J102	3.86553	upregulated
203747_at	AQP3	3.82466	upregulated
228758_at		3.77463	upregulated
215554_at	GPLD1	3.75115	upregulated
215779_s_at	HIST1H2BG	3.74682	upregulated
234867_at		3.74249	upregulated
225700_at	GLCCI1	3.72696	upregulated
206591_at	RAG1	3.71235	upregulated
236852_at	FBXO43	3.70807	upregulated
240718_at	LRMP	3.66547	upregulated
213906_at	MYBL1	3.65786	upregulated
1569067_at	BCL2L1	3.64605	upregulated
206361_at	GPR44	3.64016	upregulated
219737_s_at	PCDH9	3.62589	upregulated
219990_at	E2F8	3.62421	upregulated
223467_at	RASD1	3.61	upregulated
1555968_a_at		3.59834	upregulated
238604_at		3.58672	upregulated
215117_at	RAG2	3.5859	upregulated
207156_at	HIST1H2AG	3.57845	upregulated
203088_at	FBLN5	3.56195	upregulated
1560316_s_at	GLCCI1	3.55291	upregulated
214469_at	HIST1H2AE	3.55209	upregulated
238735_at	TCF12	3.53571	upregulated
242722_at	LMO7	3.53244	upregulated
215626_at	DOCK9	3.52674	upregulated
243368_at	HMGB2	3.52511	upregulated
235970_at	MLR1	3.5186	upregulated
47553_at	DFNB31	3.5186	upregulated
212538_at	DOCK9	3.51697	upregulated
204822_at	TTK	3.51453	upregulated
1559817_at		3.49914	upregulated
243256_at	MKNK1	3.49348	upregulated
224043_s_at	UPB1	3.48542	upregulated
207416_s_at	NFATC3	3.4814	upregulated
1552619_a_at	ANLN	3.47738	upregulated
205008_s_at	CIB2	3.47256	upregulated
237469_at	TOP2A	3.46295	upregulated
1558750_a_at		3.44141	upregulated
240212_at	GALNT7	3.44141	upregulated
230175_s_at		3.42713	upregulated
236641_at	KIF14	3.42634	upregulated
214472_at	HIST1H3D	3.41922	upregulated
208091_s_at	ECOP	3.4066	upregulated
209398_at	HIST1H1C	3.39246	upregulated
225630_at	KIAA1706	3.38855	upregulated
1555626_a_at	SLAMF1	3.38307	upregulated
225137_at	FLJ21918	3.36514	upregulated
230135_at		3.36436	upregulated
227250_at	KREMEN1	3.35117	upregulated
39249_at	AQP3	3.35117	upregulated
225139_at	FLJ21918	3.33341	upregulated
1562473_at	PEX5L	3.32879	upregulated
205933_at	SETBP1	3.32726	upregulated
223932_at	MGC12935	3.32265	upregulated
203139_at	DAPK1	3.32265	upregulated
236518_at	KIAA1984	3.31651	upregulated
1552680_a_at	CASC5	3.31651	upregulated
225960_at	ZNRF1	3.29056	upregulated
208547_at	HIST1H2BB	3.28448	upregulated
233609_at	PTPRK	3.2701	upregulated
231092_s_at	ZNRF1	3.26783	upregulated
230522_s_at	C9orf100	3.26783	upregulated
227614_at	HKDC1	3.26406	upregulated
206864_s_at	HRK	3.25878	upregulated
1555462_at	PPP1R1C	3.25051	upregulated
210240_s_at	CDKN2D	3.24601	upregulated
202674_s_at	LMO7	3.24526	upregulated
213488_at	SNED1	3.22731	upregulated
225355_at	DKFZP761M1511	3.22508	upregulated
219978_s_at	NUSAP1	3.22433	upregulated
239585_at	PCAF	3.22433	upregulated
225141_at	FLJ21918	3.21689	upregulated
228033_at	E2F7	3.21095	upregulated
208592_s_at	CD1E	3.1991	upregulated
220359_s_at	ARPP-21	3.19762	upregulated
214481_at	HIST1H2AM	3.19762	upregulated
206364_at	KIF14	3.17994	upregulated
228323_at	CASC5	3.17921	upregulated
230212_at		3.17921	upregulated
203518_at	LYST	3.17114	upregulated
207620_s_at	CASK	3.15433	upregulated
227156_at	TNRC8	3.14996	upregulated
215990_s_at	BCL6	3.1485	upregulated
204492_at	ARHGAP11A	3.1485	upregulated
1557755_at	C14orf145	3.14632	upregulated
229521_at	FLJ36031	3.14124	upregulated
220127_s_at	FBXL12	3.13471	upregulated
1552897_a_at	KCNG3	3.11378	upregulated
232017_at	TJP2	3.11162	upregulated
239427_at		3.10086	upregulated
219918_s_at	ASPM	3.09441	upregulated
227478_at	LOC284262	3.08585	upregulated
225962_at	ZNRF1	3.08513	upregulated
218726_at	DKFZp762E1312	3.08086	upregulated
206023_at	NMU	3.07304	upregulated
1558920_at		3.06878	upregulated
239162_at	DAPK1	3.05534	upregulated
235545_at	DEPDC1	3.04477	upregulated
210555_s_at	NFATC3	3.02584	upregulated
241623_at	ANGPTL1 /// PTPN2	3.02584	upregulated
237187_at		3.02025	upregulated
212825_at	PAXIP1	3.01676	upregulated
238881_at		3.01537	upregulated
211792_s_at	CDKN2C	3.01467	upregulated
205655_at	MDM4	3.01467	upregulated
244427_at	KIF23	3.01119	upregulated
235681_at	HIST1H2BD	2.998	upregulated
212312_at	BCL2L1	2.99592	upregulated
231935_at	ARPP-21	2.99523	upregulated
232278_s_at	DEPDC1	2.99315	upregulated
244620_at		2.98142	upregulated
225631_at	KIAA1706	2.98004	upregulated
200670_at	XBP1	2.98004	upregulated
206665_s_at	BCL2L1	2.97935	upregulated
213510_x_at	LOC220594	2.97867	upregulated
206181_at	SLAMF1	2.97385	upregulated
1557724_a_at	LOC285847	2.97248	upregulated
1565616_at	ZNF337	2.97111	upregulated
219787_s_at	ECT2	2.96836	upregulated
204709_s_at	KIF23	2.95878	upregulated
1568951_at	SUHW4	2.95331	upregulated
222958_s_at	DEPDC1	2.95195	upregulated
222608_s_at	ANLN	2.94718	upregulated
237236_x_at		2.94173	upregulated
221258_s_at	KIF18A	2.93223	upregulated
236191_at	CD38	2.92682	upregulated
238752_at	MRS2L	2.91871	upregulated
205560_at	PCSK5	2.91737	upregulated
230561_s_at	FLJ23861	2.91333	upregulated
212558_at	SPRY1	2.90526	upregulated
226275_at	MXD1	2.90325	upregulated
222039_at	LOC146909	2.89588	upregulated
229552_at	LOC283454	2.88919	upregulated
221031_s_at	DKFZP434F0318	2.88386	upregulated
236220_at		2.88053	upregulated
1557616_at	ZNF496	2.87056	upregulated
204317_at	GTSE1 /// LOC440834	2.86857	upregulated
204686_at	IRS1	2.86526	upregulated
229610_at	FLJ40629	2.85997	upregulated
201792_at	AEBP1	2.85733	upregulated
209891_at	SPBC25	2.85403	upregulated
220148_at	ALDH8A1	2.85271	upregulated
237466_s_at	HHIP	2.85073	upregulated
225706_at	GLCCI1	2.85008	upregulated
203760_s_at	SLA	2.84876	upregulated
219502_at	NEIL3	2.8481	upregulated
238756_at	GAS2L3	2.84613	upregulated
203761_at	SLA	2.84481	upregulated
204962_s_at	CENPA	2.84021	upregulated
203037_s_at	MTSS1	2.82843	upregulated
235388_at	CHD9	2.82255	upregulated
214081_at	PLXDC1	2.81929	upregulated
214455_at	HIST1H2BC	2.81734	upregulated
235296_at	EIF5A2	2.81539	upregulated
205167_s_at	CDC25C	2.81149	upregulated
227414_at	DKFZp547E052	2.81019	upregulated
239411_at	ZNF496	2.80435	upregulated
215942_s_at	GTSE1	2.80305	upregulated
205007_s_at	CIB2	2.80305	upregulated
238699_s_at	CASK	2.79982	upregulated
210325_at	CD1A	2.79723	upregulated
211814_s_at	CCNE2	2.79723	upregulated
225687_at	C20orf129	2.794	upregulated
219232_s_at	EGLN3	2.79142	upregulated
240457_at		2.79078	upregulated
206235_at	LIG4	2.78562	upregulated
239002_at	ASPM	2.78176	upregulated
208056_s_at	CBFA2T3	2.7683	upregulated
218755_at	KIF20A	2.76702	upregulated
1557756_a_at	C14orf145	2.76319	upregulated
226948_at	DKFZp547E052	2.76255	upregulated
210052_s_at	TPX2	2.76127	upregulated
227368_at	C6orf166	2.76	upregulated
205190_at	PLS1	2.75172	upregulated
209824_s_at	ARNTL	2.74981	upregulated
203140_at	BCL6	2.74727	upregulated
243397_at	ZNF337	2.746	upregulated
207518_at	DGKE	2.73145	upregulated
1555758_a_at	CDKN3	2.72767	upregulated
202708_s_at	HIST2H2BE	2.722	upregulated
204159_at	CDKN2C	2.71948	upregulated
207746_at	POLQ	2.7176	upregulated
223307_at	CDCA3	2.71697	upregulated
201292_at	TOP2A	2.71321	upregulated
227525_at	GLCCI1	2.71196	upregulated
1552722_at	ARPP-21	2.70632	upregulated
203764_at	DLG7	2.70195	upregulated
228252_at	C15orf20	2.70132	upregulated
231732_at	SMPD3	2.69883	upregulated
38158_at	ESPL1	2.69447	upregulated
202085_at	TJP2	2.69198	upregulated
209408_at	KIF2C	2.68825	upregulated
206589_at	GFI1	2.68763	upregulated
221213_s_at	SUHW4	2.68701	upregulated
212056_at	KIAA0182	2.6839	upregulated
238694_at	DGKE	2.6839	upregulated
241853_at		2.68204	upregulated
205559_s_at	PCSK5	2.67957	upregulated
235925_at	TCF12	2.67833	upregulated
221887_s_at	DFNB31	2.67771	upregulated
203214_x_at	CDC2	2.67091	upregulated
213601_at	SLIT1	2.66968	upregulated
209709_s_at	HMMR	2.66413	upregulated
211210_x_at	SH2D1A	2.66044	upregulated
211211_x_at	SH2D1A	2.65983	upregulated
218009_s_at	PRC1	2.65921	upregulated
238423_at	SYTL3	2.65921	upregulated
228361_at	E2F2	2.6586	upregulated
223464_at	OSBPL5	2.65737	upregulated
1555967_at		2.64634	upregulated
224832_at	DUSP16	2.64207	upregulated
201896_s_at	PSRC1	2.63719	upregulated
243312_at		2.63171	upregulated
238457_at	DGKE	2.63171	upregulated
212020_s_at	MKI67	2.62989	upregulated
1560284_at		2.62746	upregulated
211209_x_at	SH2D1A	2.62564	upregulated
204817_at	ESPL1	2.62564	upregulated
220295_x_at	DEPDC1	2.6226	upregulated
211519_s_at	KIF2C	2.61897	upregulated
226945_at	DKFZp547E052	2.61897	upregulated
205692_s_at	CD38	2.61293	upregulated
209467_s_at	MKNK1	2.61051	upregulated
240015_at		2.6087	upregulated
232454_at	NUP214	2.60629	upregulated
235759_at	EFCBP1	2.60389	upregulated
1569512_at	SVIL	2.59848	upregulated
240247_at		2.59488	upregulated
241586_at	KCNH8	2.59428	upregulated
1557347_at	MCPH1	2.58949	upregulated
219148_at	PBK	2.5865	upregulated
240843_at	PTPN2	2.5859	upregulated
203889_at	SGNE1	2.57814	upregulated
203038_at	PTPRK	2.57517	upregulated
206419_at	RORC	2.5716	upregulated
236153_at	SUHW4	2.5716	upregulated
209714_s_at	CDKN3	2.56982	upregulated
204092_s_at	STK6	2.56923	upregulated
219132_at	PELI2	2.56626	upregulated
220450_at		2.56626	upregulated
221935_s_at	AER61	2.56567	upregulated
204444_at	KIF11	2.56507	upregulated
223381_at	CDCA1	2.56448	upregulated
222587_s_at	GALNT7	2.55679	upregulated
234992_x_at	ECT2	2.55561	upregulated
223476_s_at	FLJ38663	2.55148	upregulated
221520_s_at	CDCA8	2.54853	upregulated
218280_x_at	HIST2H2AA	2.53972	upregulated
203279_at	EDEM1	2.53972	upregulated
237442_at	APBB1IP	2.53737	upregulated
220390_at	AGBL2	2.5362	upregulated
203418_at	CCNA2	2.53385	upregulated
228286_at	FLJ40869	2.53268	upregulated
239253_at		2.53268	upregulated
221591_s_at	FAM64A	2.53151	upregulated
223475_at	CRISPLD1	2.53034	upregulated
202548_s_at	ARHGEF7	2.52567	upregulated
219306_at	KIF15	2.52509	upregulated
237591_at	FLJ42957	2.52509	upregulated
224516_s_at	CXXC5	2.52275	upregulated
239828_at	FLJ25791	2.51926	upregulated
230165_at	SGOL2	2.5181	upregulated
35974_at	LRMP	2.51635	upregulated
212022_s_at	MKI67	2.51519	upregulated
220865_s_at	TPRT	2.51403	upregulated
219700_at	PLXDC1	2.51403	upregulated
