Genes	Gene Description	Regulated
BEX1	Brain expressed, X-linked 1	Up-regulated genes
FBLN1	Fibulin 1	Up-regulated genes
FGD3	FYVE, RhoGEF and PH domain containing 3	Up-regulated genes
HBEGF	Heparin-binding EGF-like growth factor	Up-regulated genes
KLK3	Kallikrein-related peptidase 3	Up-regulated genes
KLK6	Kallikrein-related peptidase 6	Up-regulated genes
WNT5B	Wingless-type MMTV integration site family, member 5B	Up-regulated genes
CALB1	Calbindin 1, 28 kDa	Down-regulated genes
CD70	CD70 molecule	Down-regulated genes
DDIT4	DNA-damage-inducible transcript 4	Down-regulated genes
FAM162A		Down-regulated genes
FTH1	Ferritin, heavy polypeptide 1	Down-regulated genes
HCLS1	Hematopoietic cell-specific Lyn substrate 1	Down-regulated genes
ID1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	Down-regulated genes
IL1RN	Interleukin 1 receptor antagonist	Down-regulated genes
LDLR	Low density lipoprotein receptor (familial hypercholesterolemia)	Down-regulated genes
NEFL	Neurofilament, light polypeptide 68 kDa	Down-regulated genes
PERP	PERP, TP53 apoptosis effector	Down-regulated genes
PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	Down-regulated genes
PRDM1	PR domain containing 1, with ZNF domain	Down-regulated genes
RUNX2	Runt-related transcription factor 2	Down-regulated genes
SERPINB5	Serpin peptidase inhibitor, clade B (ovalbumin), member 5	Down-regulated genes
