Fold change with D3 siRNA	Gene Symbol	UniGene
0.3528	DHX40	Hs.29403
0.3879	FNDC3B	Hs.159430
0.3888	GPR180	Hs.439363
0.3888	LOC144874	Hs.439363
0.3939	SLC39A6	Hs.79136
0.405	C1orf52	Hs.26226
0.4093	LIMS3	Hs.535619
0.4093	LOC440895	Hs.535619
0.4205	C14orf138	Hs.558541
0.421	CYP26B1	Hs.91546
0.4223	GADD45B	Hs.110571
0.4243	DBF4	Hs.485380
0.4287	SYT11	Hs.32984
0.4288	SLC35F3	Hs.158748
0.4293	CRLF3	Hs.370168
0.4334	PPP2CB	Hs.491440
0.4361	RAB27A	Hs.493512
0.4433	TMEM140	Hs.567530
0.446	PDCD4	Hs.232543
0.4534	HYMAI	Hs.444975
0.4534	PLAGL1	Hs.444975
0.4537	ARMC8	Hs.266826
0.4558	IFIH1	Hs.163173
0.4585	SKP2	Hs.23348
0.4601	AFG3L1	Hs.534773
0.4607	BEX2	Hs.398989
0.4612	ARL6IP5	Hs.518060
0.4614	MBOAT1	Hs.377830
0.4685	SLC39A6	Hs.79136
0.4731	MAP9	Hs.61271
0.474	GPRC5B	Hs.148685
0.4786	GABARAPL3	Hs.592014
0.4798	C8orf44	Hs.545401
0.4798	PTTG3	Hs.545401
0.4798	SGK3	Hs.545401
0.486	CDKN1A	Hs.370771
0.4873	SERBP1	Hs.530412
0.4902	IQCK	Hs.460217
0.4929	DLL1	Hs.379912
0.4948	KDELC1	Hs.408629
0.4959	C12orf57	Hs.591045
0.4967	IFIT2	Hs.437609
0.4969	BCAT1	Hs.438993
0.4973	CUL3	Hs.372286
0.4992	ANP32E	Hs.603000
0.4998	TIA1	Hs.516075
