Redundancy	Gene products	Cellular function
255	Gs alpha	Intracellular transducers
156	translation elongation factor 1 alpha	Translation factors
154	pancreatic polypeptide	Hormones/growth factors
153	neuroendocrine secretory protein 55	Intracellular transducers
120	hemoglobin, alpha	Carrier proteins/membrane transport
113	myosin binding protein C	Contractile proteins
103	ribosomal protein L3	Protein synthesis
89	actin, gamma 1	Cytoskeleton
87	Ia-associated invariant gamma-chain	Immunology
82	carboxypeptidase E	Protein turnover
78	major histocompatibility complex, class I, B	Immunology
73	hemoglobin, alpha 2	Carrier proteins/membrane transport
72	ribosomal protein P0	Protein synthesis
65	ferritin, light polypeptide	Carrier proteins/membrane transport
62	zinc finger transcriptional regulator (GOS24)	Transcription factors
54	ribosomal protein L13a	Protein synthesis
47	hemoglobin, alpha 1	Carrier proteins/membrane transport
47	immunoglobulin kappa light chain	Immunology
46	ferritin, heavy polypeptide	Carrier proteins/membrane transport
44	actin, beta	Cytoskeleton
44	CD74 antigen	Unclassified
41	islet amyloid polypeptide	Protein turnover
39	immunoglobulin lambda light chain	Immunology
38	chromogranin A	Vesicular transport
38	ubiquitin C	Posttranslation modification
37	hypothetical 101·4 kDa protein	Unknown
37	prohormone converting enzyme (PC2)	Protein turnover
35	glutathione peroxidase 3	Homeostasis
35	glyceraldehyde-3-phosphate dehydrogenase	Sugar/glycolysis
34	22 kDa actin-binding protein (SM22)	Cytoskeleton
34	major histocompatibility complex, class I, C	Immunology
34	prosaposin	Unclassified
32	G protein, beta polypeptide 2-like 1	Protein modification
32	ornithine decarboxylase antizyme 1	Metabolism
30	actin, alpha 2	Cytoskeletal
30	ribosomal protein L6	Protein synthesis
30	testis enhanced gene transcript (BAX inhibitor 1)	Apoptosis
29	interferon, gamma-inducible protein 30	Unclassified
29	ribosomal protein L10	Protein synthesis
27	chemokine (C-C motif) ligand 18	Hormones/growth factors
26	c-fos	Transcription factors
25	basic transcription factor 3	Transcription factors
25	thymosin, beta 4	Hormones/growth factors
25	transthyretin	Transport
25	tumor protein, translationally-controlled 1 (TPT1)	Unclassified
24	amyloid beta (A4) precursor-like protein 1	Protein turnover
24	CLL-associated antigen KW-3	Transcription factors
24	heat shock 70 kDa protein 8	Stress response
24	transmembrane 4 superfamily member 4	Unclassified
24	immunoglobulin heavy chain	Immunology
23	ribosomal protein L15	Protein synthesis
22	ADP-ribosylation factor 1	Effectors/modulators
22	translation initiation factor, SUI 1	Translation factors
21	calmodulin-I	Effectors/modulators
21	dual specificity phosphatase 1	Protein modification
21	osteopontin	Extracellular matrix
21	regulator of G-protein signalling 5	Extracellular matrix
21	ribosomal protein S11	Protein synthesis
21	ribosomal protein S19	Protein synthesis
